feature,dominant_value_ratio,dominant_value_pct,n_unique,drop
D72,0.9997334044254865,99.97334044254865,2,True
D858,0.9997334044254865,99.97334044254865,2,True
D823,0.9997334044254865,99.97334044254865,2,True
D826,0.999466808850973,99.94668088509731,3,True
D242,0.999466808850973,99.94668088509731,3,True
D888,0.9992002132764596,99.92002132764596,3,True
D828,0.9989336177019461,99.89336177019462,3,True
D238,0.9989336177019461,99.89336177019462,5,True
D240,0.9989336177019461,99.89336177019462,5,True
D840,0.9989336177019461,99.89336177019462,4,True
D303,0.9989336177019461,99.89336177019462,3,True
D822,0.9989336177019461,99.89336177019462,3,True
D824,0.9989336177019461,99.89336177019462,3,True
D862,0.9986670221274326,99.86670221274326,3,True
D830,0.9986670221274326,99.86670221274326,5,True
D859,0.9986670221274326,99.86670221274326,6,True
D488,0.9986670221274326,99.86670221274326,3,True
D234,0.9986670221274326,99.86670221274326,6,True
D827,0.9984004265529193,99.84004265529192,5,True
D821,0.9984004265529193,99.84004265529192,4,True
D861,0.9984004265529193,99.84004265529192,4,True
D820,0.9984004265529193,99.84004265529192,5,True
D789,0.9984004265529193,99.84004265529192,5,True
D575,0.9981338309784058,99.81338309784059,6,True
D638,0.9981338309784058,99.81338309784059,5,True
D825,0.9981338309784058,99.81338309784059,3,True
D721,0.9981338309784058,99.81338309784059,4,True
D784,0.9981338309784058,99.81338309784059,4,True
D831,0.9981338309784058,99.81338309784059,5,True
D860,0.9978672354038923,99.78672354038923,5,True
D788,0.9978672354038923,99.78672354038923,5,True
D839,0.9976006398293789,99.76006398293788,5,True
D581,0.9976006398293789,99.76006398293788,5,True
D639,0.9976006398293789,99.76006398293788,7,True
D801,0.9976006398293789,99.76006398293788,3,True
D854,0.9976006398293789,99.76006398293788,5,True
D304,0.9976006398293789,99.76006398293788,5,True
D572,0.9976006398293789,99.76006398293788,6,True
D829,0.9976006398293789,99.76006398293788,4,True
D720,0.9976006398293789,99.76006398293788,3,True
D874,0.9976006398293789,99.76006398293788,5,True
D924,0.9976006398293789,99.76006398293788,6,True
D405,0.9976006398293789,99.76006398293788,5,True
D425,0.9976006398293789,99.76006398293788,4,True
D489,0.9976006398293789,99.76006398293788,5,True
D872,0.9976006398293789,99.76006398293788,4,True
D737,0.9973340442548654,99.73340442548654,3,True
D647,0.9973340442548654,99.73340442548654,5,True
D371,0.9973340442548654,99.73340442548654,3,True
D540,0.9973340442548654,99.73340442548654,6,True
D490,0.9973340442548654,99.73340442548654,7,True
D910,0.9973340442548654,99.73340442548654,4,True
D176,0.9973340442548654,99.73340442548654,11,True
D873,0.9973340442548654,99.73340442548654,10,True
D847,0.9973340442548654,99.73340442548654,4,True
D502,0.9973340442548654,99.73340442548654,4,True
D302,0.9973340442548654,99.73340442548654,3,True
D856,0.9973340442548654,99.73340442548654,10,True
D333,0.9970674486803519,99.70674486803519,6,True
D783,0.9970674486803519,99.70674486803519,4,True
D838,0.9970674486803519,99.70674486803519,5,True
D871,0.9970674486803519,99.70674486803519,5,True
D738,0.9968008531058384,99.68008531058385,4,True
D306,0.9968008531058384,99.68008531058385,5,True
D648,0.9968008531058384,99.68008531058385,6,True
D571,0.9968008531058384,99.68008531058385,3,True
D307,0.996534257531325,99.6534257531325,4,True
D235,0.996534257531325,99.6534257531325,14,True
D485,0.996534257531325,99.6534257531325,5,True
D787,0.996534257531325,99.6534257531325,5,True
D887,0.996534257531325,99.6534257531325,4,True
D324,0.996534257531325,99.6534257531325,4,True
D370,0.996534257531325,99.6534257531325,5,True
D301,0.996534257531325,99.6534257531325,5,True
D879,0.996534257531325,99.6534257531325,4,True
D402,0.996534257531325,99.6534257531325,6,True
D857,0.996534257531325,99.6534257531325,7,True
D785,0.9962676619568115,99.62676619568114,4,True
D658,0.9962676619568115,99.62676619568114,4,True
D245,0.9962676619568115,99.62676619568114,15,True
D646,0.9962676619568115,99.62676619568114,4,True
D726,0.9962676619568115,99.62676619568114,4,True
D193,0.9962676619568115,99.62676619568114,15,True
D179,0.9962676619568115,99.62676619568114,15,True
D401,0.9962676619568115,99.62676619568114,5,True
D404,0.9962676619568115,99.62676619568114,4,True
D637,0.996001066382298,99.6001066382298,6,True
D510,0.996001066382298,99.6001066382298,4,True
D358,0.996001066382298,99.6001066382298,5,True
D837,0.996001066382298,99.6001066382298,4,True
D923,0.996001066382298,99.6001066382298,4,True
D574,0.996001066382298,99.6001066382298,7,True
D573,0.996001066382298,99.6001066382298,6,True
D277,0.996001066382298,99.6001066382298,5,True
D642,0.9957344708077845,99.57344708077845,5,True
D605,0.9957344708077845,99.57344708077845,4,True
D484,0.9957344708077845,99.57344708077845,3,True
