feature,type
D1,numeric
D2,numeric
D3,numeric
D4,numeric
D5,numeric
D6,numeric
D7,numeric
D8,numeric
D9,numeric
D10,numeric
D11,numeric
D12,numeric
D13,numeric
D14,numeric
D15,numeric
D16,numeric
D17,numeric
D18,numeric
D19,numeric
D20,numeric
D21,numeric
D22,numeric
D23,binary
D24,numeric
D25,numeric
D26,numeric
D27,binary
D28,binary
D29,numeric
D30,numeric
D31,numeric
D32,numeric
D33,numeric
D34,numeric
D35,numeric
D36,numeric
D37,numeric
D38,numeric
D39,numeric
D40,numeric
D41,numeric
D42,numeric
D43,numeric
D44,numeric
D45,numeric
D46,numeric
D47,numeric
D48,numeric
D49,numeric
D50,numeric
D51,binary
D52,numeric
D53,numeric
D54,numeric
D55,numeric
D56,numeric
D57,numeric
D58,numeric
D59,numeric
D60,numeric
D61,numeric
D62,numeric
D63,numeric
D64,numeric
D65,numeric
D66,numeric
D67,numeric
D68,numeric
D69,numeric
D70,numeric
D71,numeric
D73,numeric
D74,numeric
D75,numeric
D76,numeric
D77,numeric
D78,numeric
D79,numeric
D80,numeric
D81,numeric
D82,numeric
D83,numeric
D84,numeric
D85,numeric
D86,numeric
D87,numeric
D88,numeric
D89,numeric
D90,numeric
D91,numeric
D92,numeric
D93,numeric
D94,binary
D95,numeric
D96,numeric
D97,numeric
D98,numeric
D99,numeric
D100,numeric
D101,numeric
D102,numeric
D103,numeric
D104,numeric
D105,numeric
D106,numeric
D107,numeric
D108,numeric
D109,numeric
D110,numeric
D111,numeric
D112,numeric
D113,numeric
D114,numeric
D115,numeric
D116,numeric
D117,numeric
D118,numeric
D119,numeric
D120,numeric
D121,numeric
D122,numeric
D123,numeric
D124,numeric
D125,numeric
D126,numeric
D127,numeric
D128,numeric
D129,numeric
D130,numeric
D131,numeric
D132,numeric
D133,numeric
D134,numeric
D135,numeric
D136,numeric
D137,numeric
D138,numeric
D139,numeric
D140,numeric
D141,numeric
D142,numeric
D143,numeric
D144,numeric
D145,numeric
D146,numeric
D147,numeric
D148,numeric
D149,numeric
D150,numeric
D151,numeric
D152,numeric
D153,numeric
D154,numeric
D155,numeric
D156,numeric
D157,numeric
D158,numeric
D159,numeric
D160,numeric
D161,numeric
D162,numeric
D163,numeric
D164,numeric
D165,numeric
D166,numeric
D167,numeric
D168,numeric
D169,numeric
D170,binary
D172,numeric
D173,numeric
D174,numeric
D175,numeric
D177,numeric
D178,numeric
D180,numeric
D181,numeric
D182,numeric
D183,numeric
D185,numeric
D186,numeric
D187,numeric
D189,numeric
D190,numeric
D191,numeric
D192,numeric
D194,numeric
D195,numeric
D196,numeric
D197,numeric
D198,numeric
D199,numeric
D200,numeric
D201,numeric
D202,numeric
D203,numeric
D204,numeric
D205,numeric
D206,numeric
D207,numeric
D208,numeric
D209,numeric
D210,numeric
D211,numeric
D212,numeric
D213,numeric
D214,numeric
D215,numeric
D216,numeric
D217,numeric
D218,numeric
D219,numeric
D220,numeric
D221,numeric
D222,numeric
D223,numeric
D224,numeric
D225,numeric
D226,numeric
D227,numeric
D228,numeric
D229,numeric
D231,numeric
D233,numeric
D236,numeric
D237,numeric
D246,numeric
D248,numeric
D249,numeric
D250,numeric
D251,numeric
D258,numeric
D259,numeric
D260,numeric
D261,numeric
D262,numeric
D263,numeric
D264,numeric
D265,numeric
D266,numeric
D267,numeric
D268,numeric
D270,numeric
D272,numeric
D273,numeric
D274,numeric
D278,numeric
D279,numeric
D280,numeric
D281,numeric
D282,numeric
D283,numeric
D287,numeric
D288,numeric
D289,numeric
D290,numeric
D291,numeric
D292,numeric
D309,numeric
D310,numeric
D311,numeric
D312,numeric
D313,numeric
D314,numeric
D315,numeric
D316,numeric
D317,numeric
D318,numeric
D319,numeric
D320,numeric
D321,numeric
D325,numeric
D326,numeric
D327,numeric
D328,numeric
D329,numeric
D330,numeric
D334,numeric
D335,numeric
D336,numeric
D337,numeric
D338,numeric
D339,numeric
D340,numeric
D341,numeric
D342,numeric
D343,numeric
D344,numeric
D346,numeric
D347,numeric
D348,numeric
D349,numeric
D350,numeric
D351,numeric
D352,numeric
D359,numeric
D360,numeric
D361,numeric
D362,numeric
D363,numeric
D364,numeric
D365,numeric
D366,numeric
D367,numeric
D373,numeric
D374,numeric
D375,numeric
D376,numeric
D377,numeric
D378,numeric
D379,numeric
D380,numeric
D381,numeric
D382,numeric
D383,numeric
D386,numeric
D387,numeric
D388,numeric
D389,numeric
D390,numeric
D391,numeric
D392,numeric
D393,numeric
D394,numeric
D395,numeric
D396,numeric
D400,numeric
D409,numeric
D410,numeric
D415,numeric
D416,numeric
D417,numeric
D418,numeric
D419,numeric
D420,numeric
D421,numeric
D422,numeric
D423,numeric
D424,numeric
D426,numeric
D427,numeric
D428,numeric
D429,numeric
D430,numeric
D431,numeric
D432,numeric
D433,numeric
D434,numeric
D435,numeric
D436,numeric
D440,numeric
D441,numeric
D442,numeric
D443,numeric
D444,numeric
D445,numeric
D446,numeric
D447,numeric
D448,numeric
D449,numeric
D451,numeric
D452,numeric
D453,numeric
D454,numeric
D455,numeric
D456,numeric
D457,numeric
D458,numeric
D459,numeric
D460,numeric
D461,numeric
D462,numeric
D463,numeric
D464,numeric
D465,numeric
D466,numeric
D467,numeric
D469,numeric
D470,numeric
D471,numeric
D472,numeric
D473,numeric
D474,numeric
D475,numeric
D476,numeric
D477,numeric
D478,numeric
D479,numeric
D480,numeric
D481,numeric
D482,numeric
D486,numeric
D491,numeric
D492,numeric
D493,numeric
D494,numeric
D495,numeric
D496,numeric
D497,numeric
D498,numeric
D499,numeric
D504,numeric
D505,numeric
D508,numeric
D512,numeric
D513,numeric
D514,numeric
D515,numeric
D516,numeric
D517,numeric
D518,numeric
D519,numeric
D520,numeric
D521,numeric
D522,numeric
D523,numeric
D524,numeric
D525,numeric
D526,numeric
D527,numeric
D528,numeric
D529,numeric
D530,numeric
D531,numeric
D532,numeric
D534,numeric
D535,numeric
D536,numeric
D537,numeric
D538,numeric
D539,numeric
D542,numeric
D543,numeric
D544,numeric
D545,numeric
D546,numeric
D547,numeric
D548,numeric
D549,numeric
D550,numeric
D551,numeric
D552,numeric
D553,numeric
D554,numeric
D555,numeric
D556,numeric
D557,numeric
D558,numeric
D559,numeric
