row_index,mixed_classical_selected,mixed_balanced_selected,mixed_balanced_k2,mixed_balanced_k3,mixed_balanced_k4
0,1,1,0,1,0
1,0,0,1,2,2
2,1,1,0,1,0
3,1,1,0,1,0
4,1,3,0,1,1
5,0,0,1,2,2
6,0,0,1,2,2
7,0,0,1,2,2
8,1,1,0,1,0
9,1,2,1,0,3
10,1,3,0,1,1
11,1,2,1,0,3
12,0,0,1,2,2
13,1,2,1,0,3
14,1,3,0,1,1
15,1,1,0,1,0
16,1,2,1,0,3
17,1,1,0,1,0
18,1,3,0,1,1
19,1,2,1,0,3
20,0,0,1,2,2
21,1,2,1,0,3
22,1,2,1,0,3
23,1,1,0,1,0
24,1,1,0,1,0
25,1,1,0,1,0
26,1,1,0,1,0
27,0,0,1,2,2
28,0,0,1,2,2
29,1,2,1,0,3
30,1,2,1,0,3
31,1,2,1,0,3
32,1,3,0,1,1
33,0,0,1,2,2
34,1,1,0,1,0
35,1,2,1,0,3
36,0,0,1,2,2
37,0,0,1,2,2
38,1,3,0,1,1
39,1,2,1,0,3
40,1,2,1,0,3
41,1,1,0,1,0
42,1,1,0,1,0
43,1,2,1,0,3
44,1,1,0,1,0
45,1,2,1,0,3
46,1,1,0,1,0
47,0,0,1,2,2
48,1,1,0,1,0
49,1,2,1,0,3
50,1,2,1,0,3
51,0,0,1,2,2
52,1,3,0,1,1
53,1,2,1,0,3
54,0,0,1,2,2
55,0,0,1,2,2
56,1,1,0,1,0
57,1,3,0,1,1
58,1,2,1,0,3
59,0,0,1,2,2
60,1,2,1,0,3
61,1,1,0,1,0
62,1,2,1,0,3
63,0,0,1,2,2
64,1,2,1,0,3
65,0,0,1,2,2
66,1,1,0,1,0
67,1,2,1,0,3
68,1,1,0,1,0
69,1,1,0,1,0
70,1,1,0,1,0
71,1,2,1,0,3
72,1,3,0,1,1
73,1,2,1,0,3
74,1,2,1,0,3
75,1,2,1,0,3
76,1,1,0,1,0
77,1,1,0,1,0
78,1,1,0,1,0
79,1,3,0,1,1
80,0,0,1,2,2
81,1,1,0,1,0
82,1,1,0,1,0
83,0,0,1,2,2
84,1,2,1,0,3
85,1,1,0,1,0
86,1,1,0,1,0
87,1,2,1,0,3
88,0,0,1,2,2
89,0,0,1,2,2
90,0,0,1,2,2
91,1,1,0,1,0
92,0,0,1,2,2
93,1,3,0,1,1
94,0,0,1,2,2
95,0,0,1,2,2
96,1,1,0,1,0
97,1,3,0,1,1
98,1,2,1,0,3
99,1,1,0,1,0
100,1,3,0,1,1
101,1,1,0,1,0
102,1,2,1,0,3
103,1,1,0,1,0
104,0,0,1,2,2
105,0,0,1,2,2
106,0,0,1,2,2
107,1,2,1,0,3
108,1,3,0,1,1
109,1,2,1,0,3
110,1,1,0,1,0
111,1,3,0,1,1
112,0,0,1,2,2
113,0,0,1,2,2
114,1,2,1,0,3
115,1,2,1,0,3
116,0,0,1,2,2
117,0,0,1,2,2
118,0,0,1,2,2
119,1,2,1,0,3
120,1,1,0,1,0
121,1,2,1,0,3
122,1,2,1,0,3
123,1,2,1,0,3
124,1,2,1,0,3
125,0,0,1,2,2
126,1,2,1,0,3
127,1,1,0,1,0
128,0,0,1,2,2
129,0,0,1,2,2
130,1,2,1,0,3
131,0,0,1,2,2
132,1,1,0,1,0
133,0,0,1,2,2
134,1,2,1,0,3
135,1,1,0,1,0
136,1,1,0,1,0
137,1,3,0,1,1
138,1,2,1,0,3
139,1,2,1,0,3
140,0,0,1,2,2
141,1,2,1,0,3
142,1,2,1,0,3
143,0,0,1,2,2
144,1,3,0,1,1
145,1,2,1,0,3
146,0,0,1,2,2
147,0,0,1,2,2
148,0,0,1,2,2
149,1,3,0,1,1
150,1,3,0,1,1
151,1,2,1,0,3
152,0,0,1,2,2
153,1,2,1,0,3
154,0,0,1,2,2
155,1,2,1,0,3
156,1,1,0,1,0
157,0,0,1,2,2
158,1,2,1,0,3
159,1,3,0,1,1
160,1,2,1,0,3
161,1,3,0,1,1
162,1,1,0,1,0
163,1,1,0,1,0
164,1,2,1,0,3
165,1,3,0,1,1
166,1,3,0,1,1
167,1,1,0,1,0
168,1,2,1,0,3
169,1,1,0,1,0
170,0,0,1,2,2
171,1,1,0,1,0
172,0,0,1,2,2
173,0,0,1,2,2
174,0,0,1,2,2
175,0,0,1,2,2
176,0,0,1,2,2
177,0,0,1,2,2
178,1,3,0,1,1
179,0,0,1,2,2
180,1,2,1,0,3
181,1,1,0,1,0
182,0,0,1,2,2
183,1,3,0,1,1
184,1,2,1,0,3
185,1,1,0,1,0
186,1,1,0,1,0
187,1,2,1,0,3
188,1,3,0,1,1
189,1,2,1,0,3
190,1,2,1,0,3
191,1,1,0,1,0
192,1,1,0,1,0
193,1,3,0,1,1
194,0,0,1,2,2
195,1,3,0,1,1
196,0,0,1,2,2
197,1,2,1,0,3
198,1,2,1,0,3
199,1,2,1,0,3
200,0,0,1,2,2
201,1,3,0,1,1
202,0,0,1,2,2
203,0,0,1,2,2
204,1,1,0,1,0
205,1,1,0,1,0
206,1,1,0,1,0
207,1,2,1,0,3
208,1,3,0,1,1
209,0,0,1,2,2
210,0,0,1,2,2
211,0,0,1,2,2
212,0,0,1,2,2
213,1,1,0,1,0
214,1,1,0,1,0
215,0,0,1,2,2
216,1,3,0,1,1
217,1,1,0,1,0
218,1,1,0,1,0
219,1,2,1,0,3
220,1,3,0,1,1
221,1,1,0,1,0
222,1,1,0,1,0
223,1,2,1,0,3
224,0,0,1,2,2
225,1,2,1,0,3
226,1,2,1,0,3
227,1,1,0,1,0
228,1,2,1,0,3
229,0,0,1,2,2
230,1,3,0,1,1
231,0,0,1,2,2
232,0,0,1,2,2
233,1,3,0,1,1
234,1,2,1,0,3
235,0,0,1,2,2
236,0,0,1,2,2
237,1,2,1,0,3
238,1,3,0,1,1
239,1,2,1,0,3
240,0,0,1,2,2
241,1,1,0,1,0
242,0,0,1,2,2
243,0,0,1,2,2
244,1,3,0,1,1
245,1,3,0,1,1
