method,n_row_clusters,n_column_clusters,n_blocks,block_r2_mean,block_r2_std,weighted_h_score_mean,weighted_h_score_std,row_cluster_entropy_mean,row_cluster_entropy_std,column_cluster_entropy_mean,column_cluster_entropy_std,smallest_row_cluster_fraction_mean,smallest_row_cluster_fraction_std,largest_row_cluster_fraction_mean,largest_row_cluster_fraction_std,smallest_column_cluster_fraction_mean,smallest_column_cluster_fraction_std,largest_column_cluster_fraction_mean,largest_column_cluster_fraction_std,feature_type_nmi_mean,feature_type_nmi_std,sparse_flag_nmi_mean,sparse_flag_nmi_std,feature_zero_fraction_eta2_mean,feature_zero_fraction_eta2_std,block_mean_range_mean,block_mean_range_std,block_zero_fraction_range_mean,block_zero_fraction_range_std,activity_chi2_p_value_mean,activity_chi2_p_value_std,activity_cramers_v_mean,activity_cramers_v_std,activity_nmi_mean,activity_nmi_std
bistochastic,2,3,6,0.31154517207228605,,0.04376654779575646,,0.8575203186873372,,0.7490744685393969,,0.28152492668621704,,0.718475073313783,,0.08338804990151018,,0.6677609980302035,,0.1339659377389402,,0.309783139572117,,0.3402645387906647,,0.5438761462041956,,0.5881520235891384,,3.986074448267151e-05,,0.06707907541869731,,0.0035227724259420806,
bistochastic,2,4,8,0.34178168668902975,,0.043548130149150606,,0.8575203186873372,,0.7055563275754347,,0.28152492668621704,,0.718475073313783,,0.04136572554169402,,0.6533158240315168,,0.16725705663099782,,0.29773861127367995,,0.38934585972041597,,0.6685510500160885,,0.7782984828143416,,3.986074448267151e-05,,0.06707907541869731,,0.0035227724259420806,
bistochastic,2,5,10,0.3542400737012712,,0.04315046089543968,,0.8575203186873372,,0.6865464484235566,,0.28152492668621704,,0.718475073313783,,0.02954694681549573,,0.6401838476690742,,0.15027531133365435,,0.2914233133114416,,0.4298207166365455,,0.7074877756937841,,0.8302470360942121,,3.986074448267151e-05,,0.06707907541869731,,0.0035227724259420806,
bistochastic,2,6,12,0.3637940299169853,,0.04315570068516572,,0.8575203186873372,,0.6764551270086508,,0.28152492668621704,,0.718475073313783,,0.026920551543007223,,0.618516086671044,,0.15919388371126583,,0.27174458857761674,,0.43565241349198214,,0.7168327255676922,,0.8294938510966385,,3.986074448267151e-05,,0.06707907541869731,,0.0035227724259420806,
bistochastic,2,7,14,0.36990784433076707,,0.0426016972595678,,0.8575203186873372,,0.6527246078193949,,0.28152492668621704,,0.718475073313783,,0.02495075508864084,,0.6172028890347997,,0.15452512209295005,,0.26544983890199497,,0.43979636977585723,,0.7294595068089181,,0.8531236178681999,,3.986074448267151e-05,,0.06707907541869731,,0.0035227724259420806,
bistochastic,2,8,16,0.37418232204520485,,0.042430345313070855,,0.8575203186873372,,0.6463481067689628,,0.28152492668621704,,0.718475073313783,,0.014445173998686802,,0.6093237032173342,,0.15526382564324684,,0.2669443160762979,,0.47193306470450397,,0.7458310406192321,,0.8590482318692904,,3.986074448267151e-05,,0.06707907541869731,,0.0035227724259420806,
bistochastic,3,3,9,0.32207484072700265,,0.04101510740226153,,0.9934469035701733,,0.7410022150161044,,0.28152492668621704,,0.37803252466009063,,0.08010505581089954,,0.6730137885751806,,0.13041746804408638,,0.3049353362465373,,0.3469836114796903,,0.6042304449970451,,0.6723184628774201,,2.816426709791359e-09,,0.1024566202842796,,0.005895028177150219,
bistochastic,3,4,12,0.35430375611142584,,0.040904225332048794,,0.9934469035701733,,0.708271882667636,,0.28152492668621704,,0.37803252466009063,,0.04136572554169402,,0.6487196323046619,,0.15837776769768983,,0.30259233130442187,,0.3816558691776181,,0.7172618508327547,,0.8319757018218327,,2.816426709791359e-09,,0.1024566202842796,,0.005895028177150219,
bistochastic,3,5,15,0.3693411126697851,,0.04075621263028214,,0.9934469035701733,,0.6835438062681373,,0.28152492668621704,,0.37803252466009063,,0.028890347997373604,,0.6414970453053185,,0.15310541875616726,,0.29070025692804646,,0.4298809340479064,,0.765360266867241,,0.8902390604260952,,2.816426709791359e-09,,0.1024566202842796,,0.005895028177150219,
bistochastic,3,6,18,0.37846273028734756,,0.040653683345097336,,0.9934469035701733,,0.6791310067708716,,0.28152492668621704,,0.37803252466009063,,0.028890347997373604,,0.6178594878529219,,0.15427880707307007,,0.2745743527294374,,0.4366571717799038,,0.7652232901547957,,0.8901376928100245,,2.816426709791359e-09,,0.1024566202842796,,0.005895028177150219,
