method,n_row_clusters,n_column_clusters,seed,mean_row_ari_to_other_seeds,mean_column_ari_to_other_seeds,mean_combined_ari_to_other_seeds
bistochastic,3,8,7,0.7295248682722221,0.7007432635790538,0.715134065925638
bistochastic,3,8,42,0.7299214905889538,0.7003344350628228,0.7151279628258883
bistochastic,3,8,99,0.7279174426940827,0.6960057845460116,0.7119616136200471
bistochastic,3,8,123,0.5992315903721309,0.5174950928435856,0.5583633416078583
bistochastic,3,8,2026,0.59856805518059,0.4743402105359701,0.53645413285828
bistochastic,4,7,42,0.9055498753186075,0.692996047507989,0.7992729614132983
bistochastic,4,7,7,0.9047339451573786,0.6930436335498261,0.7988887893536023
bistochastic,4,7,99,0.9029800131002601,0.6860031832462208,0.7944915981732404
bistochastic,4,7,123,0.9042056518312536,0.5006767396730769,0.7024411957521652
bistochastic,4,7,2026,0.8884796718718971,0.4797721178428693,0.6841258948573832
bistochastic,4,8,42,0.9056449438332606,0.6999382038823454,0.802791573857803
bistochastic,4,8,7,0.904824037668315,0.7006298150832219,0.8027269263757684
bistochastic,4,8,99,0.9031530561574604,0.6956660095882676,0.7994095328728641
bistochastic,4,8,123,0.9050009373529977,0.5097047690957702,0.707352853224384
bistochastic,4,8,2026,0.8889167533108515,0.48591251053415413,0.6874146319225029
