method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,candidate_rank,status,error
bistochastic,3,8,24,42,bistochastic_r3_c8_seed42,0.39619513071859946,0.040355505510019554,265732.3015937409,440096.3210349626,0.8019119526993874,0.9132036987413928,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.6381736581034182,24,934,0.015758371634931056,0.613263296126067,0.15652127109295033,0.2649104252774071,0.46751870260413303,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,1,ok,
bistochastic,3,8,24,7,bistochastic_r3_c8_seed7,0.3948576733158188,0.040375914624706986,266320.9116762456,440096.3210349626,0.8012329314351831,0.9125794521721383,0.993328622523495,1054,1419,0.2809917355371901,0.3782991202346041,0.6347675201992362,22,935,0.014445173998686802,0.6139198949441891,0.1547726557440793,0.2649689619370761,0.4659217811088282,40.01464773248412,2.0461131534247224e-09,2,0.10328469393475224,0.005991821324262332,482.46280991735534,1,ok,
bistochastic,3,8,24,99,bistochastic_r3_c8_seed99,0.39650003341596796,0.04036392143003474,265598.11503835535,440096.3210349626,0.8816099642310562,0.9676963244134862,0.9935694662329281,1056,1413,0.28152492668621704,0.3766995467875233,0.6248331968868495,16,941,0.010505581089954037,0.6178594878529219,0.15616640685877142,0.26623225443748816,0.4603546205084211,39.65688706057455,2.4469009528245987e-09,2,0.10282193632357539,0.0059365245770093234,483.3782991202346,1,ok,
bistochastic,3,8,24,123,bistochastic_r3_c8_seed123,0.2953683293446293,0.0410755747577037,310105.8059401481,440096.3210349626,0.6994786003074742,0.6994786003074742,0.6550435584103503,173,2696,0.04612103439082911,0.7187416688882965,0.7665635796516691,31,686,0.020354563361785948,0.45042678923177937,0.4361435012588607,0.29333376990473337,0.30648573467132983,20.496959159397676,3.541130000079768e-05,2,0.07392157061966834,0.003924564467618971,79.18981604905359,1,ok,
bistochastic,3,8,24,2026,bistochastic_r3_c8_seed2026,0.17553393892582214,0.04205762236396514,362844.48029693245,440096.3210349626,0.6998930803072654,0.6835936295179066,0.6547722374852504,173,2697,0.04612103439082911,0.71900826446281,0.8061772903216043,23,631,0.015101772816808929,0.4143138542350624,0.3864455094427204,0.1903025699056829,0.09719647895537203,20.778319581053672,3.0764172040233356e-05,2,0.0744271996392135,0.003978935325860086,79.18981604905359,1,ok,
bistochastic,4,7,28,42,bistochastic_r4_c7_seed42,0.3919452209282086,0.040318117065534224,267602.67125722236,440096.3210349626,0.7761667129293858,0.9135725558501374,0.920075117028649,381,1418,0.10157291388962943,0.37803252466009063,0.6510619259923425,34,940,0.02232435981615233,0.6172028890347997,0.15307418775348874,0.26848192430892986,0.44271906547445444,41.3556146140897,5.496602315147035e-09,3,0.1050010658869738,0.005618852066589696,174.40069314849373,2,ok,
bistochastic,4,7,28,7,bistochastic_r4_c7_seed7,0.3913419570153893,0.040280658672622614,267868.1654858673,440096.3210349626,0.7851684223918264,0.9090368430363881,0.9210330956558721,390,1418,0.1039722740602506,0.37803252466009063,0.6533502066044633,36,938,0.023637557452396585,0.6158896913985554,0.15627765926241913,0.2667581845665463,0.442431669200932,41.85409095758043,4.308602161063272e-09,3,0.10563198106906306,0.005684491455066362,178.52039456145027,2,ok,
bistochastic,4,7,28,99,bistochastic_r4_c7_seed99,0.3904995315838715,0.04004003462565405,268238.9138190246,440096.3210349626,0.8098608037623415,0.9395440773088712,0.9219285730734377,398,1413,0.1061050386563583,0.3766995467875233,0.6577638853422281,30,942,0.01969796454366382,0.618516086671044,0.15787989699424096,0.2681651308194782,0.4567382902818625,39.90826837055418,1.1142973878455951e-08,3,0.10314731084272317,0.005408927014719316,182.18235137296722,2,ok,
bistochastic,4,7,28,123,bistochastic_r4_c7_seed123,0.29423858024477945,0.03946414443170088,310603.00436268456,440096.3210349626,0.6955345599608116,0.6955345599608116,0.8774604253045157,171,1389,0.045587843241802185,0.3703012529992002,0.7656004179275391,28,723,0.018384766907419567,0.4747209455022981,0.43554776856751803,0.2955856256766608,0.2824069577902288,52.42226907601051,2.434481136035787e-11,3,0.11821820901036512,0.007354236099381424,78.27432684617435,2,ok,
bistochastic,4,7,28,2026,bistochastic_r4_c7_seed2026,0.17891838082481482,0.039625230034624634,361354.9998684292,440096.3210349626,0.6815430148936883,0.6815430148936883,0.8780092348377627,173,1371,0.04612103439082911,0.3655025326579579,0.8148256987671587,38,671,0.02495075508864084,0.44057780695994747,0.4121790417949299,0.17274061780238759,0.025390603852770335,54.52525276505841,8.669366053215954e-12,3,0.1205661274421325,0.007643140446070015,79.18981604905359,2,ok,
