method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,column_cluster_global_mean,mean_contrast_to_column_cluster,absolute_mean_contrast,standardized_mean_contrast,column_cluster_global_zero_fraction,zero_fraction_contrast_to_column_cluster,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,0,675,24,16200,24,0,1.0,0,0.0,0.6930246913580247,0.46123905789312697,0.3069753086419753,0.6930246913580247,0.1727561880810852,0.4529680973962499,0.2400565939617748,0.2400565939617748,0.48225140827301044,0.5470319026037501,-0.2400565939617748,16200,0.6930246913580247,0.46123905789312697,0.3069753086419753,0.6930246913580247,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,1,675,934,630450,339,595,0.36295503211991437,619,0.6627408993576017,0.04942395035533825,0.18604773909720124,0.8426108335316044,0.15738916646839562,0.02884868701899832,0.019000187750441423,0.03042376260489683,0.03042376260489683,0.30801850362252226,0.899997259831354,-0.05738642629974966,228825,0.09155031137332022,0.2883901036110087,0.9084496886266797,0.09155031137332022,401625,0.02542254466610146,0.07322868961577984,0.8050992841581077
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,2,675,51,34425,51,0,1.0,0,0.0,0.5828322440087146,0.4930910862634618,0.4171677559912854,0.5828322440087146,0.21766208691497255,0.18180249972556337,0.4010297442831512,0.4010297442831512,1.0397946678480794,0.8181975002744366,-0.4010297442831512,34425,0.5828322440087146,0.4930910862634618,0.4171677559912854,0.5828322440087146,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,3,675,35,23625,18,17,0.5142857142857142,0,0.0,0.7373009704341164,0.34704602447609306,0.15034920634920634,0.8496507936507937,0.08740734754471795,0.7467209981349658,-0.009420027700849487,0.009420027700849487,-0.027653636690109996,0.14272003656167878,0.007629169787527562,12150,0.7120164609053498,0.45282338754217444,0.2879835390946502,0.7120164609053498,11475,0.7640728040528106,0.1716457876818804,0.004618736383442266
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,4,675,193,130275,191,2,0.9896373056994818,7,0.03626943005181347,0.2581781594287853,0.43676956084978763,0.7395048934945307,0.26049510650546925,0.18236294439752998,0.08298617152527202,0.17519198790351329,0.17519198790351329,0.6366656783013038,0.9158801176335706,-0.17637522413903983,128925,0.25885592398681406,0.4380063179952394,0.741144076013186,0.25885592398681406,1350,0.19345164413703705,0.28846873351677177,0.582962962962963
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,5,675,44,29700,24,20,0.5454545454545454,0,0.0,0.455863483147037,0.3833977724700979,0.3463299663299663,0.6536700336700336,0.12000713489619282,0.48605642822521267,-0.03019294507817566,0.03019294507817566,-0.07765529275802342,0.3032827609607135,0.04304720536925283,16200,0.3696913580246914,0.4827210973497541,0.6303086419753087,0.3696913580246914,13500,0.5592700332938518,0.15543232634887852,0.005555555555555556
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,6,675,152,102600,104,48,0.6842105263157895,0,0.0,0.23361712677503899,0.3765510520591252,0.5580214424951268,0.44197855750487325,0.13049571909216498,0.17316355520659227,0.06045357156844672,0.06045357156844672,0.18057792364560624,0.6288638819121919,-0.07084243941706514,70200,0.259017094017094,0.43809501141194696,0.740982905982906,0.259017094017094,32400,0.17858386441725307,0.16951404851137122,0.16160493827160494
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,7,675,90,60750,77,13,0.8555555555555555,0,0.0,0.2950251018839506,0.4278950525615481,0.6140082304526749,0.38599176954732506,0.16877172472043053,0.30850052127286354,-0.013475419388912946,0.013475419388912946,-0.031107071169632742,0.602911816108297,0.011096414344377914,51975,0.29489177489177487,0.45599409644528693,0.7051082251082251,0.29489177489177487,8775,0.29581480791452985,0.18969792446846948,0.07441595441595442
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,0,1277,24,30648,24,0,1.0,0,0.0,0.6399438788827982,0.48001636509939616,0.36005612111720176,0.6399438788827982,0.17969433541004604,0.4529680973962499,0.18697578148654836,0.18697578148654836,0.37561698450654785,0.5470319026037501,-0.18697578148654836,30648,0.6399438788827982,0.48001636509939616,0.36005612111720176,0.6399438788827982,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,1,1277,934,1192718,339,595,0.36295503211991437,619,0.6627408993576017,0.012339893528004103,0.05706743901070664,0.903328364290637,0.09667163570936299,0.002743748900511376,0.019000187750441423,-0.006660294222437319,0.006660294222437319,-0.067430642512004,0.899997259831354,0.003331104459282974,432903,0.001473771260536425,0.03836142931132835,0.9985262287394636,0.001473771260536425,759815,0.01853084386190586,0.06456118248731449,0.8490895810164316
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,2,1277,51,65127,51,0,1.0,0,0.0,0.02080550309395489,0.14273273673184547,0.9791944969060451,0.020805503093954902,0.01314283168476975,0.18180249972556337,-0.1609969966316085,0.1609969966316085,-0.4174349185403677,0.8181975002744366,0.1609969966316085,65127,0.02080550309395489,0.14273273673184547,0.9791944969060451,0.02080550309395489,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,3,1277,35,44695,18,17,0.5142857142857142,0,0.0,0.8021335352621993,0.29197096708484316,0.08651974493791252,0.9134802550620875,0.06595137958659736,0.7467209981349658,0.055412537127233485,0.055412537127233485,0.16267024030678381,0.14272003656167878,-0.05620029162376626,22986,0.8412076916383886,0.36548229938918014,0.15879230836161143,0.8412076916383886,21709,0.7607608990991754,0.17534402584366518,0.009995854253996038
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,4,1277,193,246461,191,2,0.9896373056994818,7,0.03626943005181347,0.003798353586226624,0.05850151831606266,0.9950864436969744,0.00491355630302559,0.0029195814784272515,0.08298617152527202,-0.07918781793904539,0.07918781793904539,-0.2877766639027414,0.9158801176335706,0.07920632606340383,243907,0.0029027457186550612,0.0537988827574318,0.997097254281345,0.0029027457186550612,2554,0.0893289049393109,0.21555660779124705,0.803054032889585
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,5,1277,44,56188,24,20,0.5454545454545454,0,0.0,0.4883147996844878,0.3856378879485393,0.30442443226311666,0.6955755677368833,0.12955912580860868,0.48605642822521267,0.0022583714592751547,0.0022583714592751547,0.005808459438862177,0.3032827609607135,0.0011416713024031688,30648,0.45370007830853565,0.4978517020673568,0.5462999216914644,0.45370007830853565,25540,0.5298524653356304,0.16305123205482816,0.014173844949099451
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,6,1277,152,194104,104,48,0.6842105263157895,0,0.0,0.21948453050091704,0.3725444562556633,0.5737079091620987,0.4262920908379013,0.1275468001323905,0.17316355520659227,0.04632097529432477,0.04632097529432477,0.13836313261356425,0.6288638819121919,-0.05515597275009321,132808,0.25197277272453467,0.43414570656640683,0.7480272272754653,0.25197277272453467,61296,0.14909333901641217,0.15452874676002945,0.19601605324980423
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,7,1277,90,114930,77,13,0.8555555555555555,0,0.0,0.39753798447155664,0.4619114176885807,0.5135995823544767,0.48640041764552333,0.1767348984193705,0.30850052127286354,0.0890374631986931,0.0890374631986931,0.2055368092487051,0.602911816108297,-0.08931223375382036,98329,0.41208595633027895,0.49221044373889344,0.587914043669721,0.41208595633027895,16601,0.31136922807758566,0.18290300751232347,0.0734293114872598
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,0,1418,24,34032,24,0,1.0,0,0.0,0.08104137282557593,0.2728986418363454,0.9189586271744241,0.08104137282557589,0.05052836896892197,0.4529680973962499,-0.37192672457067394,0.37192672457067394,-0.7471662566666931,0.5470319026037501,0.371926724570674,34032,0.08104137282557593,0.2728986418363454,0.9189586271744241,0.08104137282557593,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,1,1418,934,1324412,339,595,0.36295503211991437,619,0.6627408993576017,0.005986387150207035,0.036321495495107915,0.9430177316424194,0.05698226835758058,0.0011501552273994763,0.019000187750441423,-0.013013800600234387,0.013013800600234387,-0.13175528087643226,0.899997259831354,0.043020471811065386,480702,1.8722618170925023e-05,0.004326923576225242,0.9999812773818291,1.8722618170925023e-05,843710,0.009386451480224248,0.04503746981400999,0.9105628711287054
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,2,1418,51,72318,51,0,1.0,0,0.0,0.00027655632069470946,0.01662768286010391,0.9997234436793053,0.0002765563206946764,0.00026579548894047343,0.18180249972556337,-0.18152594340486866,0.18152594340486866,-0.4706626147291608,0.8181975002744366,0.18152594340486872,72318,0.00027655632069470946,0.01662768286010391,0.9997234436793053,0.00027655632069470946,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,3,1418,35,49630,18,17,0.5142857142857142,0,0.0,0.6957705591135603,0.37326452542285066,0.19683659077171065,0.8031634092282893,0.09982552861357973,0.7467209981349658,-0.0509504390214055,0.0509504390214055,-0.14957120877388633,0.14272003656167878,0.054116554210031864,25524,0.6319542391474691,0.482273862832118,0.36804576085253093,0.6319542391474691,24106,0.7633407802541277,0.17804756306951391,0.015556293039077409
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,4,1418,193,273674,191,2,0.9896373056994818,7,0.03626943005181347,0.00022158256281195877,0.011996409715578272,0.9995651760854155,0.0004348239145844923,0.00013845986237027467,0.08298617152527202,-0.08276458896246006,0.08276458896246006,-0.30077501717792043,0.9158801176335706,0.08368505845184493,270838,1.4768976288408569e-05,0.0038430142031676074,0.9999852310237116,1.4768976288408569e-05,2836,0.019972280075811002,0.10992313212199734,0.9594499294781382
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,5,1418,44,62392,24,20,0.5454545454545454,0,0.0,0.493840862810168,0.39355181563512326,0.2818310039748686,0.7181689960251314,0.13029053615571598,0.48605642822521267,0.007784434584955313,0.007784434584955313,0.02002131773118547,0.3032827609607135,-0.021451756985844894,34032,0.5206864127879642,0.49957188904697786,0.4793135872120357,0.5206864127879642,28360,0.4616262028368124,0.19837736293401545,0.044851904090267986
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,6,1418,152,215536,104,48,0.6842105263157895,0,0.0,0.06757967406637407,0.19657108410992843,0.7491463143048029,0.25085368569519706,0.03323929879160546,0.17316355520659227,-0.1055838811402182,0.1055838811402182,-0.3153844765839526,0.6288638819121919,0.12028243239261105,147472,0.047554790061842246,0.212822301472417,0.9524452099381577,0.047554790061842246,68064,0.11096692274285967,0.14653932759061675,0.30866537376586745
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,7,1418,90,127620,77,13,0.8555555555555555,0,0.0,0.21620138710746745,0.37884794270103295,0.6974847202632816,0.30251527973671843,0.11501828787900123,0.30850052127286354,-0.09229913416539609,0.09229913416539609,-0.21306615048587899,0.602911816108297,0.09457290415498454,109186,0.20187569834960525,0.40139992621507103,0.7981243016503947,0.20187569834960525,18434,0.30105354359634373,0.17574708017387033,0.10138873820115005
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,0,381,24,9144,24,0,1.0,0,0.0,0.7852143482064742,0.41067356328007787,0.21478565179352582,0.7852143482064742,0.1383277064393635,0.4529680973962499,0.3322462508102243,0.3322462508102243,0.6674518691712005,0.5470319026037501,-0.3322462508102243,9144,0.7852143482064742,0.41067356328007787,0.21478565179352582,0.7852143482064742,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,1,381,934,355854,339,595,0.36295503211991437,619,0.6627408993576017,0.035857734246188044,0.1272684647072222,0.8303883053162252,0.1696116946837748,0.012764204355875695,0.019000187750441423,0.016857546495746622,0.016857546495746622,0.17067041686458678,0.899997259831354,-0.06960895451512883,129159,0.024078848551010768,0.15329402337817433,0.9759211514489893,0.024078848551010768,226695,0.04256872962545711,0.10914666261217026,0.7474712719733563
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,2,381,51,19431,51,0,1.0,0,0.0,0.686531830580001,0.46390287364972616,0.31346816941999894,0.686531830580001,0.1941647890301633,0.18180249972556337,0.5047293308544376,0.5047293308544376,1.3086681833715117,0.8181975002744366,-0.5047293308544376,19431,0.686531830580001,0.46390287364972616,0.31346816941999894,0.686531830580001,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,3,381,35,13335,18,17,0.5142857142857142,0,0.0,0.7673100567148856,0.3228467839875321,0.1161604799400075,0.8838395200599924,0.07921045281120838,0.7467209981349658,0.020589058579919772,0.020589058579919772,0.06044168486990213,0.14272003656167878,-0.026559556621671282,6858,0.7764654418197725,0.41661356132439803,0.22353455818022747,0.7764654418197725,6477,0.7576161195450054,0.17501963360115694,0.0024702794503628223
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,4,381,193,73533,191,2,0.9896373056994818,7,0.03626943005181347,0.34605294008710374,0.47475586443745893,0.651421810615642,0.34857818938435803,0.21444476686800845,0.08298617152527202,0.26306676856183175,0.26306676856183175,0.9560116569782469,0.9158801176335706,-0.2644583070179286,72771,0.3472124884912946,0.4760840013348245,0.6527875115087054,0.3472124884912946,762,0.23531606748687664,0.30397421760771415,0.520997375328084
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,5,381,44,16764,24,20,0.5454545454545454,0,0.0,0.5030064789674897,0.38837965857544193,0.30303030303030304,0.696969696969697,0.12795067847475325,0.48605642822521267,0.016950050742277067,0.016950050742277067,0.04359499046041421,0.3032827609607135,-0.0002524579304104546,9144,0.44892825896762906,0.4973848381966647,0.551071741032371,0.44892825896762906,7620,0.567900342967323,0.16508997325406927,0.005380577427821522
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,6,381,152,57912,104,48,0.6842105263157895,0,0.0,0.30376695992384994,0.41352147737403355,0.49157342174333474,0.5084265782566653,0.15535307988060149,0.17316355520659227,0.13060340471725768,0.13060340471725768,0.3901190787079767,0.6288638819121919,-0.13729046016885715,39624,0.34845043408035536,0.4764795158971341,0.6515495659196446,0.34845043408035536,18288,0.20695276591808837,0.189464534349282,0.14495844269466315
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,7,381,90,34290,77,13,0.8555555555555555,0,0.0,0.3774644053393118,0.45878417791916476,0.5306211723534558,0.46937882764654415,0.19282493701673625,0.30850052127286354,0.06896388406644827,0.06896388406644827,0.1591983438789555,0.602911816108297,-0.07229064375484118,29337,0.39015577598254764,0.48778504123230737,0.6098442240174524,0.39015577598254764,4953,0.3022924407601454,0.20317912168549473,0.06137694326670705
