method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,column_cluster_global_mean,mean_contrast_to_column_cluster,absolute_mean_contrast,standardized_mean_contrast,column_cluster_global_zero_fraction,zero_fraction_contrast_to_column_cluster,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,2,381,51,19431,51,0,1.0,0,0.0,0.686531830580001,0.46390287364972616,0.31346816941999894,0.686531830580001,0.1941647890301633,0.18180249972556337,0.5047293308544376,0.5047293308544376,1.3086681833715117,0.8181975002744366,-0.5047293308544376,19431,0.686531830580001,0.46390287364972616,0.31346816941999894,0.686531830580001,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,2,675,51,34425,51,0,1.0,0,0.0,0.5828322440087146,0.4930910862634618,0.4171677559912854,0.5828322440087146,0.21766208691497255,0.18180249972556337,0.4010297442831512,0.4010297442831512,1.0397946678480794,0.8181975002744366,-0.4010297442831512,34425,0.5828322440087146,0.4930910862634618,0.4171677559912854,0.5828322440087146,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,0,1418,24,34032,24,0,1.0,0,0.0,0.08104137282557593,0.2728986418363454,0.9189586271744241,0.08104137282557589,0.05052836896892197,0.4529680973962499,-0.37192672457067394,0.37192672457067394,-0.7471662566666931,0.5470319026037501,0.371926724570674,34032,0.08104137282557593,0.2728986418363454,0.9189586271744241,0.08104137282557593,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,0,381,24,9144,24,0,1.0,0,0.0,0.7852143482064742,0.41067356328007787,0.21478565179352582,0.7852143482064742,0.1383277064393635,0.4529680973962499,0.3322462508102243,0.3322462508102243,0.6674518691712005,0.5470319026037501,-0.3322462508102243,9144,0.7852143482064742,0.41067356328007787,0.21478565179352582,0.7852143482064742,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,4,381,193,73533,191,2,0.9896373056994818,7,0.03626943005181347,0.34605294008710374,0.47475586443745893,0.651421810615642,0.34857818938435803,0.21444476686800845,0.08298617152527202,0.26306676856183175,0.26306676856183175,0.9560116569782469,0.9158801176335706,-0.2644583070179286,72771,0.3472124884912946,0.4760840013348245,0.6527875115087054,0.3472124884912946,762,0.23531606748687664,0.30397421760771415,0.520997375328084
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,0,675,24,16200,24,0,1.0,0,0.0,0.6930246913580247,0.46123905789312697,0.3069753086419753,0.6930246913580247,0.1727561880810852,0.4529680973962499,0.2400565939617748,0.2400565939617748,0.48225140827301044,0.5470319026037501,-0.2400565939617748,16200,0.6930246913580247,0.46123905789312697,0.3069753086419753,0.6930246913580247,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,0,1277,24,30648,24,0,1.0,0,0.0,0.6399438788827982,0.48001636509939616,0.36005612111720176,0.6399438788827982,0.17969433541004604,0.4529680973962499,0.18697578148654836,0.18697578148654836,0.37561698450654785,0.5470319026037501,-0.18697578148654836,30648,0.6399438788827982,0.48001636509939616,0.36005612111720176,0.6399438788827982,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,2,1418,51,72318,51,0,1.0,0,0.0,0.00027655632069470946,0.01662768286010391,0.9997234436793053,0.0002765563206946764,0.00026579548894047343,0.18180249972556337,-0.18152594340486866,0.18152594340486866,-0.4706626147291608,0.8181975002744366,0.18152594340486872,72318,0.00027655632069470946,0.01662768286010391,0.9997234436793053,0.00027655632069470946,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,0,4,675,193,130275,191,2,0.9896373056994818,7,0.03626943005181347,0.2581781594287853,0.43676956084978763,0.7395048934945307,0.26049510650546925,0.18236294439752998,0.08298617152527202,0.17519198790351329,0.17519198790351329,0.6366656783013038,0.9158801176335706,-0.17637522413903983,128925,0.25885592398681406,0.4380063179952394,0.741144076013186,0.25885592398681406,1350,0.19345164413703705,0.28846873351677177,0.582962962962963
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,2,1277,51,65127,51,0,1.0,0,0.0,0.02080550309395489,0.14273273673184547,0.9791944969060451,0.020805503093954902,0.01314283168476975,0.18180249972556337,-0.1609969966316085,0.1609969966316085,-0.4174349185403677,0.8181975002744366,0.1609969966316085,65127,0.02080550309395489,0.14273273673184547,0.9791944969060451,0.02080550309395489,0,,,
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,3,6,381,152,57912,104,48,0.6842105263157895,0,0.0,0.30376695992384994,0.41352147737403355,0.49157342174333474,0.5084265782566653,0.15535307988060149,0.17316355520659227,0.13060340471725768,0.13060340471725768,0.3901190787079767,0.6288638819121919,-0.13729046016885715,39624,0.34845043408035536,0.4764795158971341,0.6515495659196446,0.34845043408035536,18288,0.20695276591808837,0.189464534349282,0.14495844269466315
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,6,1418,152,215536,104,48,0.6842105263157895,0,0.0,0.06757967406637407,0.19657108410992843,0.7491463143048029,0.25085368569519706,0.03323929879160546,0.17316355520659227,-0.1055838811402182,0.1055838811402182,-0.3153844765839526,0.6288638819121919,0.12028243239261105,147472,0.047554790061842246,0.212822301472417,0.9524452099381577,0.047554790061842246,68064,0.11096692274285967,0.14653932759061675,0.30866537376586745
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,7,1418,90,127620,77,13,0.8555555555555555,0,0.0,0.21620138710746745,0.37884794270103295,0.6974847202632816,0.30251527973671843,0.11501828787900123,0.30850052127286354,-0.09229913416539609,0.09229913416539609,-0.21306615048587899,0.602911816108297,0.09457290415498454,109186,0.20187569834960525,0.40139992621507103,0.7981243016503947,0.20187569834960525,18434,0.30105354359634373,0.17574708017387033,0.10138873820115005
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,1,7,1277,90,114930,77,13,0.8555555555555555,0,0.0,0.39753798447155664,0.4619114176885807,0.5135995823544767,0.48640041764552333,0.1767348984193705,0.30850052127286354,0.0890374631986931,0.0890374631986931,0.2055368092487051,0.602911816108297,-0.08931223375382036,98329,0.41208595633027895,0.49221044373889344,0.587914043669721,0.41208595633027895,16601,0.31136922807758566,0.18290300751232347,0.0734293114872598
bistochastic,4,8,32,42,bistochastic_r4_c8_seed42,2,4,1418,193,273674,191,2,0.9896373056994818,7,0.03626943005181347,0.00022158256281195877,0.011996409715578272,0.9995651760854155,0.0004348239145844923,0.00013845986237027467,0.08298617152527202,-0.08276458896246006,0.08276458896246006,-0.30077501717792043,0.9158801176335706,0.08368505845184493,270838,1.4768976288408569e-05,0.0038430142031676074,0.9999852310237116,1.4768976288408569e-05,2836,0.019972280075811002,0.10992313212199734,0.9594499294781382
