feature,feature_index,is_binary,feature_type,mean,std,variance,zero_fraction,nonzero_fraction,one_fraction,n_unique,is_sparse,column_cluster
D1122,872,True,binary,0.0925086643561717,0.2897426640576234,0.0839508113752088,0.9074913356438284,0.0925086643561717,0.0925086643561717,2,False,1
D1204,954,True,binary,0.0797120767795254,0.2708469338852122,0.0733580615950205,0.9202879232204746,0.0797120767795254,0.0797120767795254,2,False,1
D1129,879,True,binary,0.0778459077579312,0.2679289502895774,0.0717859224032748,0.9221540922420688,0.0778459077579312,0.0778459077579312,2,False,1
D1085,835,True,binary,0.0514529458810983,0.2209197597347397,0.0488055402412551,0.9485470541189016,0.0514529458810983,0.0514529458810983,2,False,1
D1358,1108,True,binary,0.0429218874966675,0.2026810278994828,0.0410795990703909,0.9570781125033324,0.0429218874966675,0.0429218874966675,2,True,1
D1739,1485,True,binary,0.0405225273260463,0.1971812671253439,0.0388804521051562,0.9594774726739536,0.0405225273260463,0.0405225273260463,2,True,1
D1328,1078,True,binary,0.0394561450279925,0.1946775735608047,0.0378993576475225,0.9605438549720074,0.0394561450279925,0.0394561450279925,2,True,1
D1565,1313,True,binary,0.0394561450279925,0.1946775735608047,0.0378993576475225,0.9605438549720074,0.0394561450279925,0.0394561450279925,2,True,1
D1312,1062,True,binary,0.0389229538789656,0.193411368694556,0.0374079575403015,0.9610770461210344,0.0389229538789656,0.0389229538789656,2,True,1
D1269,1019,True,binary,0.0373233804318848,0.1895530155524349,0.0359303457050216,0.9626766195681152,0.0373233804318848,0.0373233804318848,2,True,1
D1596,1344,True,binary,0.0373233804318848,0.1895530155524349,0.0359303457050216,0.9626766195681152,0.0373233804318848,0.0373233804318848,2,True,1
D1614,1361,True,binary,0.0367901892828579,0.1882463047589231,0.0354366712553893,0.963209810717142,0.0367901892828579,0.0367901892828579,2,True,1
D1690,1437,True,binary,0.0359904025593175,0.1862661898545621,0.0346950934829357,0.9640095974406824,0.0359904025593175,0.0359904025593175,2,True,1
D1336,1086,True,binary,0.0354572114102905,0.1849324135171997,0.0341999975692965,0.9645427885897094,0.0354572114102905,0.0354572114102905,2,True,1
D1749,1495,True,binary,0.0354572114102905,0.1849324135171997,0.0341999975692965,0.9645427885897094,0.0354572114102905,0.0354572114102905,2,True,1
D1543,1291,True,binary,0.0346574246867502,0.18291060002316,0.0334562876008324,0.96534257531325,0.0346574246867502,0.0346574246867502,2,True,1
D1744,1490,True,binary,0.0346574246867502,0.18291060002316,0.0334562876008324,0.96534257531325,0.0346574246867502,0.0346574246867502,2,True,1
D1470,1219,True,binary,0.0335910423886963,0.1801740388067525,0.0324626842599371,0.9664089576113036,0.0335910423886963,0.0335910423886963,2,True,1
D1536,1284,True,binary,0.0319914689416155,0.1759773134712915,0.0309680148565732,0.9680085310583844,0.0319914689416155,0.0319914689416155,2,True,1
D1623,1370,True,binary,0.0317248733671021,0.175266670468014,0.0307184057769434,0.968275126632898,0.0317248733671021,0.0317248733671021,2,True,1
D1469,1218,True,binary,0.0306584910690482,0.1723906841868705,0.0297185479944173,0.9693415089309516,0.0306584910690482,0.0306584910690482,2,True,1
D1495,1243,True,binary,0.0301252999200213,0.1709320514846472,0.02921776622475,0.9698747000799788,0.0301252999200213,0.0301252999200213,2,True,1
D1513,1261,True,binary,0.0301252999200213,0.1709320514846472,0.02921776622475,0.9698747000799788,0.0301252999200213,0.0301252999200213,2,True,1
D1494,1242,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
D1605,1352,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
D1700,1447,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
D1764,1510,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
D1622,1369,True,binary,0.0295921087709944,0.1694591864416917,0.02871641586948,0.9704078912290056,0.0295921087709944,0.0295921087709944,2,True,1
D1224,974,True,binary,0.0293255131964809,0.1687173004532847,0.0284655274722439,0.9706744868035192,0.0293255131964809,0.0293255131964809,2,True,1
D1602,1349,True,binary,0.0293255131964809,0.1687173004532847,0.0284655274722439,0.9706744868035192,0.0293255131964809,0.0293255131964809,2,True,1
D1716,1462,True,binary,0.0293255131964809,0.1687173004532847,0.0284655274722439,0.9706744868035192,0.0293255131964809,0.0293255131964809,2,True,1
D1656,1403,True,binary,0.0290589176219674,0.1679717146682952,0.0282144969286071,0.9709410823780326,0.0290589176219674,0.0290589176219674,2,True,1
D1677,1424,True,binary,0.0290589176219674,0.1679717146682952,0.0282144969286071,0.9709410823780326,0.0290589176219674,0.0290589176219674,2,True,1
D1728,1474,True,binary,0.0290589176219674,0.1679717146682952,0.0282144969286071,0.9709410823780326,0.0290589176219674,0.0290589176219674,2,True,1
D1757,1503,True,binary,0.028792322047454,0.1672223795984548,0.0279633242385697,0.971207677952546,0.028792322047454,0.028792322047454,2,True,1
D1351,1101,True,binary,0.0285257264729405,0.1664692446133264,0.0277120094021315,0.9714742735270594,0.0285257264729405,0.0285257264729405,2,True,1
D1594,1342,True,binary,0.0285257264729405,0.1664692446133264,0.0277120094021315,0.9714742735270594,0.0285257264729405,0.0285257264729405,2,True,1
D1761,1507,True,binary,0.0285257264729405,0.1664692446133264,0.0277120094021315,0.9714742735270594,0.0285257264729405,0.0285257264729405,2,True,1
D1306,1056,True,binary,0.028259130898427,0.1657122579029464,0.0274605524192926,0.9717408691015728,0.028259130898427,0.028259130898427,2,True,1
D1473,1222,True,binary,0.0279925353239136,0.1649513664388781,0.027208953290053,0.9720074646760865,0.0279925353239136,0.0279925353239136,2,True,1
D1733,1479,True,binary,0.0274593441748866,0.1634176507981062,0.0267053285923718,0.9725406558251132,0.0274593441748866,0.0274593441748866,2,True,1
D1752,1498,True,binary,0.0274593441748866,0.1634176507981062,0.0267053285923718,0.9725406558251132,0.0274593441748866,0.0274593441748866,2,True,1
D1326,1076,True,binary,0.0271927486003732,0.1626447140977232,0.0264533030239301,0.9728072513996268,0.0271927486003732,0.0271927486003732,2,True,1
D1574,1322,True,binary,0.0271927486003732,0.1626447140977232,0.0264533030239301,0.9728072513996268,0.0271927486003732,0.0271927486003732,2,True,1
D1511,1259,True,binary,0.0269261530258597,0.1618676475058797,0.0262011353090877,0.9730738469741402,0.0269261530258597,0.0269261530258597,2,True,1
D1559,1307,True,binary,0.0269261530258597,0.1618676475058797,0.0262011353090877,0.9730738469741402,0.0269261530258597,0.0269261530258597,2,True,1
D1587,1335,True,binary,0.0269261530258597,0.1618676475058797,0.0262011353090877,0.9730738469741402,0.0269261530258597,0.0269261530258597,2,True,1
D1767,1513,True,binary,0.0269261530258597,0.1618676475058797,0.0262011353090877,0.9730738469741402,0.0269261530258597,0.0269261530258597,2,True,1
D1548,1296,True,binary,0.0266595574513463,0.1610863912558868,0.0259488254478446,0.9733404425486536,0.0266595574513463,0.0266595574513463,2,True,1
D1534,1282,True,binary,0.0263929618768328,0.1603008840905155,0.0256963734402008,0.9736070381231672,0.0263929618768328,0.0263929618768328,2,True,1
D1699,1446,True,binary,0.0263929618768328,0.1603008840905155,0.0256963734402009,0.9736070381231672,0.0263929618768328,0.0263929618768328,2,True,1
D1507,1255,True,binary,0.0261263663023193,0.1595110632092846,0.0254437792861564,0.9738736336976808,0.0261263663023193,0.0261263663023193,2,True,1
D1702,1449,True,binary,0.0261263663023193,0.1595110632092846,0.0254437792861564,0.9738736336976808,0.0261263663023193,0.0261263663023193,2,True,1
D1504,1252,True,binary,0.0258597707278059,0.1587168642133255,0.0251910429857112,0.974140229272194,0.0258597707278059,0.0258597707278059,2,True,1
D1556,1304,True,binary,0.0258597707278059,0.1587168642133256,0.0251910429857112,0.974140229272194,0.0258597707278059,0.0258597707278059,2,True,1
D1562,1310,True,binary,0.0258597707278059,0.1587168642133256,0.0251910429857112,0.974140229272194,0.0258597707278059,0.0258597707278059,2,True,1
D1607,1354,True,binary,0.0258597707278059,0.1587168642133256,0.0251910429857112,0.974140229272194,0.0258597707278059,0.0258597707278059,2,True,1
D1452,1202,True,binary,0.0255931751532924,0.1579182210476845,0.0249381645388653,0.9744068248467076,0.0255931751532924,0.0255931751532924,2,True,1
D1489,1237,True,binary,0.0253265795787789,0.1571150659409172,0.0246851439456187,0.974673420421221,0.0253265795787789,0.0253265795787789,2,True,1
D1551,1299,True,binary,0.0253265795787789,0.1571150659409172,0.0246851439456187,0.974673420421221,0.0253265795787789,0.0253265795787789,2,True,1
D1552,1300,True,binary,0.0250599840042655,0.1563073293418177,0.0244319812059714,0.9749400159957344,0.0250599840042655,0.0250599840042655,2,True,1
D1734,1480,True,binary,0.0250599840042655,0.1563073293418177,0.0244319812059714,0.9749400159957344,0.0250599840042655,0.0250599840042655,2,True,1
D1253,1003,True,binary,0.024793388429752,0.1554949398531138,0.0241786763199235,0.975206611570248,0.024793388429752,0.024793388429752,2,True,1
D1456,1206,True,binary,0.024793388429752,0.1554949398531138,0.0241786763199235,0.975206611570248,0.024793388429752,0.024793388429752,2,True,1
D1467,1216,True,binary,0.024793388429752,0.1554949398531138,0.0241786763199235,0.975206611570248,0.024793388429752,0.024793388429752,2,True,1
D1517,1265,True,binary,0.024793388429752,0.1554949398531138,0.0241786763199235,0.975206611570248,0.024793388429752,0.024793388429752,2,True,1
D1603,1350,True,binary,0.024793388429752,0.1554949398531138,0.0241786763199235,0.975206611570248,0.024793388429752,0.024793388429752,2,True,1
D1755,1501,True,binary,0.024793388429752,0.1554949398531138,0.0241786763199235,0.975206611570248,0.024793388429752,0.024793388429752,2,True,1
D1468,1217,True,binary,0.0234604105571847,0.1513605618834479,0.022910019693673,0.9765395894428152,0.0234604105571847,0.0234604105571847,2,True,1
D1472,1221,True,binary,0.0234604105571847,0.151360561883448,0.0229100196936731,0.9765395894428152,0.0234604105571847,0.0234604105571847,2,True,1
D1481,1230,True,binary,0.0231938149826712,0.1505186431284208,0.0226558619292209,0.9768061850173289,0.0231938149826712,0.0231938149826712,2,True,1
D1561,1309,True,binary,0.0231938149826712,0.1505186431284208,0.0226558619292209,0.9768061850173289,0.0231938149826712,0.0231938149826712,2,True,1
D1579,1327,True,binary,0.0231938149826712,0.1505186431284208,0.0226558619292209,0.9768061850173289,0.0231938149826712,0.0231938149826712,2,True,1
D1684,1431,True,binary,0.0231938149826712,0.1505186431284208,0.0226558619292209,0.9768061850173289,0.0231938149826712,0.0231938149826712,2,True,1
D1703,1450,True,binary,0.0231938149826712,0.1505186431284208,0.0226558619292209,0.9768061850173289,0.0231938149826712,0.0231938149826712,2,True,1
D1593,1341,True,binary,0.0229272194081578,0.1496715137170998,0.022401562018368,0.9770727805918422,0.0229272194081578,0.0229272194081578,2,True,1
D1608,1355,True,binary,0.0229272194081578,0.1496715137170998,0.022401562018368,0.9770727805918422,0.0229272194081578,0.0229272194081578,2,True,1
D1627,1374,True,binary,0.0229272194081578,0.1496715137170998,0.022401562018368,0.9770727805918422,0.0229272194081578,0.0229272194081578,2,True,1
D1665,1412,True,binary,0.0229272194081578,0.1496715137170998,0.022401562018368,0.9770727805918422,0.0229272194081578,0.0229272194081578,2,True,1
D1590,1338,True,binary,0.0226606238336443,0.1488190846669688,0.0221471199611144,0.9773393761663556,0.0226606238336443,0.0226606238336443,2,True,1
D1519,1267,True,binary,0.0223940282591308,0.1479612643817973,0.0218925357574601,0.977605971740869,0.0223940282591308,0.0223940282591308,2,True,1
D1580,1328,True,binary,0.0223940282591308,0.1479612643817973,0.0218925357574601,0.977605971740869,0.0223940282591308,0.0223940282591308,2,True,1
D1524,1272,True,binary,0.0221274326846174,0.1470979585426159,0.0216378094074051,0.9778725673153824,0.0221274326846174,0.0221274326846174,2,True,1
D1653,1400,True,binary,0.0221274326846174,0.1470979585426159,0.0216378094074051,0.9778725673153824,0.0221274326846174,0.0221274326846174,2,True,1
D1661,1408,True,binary,0.0221274326846174,0.1470979585426159,0.0216378094074051,0.9778725673153824,0.0221274326846174,0.0221274326846174,2,True,1
D1676,1423,True,binary,0.0221274326846174,0.1470979585426159,0.0216378094074051,0.9778725673153824,0.0221274326846174,0.0221274326846174,2,True,1
D1458,1208,True,binary,0.0218608371101039,0.1462290699927667,0.0213829409109494,0.978139162889896,0.0218608371101039,0.0218608371101039,2,True,1
D1598,1345,True,binary,0.0218608371101039,0.1462290699927667,0.0213829409109494,0.978139162889896,0.0218608371101039,0.0218608371101039,2,True,1
D1654,1401,True,binary,0.0218608371101039,0.1462290699927667,0.0213829409109494,0.978139162889896,0.0218608371101039,0.0218608371101039,2,True,1
D1668,1415,True,binary,0.0218608371101039,0.1462290699927667,0.0213829409109494,0.978139162889896,0.0218608371101039,0.0218608371101039,2,True,1
D1731,1477,True,binary,0.0218608371101039,0.1462290699927667,0.0213829409109494,0.978139162889896,0.0218608371101039,0.0218608371101039,2,True,1
D1770,1516,True,binary,0.0218608371101039,0.1462290699927667,0.0213829409109494,0.978139162889896,0.0218608371101039,0.0218608371101039,2,True,1
D1453,1203,True,binary,0.0215942415355905,0.1453544986166341,0.021127930268093,0.9784057584644096,0.0215942415355905,0.0215942415355905,2,True,1
D1644,1391,True,binary,0.0215942415355905,0.1453544986166341,0.021127930268093,0.9784057584644096,0.0215942415355905,0.0215942415355905,2,True,1
D1717,1463,True,binary,0.0215942415355905,0.1453544986166341,0.021127930268093,0.9784057584644096,0.0215942415355905,0.0215942415355905,2,True,1
D1505,1253,True,binary,0.021327645961077,0.144474141211623,0.020872777478836,0.9786723540389228,0.021327645961077,0.021327645961077,2,True,1
D1698,1445,True,binary,0.021327645961077,0.144474141211623,0.020872777478836,0.9786723540389228,0.021327645961077,0.021327645961077,2,True,1
D1483,1232,True,binary,0.0210610503865635,0.1435878913529209,0.0206174825431782,0.9789389496134364,0.0210610503865635,0.0210610503865635,2,True,1
D1518,1266,True,binary,0.0210610503865635,0.1435878913529209,0.0206174825431782,0.9789389496134364,0.0210610503865635,0.0210610503865635,2,True,1
D1535,1283,True,binary,0.0210610503865635,0.1435878913529209,0.0206174825431782,0.9789389496134364,0.0210610503865635,0.0210610503865635,2,True,1
D1648,1395,True,binary,0.0210610503865635,0.1435878913529209,0.0206174825431782,0.9789389496134364,0.0210610503865635,0.0210610503865635,2,True,1
D1759,1505,True,binary,0.0210610503865635,0.1435878913529209,0.0206174825431782,0.9789389496134364,0.0210610503865635,0.0210610503865635,2,True,1
D1486,1235,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1531,1279,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1583,1331,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1609,1356,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1619,1366,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1634,1381,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1641,1388,True,binary,0.0207944548120501,0.1426956392505381,0.0203620454611197,0.97920554518795,0.0207944548120501,0.0207944548120501,2,True,1
D1585,1333,True,binary,0.0205278592375366,0.141797271598083,0.0201064662326605,0.9794721407624634,0.0205278592375366,0.0205278592375366,2,True,1
D1492,1240,True,binary,0.0202612636630231,0.1408926714126773,0.0198507448578006,0.9797387363369768,0.0202612636630231,0.0202612636630231,2,True,1
D1533,1281,True,binary,0.0202612636630231,0.1408926714126773,0.0198507448578006,0.9797387363369768,0.0202612636630231,0.0202612636630231,2,True,1
D1775,1521,True,binary,0.0202612636630231,0.1408926714126773,0.0198507448578006,0.9797387363369768,0.0202612636630231,0.0202612636630231,2,True,1
D1462,1212,True,binary,0.0199946680885097,0.1399817178653701,0.01959488133654,0.9800053319114904,0.0199946680885097,0.0199946680885097,2,True,1
D1474,1223,True,binary,0.0199946680885097,0.1399817178653701,0.01959488133654,0.9800053319114904,0.0199946680885097,0.0199946680885097,2,True,1
D1476,1225,True,binary,0.0199946680885097,0.1399817178653701,0.01959488133654,0.9800053319114904,0.0199946680885097,0.0199946680885097,2,True,1
D1532,1280,True,binary,0.0199946680885097,0.13998171786537,0.01959488133654,0.9800053319114904,0.0199946680885097,0.0199946680885097,2,True,1
D1765,1511,True,binary,0.0199946680885097,0.1399817178653701,0.01959488133654,0.9800053319114904,0.0199946680885097,0.0199946680885097,2,True,1
D1484,1233,True,binary,0.0197280725139962,0.1390642861013523,0.0193388756688787,0.9802719274860038,0.0197280725139962,0.0197280725139962,2,True,1
D1545,1293,True,binary,0.0197280725139962,0.1390642861013523,0.0193388756688787,0.9802719274860038,0.0197280725139962,0.0197280725139962,2,True,1
D1567,1315,True,binary,0.0197280725139962,0.1390642861013523,0.0193388756688787,0.9802719274860038,0.0197280725139962,0.0197280725139962,2,True,1
D1471,1220,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1482,1231,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1506,1254,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1610,1357,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1640,1387,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1724,1470,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1741,1487,True,binary,0.0194614769394828,0.13814024704921,0.0190827278548167,0.9805385230605173,0.0194614769394828,0.0194614769394828,2,True,1
D1488,1236,True,binary,0.0191948813649693,0.1372094672183887,0.018826437894354,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1497,1245,True,binary,0.0191948813649693,0.1372094672183887,0.018826437894354,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1612,1359,True,binary,0.0191948813649693,0.1372094672183887,0.018826437894354,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1669,1416,True,binary,0.0191948813649693,0.1372094672183887,0.018826437894354,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1693,1440,True,binary,0.0191948813649693,0.1372094672183887,0.0188264378943541,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1705,1452,True,binary,0.0191948813649693,0.1372094672183887,0.0188264378943541,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1710,1456,True,binary,0.0191948813649693,0.1372094672183887,0.018826437894354,0.9808051186350306,0.0191948813649693,0.0191948813649693,2,True,1
D1501,1249,True,binary,0.0189282857904558,0.136271808483966,0.0185700057874907,0.981071714209544,0.0189282857904558,0.0189282857904558,2,True,1
D1527,1275,True,binary,0.0189282857904558,0.136271808483966,0.0185700057874907,0.981071714209544,0.0189282857904558,0.0189282857904558,2,True,1
D1636,1383,True,binary,0.0189282857904558,0.136271808483966,0.0185700057874907,0.981071714209544,0.0189282857904558,0.0189282857904558,2,True,1
D1645,1392,True,binary,0.0189282857904558,0.136271808483966,0.0185700057874907,0.981071714209544,0.0189282857904558,0.0189282857904558,2,True,1
D1569,1317,True,binary,0.0186616902159424,0.1353271278577456,0.0183134315342266,0.9813383097840576,0.0186616902159424,0.0186616902159424,2,True,1
D1457,1207,True,binary,0.0183950946414289,0.1343752772445952,0.0180567151345618,0.981604905358571,0.0183950946414289,0.0183950946414289,2,True,1
