method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,column_cluster_global_mean,mean_contrast_to_column_cluster,absolute_mean_contrast,standardized_mean_contrast,column_cluster_global_zero_fraction,zero_fraction_contrast_to_column_cluster,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction
scale,2,3,6,42,scale_r2_c3_seed42,0,0,2695,1186,3196270,491,695,0.4139966273187184,626,0.5278246205733558,0.07429446990310236,0.22827608488868867,0.8301948834109759,0.16980511658902409,0.024997950817517572,0.08465406716243988,-0.010359597259337522,0.010359597259337522,-0.04276595840031595,0.8081970721242182,0.021997811286757707,1323245,0.09539427694795748,0.2937587596541317,0.9046057230520426,0.09539427694795748,1873025,0.05938798751601769,0.16559873327245456,0.777625498858798
scale,2,3,6,42,scale_r2_c3_seed42,0,1,2695,93,250635,93,0,1.0,0,0.0,0.24939852773954158,0.43266488429371136,0.7506014722604585,0.24939852773954152,0.11164892758166395,0.30041307980954185,-0.051014552070000274,0.051014552070000274,-0.11127915478141165,0.6995869201904582,0.051014552070000274,250635,0.24939852773954158,0.43266488429371136,0.7506014722604585,0.24939852773954158,0,,,
scale,2,3,6,42,scale_r2_c3_seed42,0,2,2695,244,657580,244,0,1.0,0,0.0,0.009880166671735758,0.09890676912261606,0.9901198333282643,0.009880166671735746,0.007699493245896339,0.11137357906743994,-0.10149341239570418,0.10149341239570418,-0.3226169310460633,0.8886264209325601,0.1014934123957042,657580,0.009880166671735758,0.09890676912261606,0.9901198333282643,0.009880166671735758,0,,,
scale,2,3,6,42,scale_r2_c3_seed42,1,0,1056,1186,1252416,491,695,0.4139966273187184,626,0.5278246205733558,0.11109262266804078,0.2728992444542827,0.7520568245694721,0.2479431754305279,0.045220809401078324,0.08465406716243988,0.026438555505600897,0.026438555505600897,0.1091422896674727,0.8081970721242182,-0.056140247554746114,518496,0.15355374004813924,0.3605204418134535,0.8464462599518607,0.15355374004813924,733920,0.08109491240382741,0.1819075199931567,0.6853730651842163
scale,2,3,6,42,scale_r2_c3_seed42,1,1,1056,93,98208,93,0,1.0,0,0.0,0.430606467904855,0.49516112297247256,0.569393532095145,0.430606467904855,0.20026952307607118,0.30041307980954185,0.13019338809531317,0.13019338809531317,0.28399367626506095,0.6995869201904582,-0.13019338809531322,98208,0.430606467904855,0.49516112297247256,0.569393532095145,0.430606467904855,0,,,
scale,2,3,6,42,scale_r2_c3_seed42,1,2,1056,244,257664,244,0,1.0,0,0.0,0.37039322528564333,0.48291001640900133,0.6296067747143567,0.37039322528564333,0.2035106339934908,0.11137357906743994,0.2590196462182034,0.2590196462182034,0.8233452927738074,0.8886264209325601,-0.2590196462182034,257664,0.37039322528564333,0.48291001640900133,0.6296067747143567,0.37039322528564333,0,,,
scale,2,3,6,7,scale_r2_c3_seed7,0,0,1056,1181,1247136,486,695,0.41151566469093986,626,0.5300592718035563,0.11007955676960408,0.27126041352781183,0.7524905062479152,0.24750949375208475,0.044557968551924544,0.08407994694016814,0.025999609829435943,0.025999609829435943,0.10784319358388345,0.8083175561876698,-0.055827049939754514,513216,0.15152879099638358,0.3585635459657854,0.8484712090036164,0.15152879099638358,733920,0.08109491240382741,0.1819075199931567,0.6853730651842163
scale,2,3,6,7,scale_r2_c3_seed7,0,1,1056,243,256608,243,0,1.0,0,0.0,0.37058860207008354,0.4829624106344351,0.6294113979299164,0.3705886020700836,0.20346721857028288,0.11114731544839072,0.2594412866216928,0.2594412866216928,0.825419465443488,0.8888526845516093,-0.25944128662169286,256608,0.37058860207008354,0.4829624106344351,0.6294113979299164,0.37058860207008354,0,,,
scale,2,3,6,7,scale_r2_c3_seed7,0,2,1056,99,104544,99,0,1.0,0,0.0,0.4254667891031527,0.49441359252492856,0.5745332108968473,0.4254667891031527,0.20032846497105997,0.29501089271817077,0.13045589638498195,0.13045589638498195,0.2860575956139494,0.7049891072818292,-0.1304558963849819,104544,0.4254667891031527,0.49441359252492856,0.5745332108968473,0.4254667891031527,0,,,
scale,2,3,6,7,scale_r2_c3_seed7,1,0,2695,1181,3182795,486,695,0.41151566469093986,626,0.5300592718035563,0.07389234472128708,0.22736948234546328,0.8301926451436552,0.1698073548563448,0.02458183227531886,0.08407994694016814,-0.010187602218881056,0.010187602218881056,-0.042256924832868754,0.8083175561876698,0.021875088955985444,1309770,0.09463417241195018,0.292708978037667,0.9053658275880498,0.09463417241195018,1873025,0.05938798751601769,0.16559873327245456,0.777625498858798
scale,2,3,6,7,scale_r2_c3_seed7,1,1,2695,243,654885,243,0,1.0,0,0.0,0.00948868885376822,0.09694665356578634,0.9905113111462318,0.00948868885376819,0.007353586892638399,0.11114731544839072,-0.1016586265946225,0.1016586265946225,-0.3234296680921423,0.8888526845516093,0.10165862659462255,654885,0.00948868885376822,0.09694665356578634,0.9905113111462318,0.00948868885376822,0,,,
scale,2,3,6,7,scale_r2_c3_seed7,1,2,2695,99,266805,99,0,1.0,0,0.0,0.24389348025711663,0.4294292148249675,0.7561065197428833,0.24389348025711666,0.11214027736323677,0.29501089271817077,-0.05111741246105414,0.05111741246105414,-0.11208787419975157,0.7049891072818292,0.05111741246105417,266805,0.24389348025711663,0.4294292148249675,0.7561065197428833,0.24389348025711663,0,,,
scale,2,3,6,99,scale_r2_c3_seed99,0,0,1056,93,98208,93,0,1.0,0,0.0,0.430606467904855,0.49516112297247256,0.569393532095145,0.430606467904855,0.20026952307607118,0.30041307980954185,0.13019338809531317,0.13019338809531317,0.28399367626506095,0.6995869201904582,-0.13019338809531322,98208,0.430606467904855,0.49516112297247256,0.569393532095145,0.430606467904855,0,,,
scale,2,3,6,99,scale_r2_c3_seed99,0,1,1056,1186,1252416,491,695,0.4139966273187184,626,0.5278246205733558,0.11109262266804078,0.2728992444542827,0.7520568245694721,0.2479431754305279,0.045220809401078324,0.08465406716243988,0.026438555505600897,0.026438555505600897,0.1091422896674727,0.8081970721242182,-0.056140247554746114,518496,0.15355374004813924,0.3605204418134535,0.8464462599518607,0.15355374004813924,733920,0.08109491240382741,0.1819075199931567,0.6853730651842163
scale,2,3,6,99,scale_r2_c3_seed99,0,2,1056,244,257664,244,0,1.0,0,0.0,0.37039322528564333,0.48291001640900133,0.6296067747143567,0.37039322528564333,0.2035106339934908,0.11137357906743994,0.2590196462182034,0.2590196462182034,0.8233452927738074,0.8886264209325601,-0.2590196462182034,257664,0.37039322528564333,0.48291001640900133,0.6296067747143567,0.37039322528564333,0,,,
scale,2,3,6,99,scale_r2_c3_seed99,1,0,2695,93,250635,93,0,1.0,0,0.0,0.24939852773954158,0.43266488429371136,0.7506014722604585,0.24939852773954152,0.11164892758166395,0.30041307980954185,-0.051014552070000274,0.051014552070000274,-0.11127915478141165,0.6995869201904582,0.051014552070000274,250635,0.24939852773954158,0.43266488429371136,0.7506014722604585,0.24939852773954158,0,,,
scale,2,3,6,99,scale_r2_c3_seed99,1,1,2695,1186,3196270,491,695,0.4139966273187184,626,0.5278246205733558,0.07429446990310236,0.22827608488868867,0.8301948834109759,0.16980511658902409,0.024997950817517572,0.08465406716243988,-0.010359597259337522,0.010359597259337522,-0.04276595840031595,0.8081970721242182,0.021997811286757707,1323245,0.09539427694795748,0.2937587596541317,0.9046057230520426,0.09539427694795748,1873025,0.05938798751601769,0.16559873327245456,0.777625498858798
scale,2,3,6,99,scale_r2_c3_seed99,1,2,2695,244,657580,244,0,1.0,0,0.0,0.009880166671735758,0.09890676912261606,0.9901198333282643,0.009880166671735746,0.007699493245896339,0.11137357906743994,-0.10149341239570418,0.10149341239570418,-0.3226169310460633,0.8886264209325601,0.1014934123957042,657580,0.009880166671735758,0.09890676912261606,0.9901198333282643,0.009880166671735758,0,,,
scale,2,4,8,42,scale_r2_c4_seed42,0,0,2695,88,237160,88,0,1.0,0,0.0,0.2503162421993591,0.4331951305018916,0.7496837578006409,0.2503162421993591,0.11084594854112335,0.3015317127553864,-0.05121547055602732,0.05121547055602732,-0.11159926227777221,0.6984682872446135,0.051215470556027376,237160,0.2503162421993591,0.4331951305018916,0.7496837578006409,0.2503162421993591,0,,,
scale,2,4,8,42,scale_r2_c4_seed42,0,1,2695,1105,2977975,451,654,0.4081447963800905,626,0.5665158371040724,0.033479078745675496,0.14657590560876782,0.8798925444303596,0.12010745556964042,0.015599893390402327,0.047004483148072734,-0.013525404402397238,0.013525404402397238,-0.0761041294674649,0.8538776386628724,0.026014905767487218,1215445,0.041981331940153604,0.20054650260895657,0.9580186680598464,0.041981331940153604,1762530,0.027615904142143953,0.09209222841865244,0.826016578441218
scale,2,4,8,42,scale_r2_c4_seed42,0,2,2695,227,611765,227,0,1.0,0,0.0,0.005709708793409234,0.07534658598041254,0.9942902912065907,0.005709708793409263,0.004586134714532869,0.11010397227406025,-0.10439426348065102,0.10439426348065102,-0.33350742464985017,0.8898960277259398,0.10439426348065095,611765,0.005709708793409234,0.07534658598041254,0.9942902912065907,0.005709708793409234,0,,,
scale,2,4,8,42,scale_r2_c4_seed42,0,3,2695,103,277585,62,41,0.6019417475728155,0,0.0,0.51844417309846,0.41764419577481615,0.3111551416683178,0.6888448583316822,0.12930220187345862,0.5052907481756348,0.01315342492282523,0.01315342492282523,0.031431493547240924,0.3242889274834154,-0.01313378581509761,167090,0.48686935184631036,0.49982755634224896,0.5131306481536896,0.48686935184631036,110495,0.5661914637724422,0.23794614368079614,0.0057287660075116525
scale,2,4,8,42,scale_r2_c4_seed42,1,0,1056,88,92928,88,0,1.0,0,0.0,0.43223786157024796,0.4953870129458655,0.5677621384297521,0.4322378615702479,0.19874536995009526,0.3015317127553864,0.13070614881486153,0.13070614881486153,0.2848106172713981,0.6984682872446135,-0.13070614881486142,92928,0.43223786157024796,0.4953870129458655,0.5677621384297521,0.43223786157024796,0,,,
