method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,column_cluster,n_features,feature_cluster_fraction,n_binary_features,n_numeric_features,binary_feature_fraction,numeric_feature_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,minimum_feature_zero_fraction,maximum_feature_zero_fraction,mean_feature_value,mean_feature_std,median_unique_values
scale,2,3,6,42,scale_r2_c3_seed42,0,1186,0.7787261982928431,491,695,0.4139966273187184,0.5860033726812817,626,0.5278246205733558,0.8081970721242182,0.9565449213543055,0.0,0.9898693681684884,0.08465406716243987,0.13304181742367271,6.0
scale,2,3,6,42,scale_r2_c3_seed42,1,93,0.06106369008535785,93,0,1.0,0.0,0,0.0,0.699586920190458,0.7283391095707811,0.2991202346041056,0.8539056251666223,0.30041307980954185,0.4407343275268955,2.0
scale,2,3,6,42,scale_r2_c3_seed42,2,244,0.16021011162179907,244,0,1.0,0.0,0,0.0,0.8886264209325602,0.9090909090909091,0.5435883764329512,0.9496134364169555,0.11137357906743993,0.3028687059663951,2.0
scale,2,3,6,7,scale_r2_c3_seed7,0,1181,0.7754432042022325,486,695,0.41151566469093986,0.5884843353090601,626,0.5300592718035563,0.8083175561876697,0.9568115169288189,0.0,0.9898693681684884,0.08407994694016814,0.13195922617440695,6.0
scale,2,3,6,7,scale_r2_c3_seed7,1,243,0.15955351280367697,243,0,1.0,0.0,0,0.0,0.8888526845516093,0.909624100239936,0.5435883764329512,0.9496134364169555,0.11114731544839071,0.30258257072179723,2.0
scale,2,3,6,7,scale_r2_c3_seed7,2,99,0.06500328299409061,99,0,1.0,0.0,0,0.0,0.7049891072818292,0.7366035723806985,0.2991202346041056,0.8717675286590243,0.29501089271817077,0.43741859982733533,2.0
scale,2,3,6,99,scale_r2_c3_seed99,0,93,0.06106369008535785,93,0,1.0,0.0,0,0.0,0.699586920190458,0.7283391095707811,0.2991202346041056,0.8539056251666223,0.30041307980954185,0.4407343275268955,2.0
scale,2,3,6,99,scale_r2_c3_seed99,1,1186,0.7787261982928431,491,695,0.4139966273187184,0.5860033726812817,626,0.5278246205733558,0.8081970721242182,0.9565449213543055,0.0,0.9898693681684884,0.08465406716243987,0.13304181742367271,6.0
scale,2,3,6,99,scale_r2_c3_seed99,2,244,0.16021011162179907,244,0,1.0,0.0,0,0.0,0.8886264209325602,0.9090909090909091,0.5435883764329512,0.9496134364169555,0.11137357906743993,0.3028687059663951,2.0
scale,2,4,8,42,scale_r2_c4_seed42,0,88,0.05778069599474721,88,0,1.0,0.0,0,0.0,0.6984682872446135,0.7252732604638763,0.2991202346041056,0.8539056251666223,0.3015317127553864,0.44231800433518464,2.0
scale,2,4,8,42,scale_r2_c4_seed42,1,1105,0.7255416940249507,451,654,0.4081447963800905,0.5918552036199095,626,0.5665158371040724,0.8538776386628725,0.9626766195681151,0.0,0.9898693681684884,0.047004483148072734,0.11949180365716368,6.0
scale,2,4,8,42,scale_r2_c4_seed42,2,227,0.1490479317137229,227,0,1.0,0.0,0,0.0,0.8898960277259398,0.9082911223673688,0.5614502799253532,0.9496134364169555,0.11010397227406024,0.3032397351689969,2.0
scale,2,4,8,42,scale_r2_c4_seed42,3,103,0.06762967826657912,62,41,0.6019417475728155,0.39805825242718446,0,0.0,0.3242889274834153,0.35243934950679817,0.0,0.8091175686483605,0.5052907481756348,0.3192039308179915,2.0
scale,2,4,8,7,scale_r2_c4_seed7,0,1104,0.7248850952068286,451,653,0.40851449275362317,0.5914855072463768,626,0.5670289855072463,0.8546510785529655,0.9626766195681151,0.0,0.9898693681684884,0.04669146091700112,0.11949374740675286,6.0
scale,2,4,8,7,scale_r2_c4_seed7,1,88,0.05778069599474721,88,0,1.0,0.0,0,0.0,0.6984682872446135,0.7252732604638763,0.2991202346041056,0.8539056251666223,0.3015317127553864,0.44231800433518464,2.0
scale,2,4,8,7,scale_r2_c4_seed7,2,104,0.06828627708470125,62,42,0.5961538461538461,0.40384615384615385,0,0.0,0.32117076471915185,0.34924020261263666,0.0,0.8091175686483605,0.5042070008494376,0.31726298825349813,2.0
scale,2,4,8,7,scale_r2_c4_seed7,3,227,0.1490479317137229,227,0,1.0,0.0,0,0.0,0.8898960277259398,0.9082911223673688,0.5614502799253532,0.9496134364169555,0.11010397227406024,0.3032397351689969,2.0
