method,n_row_clusters,n_column_clusters,label_kind,first_seed,second_seed,ari
scale,4,8,row,7,42,1.0
scale,4,8,row,7,99,1.0
scale,4,8,row,7,123,1.0
scale,4,8,row,7,2026,1.0
scale,4,8,row,42,99,1.0
scale,4,8,row,42,123,1.0
scale,4,8,row,42,2026,1.0
scale,4,8,row,99,123,1.0
scale,4,8,row,99,2026,1.0
scale,4,8,row,123,2026,1.0
scale,4,8,column,7,42,0.9877304235005882
scale,4,8,column,7,99,0.9945865708534533
scale,4,8,column,7,123,0.9762558925836679
scale,4,8,column,7,2026,0.9835035612589688
scale,4,8,column,42,99,0.9895960579120033
scale,4,8,column,42,123,0.9855009055176261
scale,4,8,column,42,2026,0.991248862942684
scale,4,8,column,99,123,0.9760453610264821
scale,4,8,column,99,2026,0.9875254125953332
scale,4,8,column,123,2026,0.9875309210495475
