feature,feature_index,is_binary,feature_type,mean,std,variance,zero_fraction,nonzero_fraction,one_fraction,n_unique,is_sparse,column_cluster
D1,0,False,numeric,0.07694792498053853,0.07997816711240759,0.006396507214660194,0.1783524393495068,0.8216475606504932,0.00026659557451346307,24,False,0
D2,1,False,numeric,0.5924363672220739,0.10584616492577223,0.011203410629493775,0.0,1.0,0.0,1768,False,2
D3,2,False,numeric,0.06814182884564117,0.07840374378818758,0.006147147040003764,0.37509997334044254,0.6249000266595575,0.0,15,False,0
D4,3,False,numeric,0.03898960277259397,0.11586986351850233,0.013425825271796355,0.8736336976806185,0.1263663023193815,0.003199146894161557,5,False,0
D5,4,False,numeric,0.21211176725059985,0.10257810082237867,0.010522266768326084,0.0,1.0,0.00026659557451346307,2923,False,2
D6,5,False,numeric,0.6866533235521195,0.07869173331698304,0.0061923888924311785,0.0,1.0,0.0,3732,False,2
D7,6,False,numeric,0.2747125291090376,0.09000500461512964,0.008100900855769508,0.0,1.0,0.0,3685,False,0
D8,7,False,numeric,0.4551328157544655,0.16270978720912632,0.02647447485363917,0.00026659557451346307,0.9997334044254865,0.0,3272,False,5
D9,8,False,numeric,0.7495166287917888,0.071692657919039,0.005139837199496345,0.0,1.0,0.00026659557451346307,3741,False,2
D10,9,False,numeric,0.2704113643798987,0.09611525190605527,0.00923814164896446,0.0,1.0,0.00026659557451346307,3692,False,0
D11,10,False,numeric,0.1716875880890429,0.1771692649131827,0.03138894842987751,0.22980538523060517,0.7701946147693949,0.00026659557451346307,265,False,2
D12,11,False,numeric,0.07952879232204746,0.08633532626044987,0.007453788560498326,0.34844041588909624,0.6515595841109038,0.00026659557451346307,12,False,0
D13,12,False,numeric,0.017065605732871234,0.05819753451920061,0.003386953024113546,0.8029858704345508,0.19701412956544923,0.0005331911490269261,20,False,0
D14,13,False,numeric,0.1265205852527326,0.06599910924527579,0.004355882421169848,0.00026659557451346307,0.9997334044254865,0.00026659557451346307,2390,False,0
D15,14,False,numeric,0.5165150133401759,0.08824631079455285,0.007787411368848814,0.0,1.0,0.0,3682,False,2
D16,15,False,numeric,0.2787362110357238,0.1162454016149857,0.013512993396629319,0.00026659557451346307,0.9997334044254865,0.0,3166,False,0
D17,16,False,numeric,0.5808901428251133,0.10752866664448572,0.011562414150340936,0.0,1.0,0.00026659557451346307,3749,False,2
D18,17,False,numeric,0.19615033755291925,0.08731105852873536,0.007623220941408252,0.04398826979472141,0.9560117302052786,0.00026659557451346307,3212,False,0
D19,18,False,numeric,0.14016397326419622,0.08432909165717857,0.007111395699724825,0.0,1.0,0.0,2134,False,0
D20,19,False,numeric,0.08201606511676887,0.07892971461743604,0.006229899849589898,0.011197014129565449,0.9888029858704346,0.0,1531,False,0
D21,20,False,numeric,0.012048941516129032,0.01562389152223221,0.00024410598629847952,0.0007997867235403892,0.9992002132764596,0.0,1033,False,0
D22,21,False,numeric,0.04536824661556918,0.06014793947778308,0.0036177746234230565,0.4238869634764063,0.5761130365235937,0.0,17,False,0
D23,22,True,binary,0.9664089576113036,0.1801740388067525,0.032462684259937154,0.03359104238869635,0.9664089576113036,0.9664089576113036,2,False,2
D24,23,False,numeric,0.05185283924286857,0.13786042919738167,0.01900549793848629,0.8427086110370567,0.1572913889629432,0.003199146894161557,5,False,0
D25,24,False,numeric,0.4934078704881365,0.0756923440954409,0.005729330954662626,0.00026659557451346307,0.9997334044254865,0.0,2943,False,2
D26,25,False,numeric,0.742170980015196,0.11293088239494398,0.012753384198500667,0.0,1.0,0.00026659557451346307,3280,False,2
D27,26,True,binary,0.5206611570247934,0.49957293420520366,0.24957311659039674,0.4793388429752066,0.5206611570247934,0.5206611570247934,2,False,5
D28,27,True,binary,0.8906958144494801,0.3120204810131178,0.09735678057165739,0.10930418555051986,0.8906958144494801,0.8906958144494801,2,False,2
D29,28,False,numeric,0.06993690573766996,0.1454177785777153,0.02114633032647743,0.7488669688083178,0.25113303119168223,0.0005331911490269261,7,False,0
D30,29,False,numeric,0.28270891672887233,0.1351211334775659,0.01825772071226218,0.0,1.0,0.0015995734470807784,3671,False,2
