method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,column_cluster_global_mean,mean_contrast_to_column_cluster,absolute_mean_contrast,standardized_mean_contrast,column_cluster_global_zero_fraction,zero_fraction_contrast_to_column_cluster,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction
scale,4,8,32,42,scale_r4_c8_seed42,1,1,883,47,41501,47,0,1.0,0,0.0,0.638731596828992,0.4803681338736761,0.36126840317100795,0.638731596828992,0.20312215570210745,0.17697975575307578,0.46175184107591627,0.46175184107591627,1.2098780036791272,0.8230202442469242,-0.46175184107591627,41501,0.638731596828992,0.4803681338736761,0.36126840317100795,0.638731596828992,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,3,1,173,47,8131,47,0,1.0,0,0.0,0.577173779362932,0.49400830739861196,0.422826220637068,0.577173779362932,0.18239224713518085,0.17697975575307578,0.40019402360985623,0.40019402360985623,1.0485847663134833,0.8230202442469242,-0.40019402360985623,8131,0.577173779362932,0.49400830739861196,0.422826220637068,0.577173779362932,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,3,4,173,328,56744,328,0,1.0,324,0.9878048780487805,0.3994078669110391,0.4897767070417017,0.600592133088961,0.399407866911039,0.21708047646632425,0.020991963118778083,0.378415903792261,0.378415903792261,2.6396705337182764,0.979008036881222,-0.378415903792261,56744,0.3994078669110391,0.4897767070417017,0.600592133088961,0.3994078669110391,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,0,3,1428,27,38556,27,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.37348065207302744,-0.37348065207302744,0.37348065207302744,-0.7720880141913525,0.6265193479269726,0.3734806520730274,38556,0.0,0.0,1.0,0.0,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,2,3,1267,27,34209,27,0,1.0,0,0.0,0.7385483352334181,0.43942541091448584,0.2614516647665819,0.7385483352334181,0.1554551017813004,0.37348065207302744,0.3650676831603907,0.3650676831603907,0.7546960758803387,0.6265193479269726,-0.36506768316039073,34209,0.7385483352334181,0.43942541091448584,0.2614516647665819,0.7385483352334181,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,3,6,173,201,34773,201,0,1.0,9,0.04477611940298507,0.3132602881546027,0.46381923205048103,0.6867397118453973,0.3132602881546027,0.19243294499489488,0.09105100994626972,0.222209278208333,0.222209278208333,0.7724138443786911,0.9089489900537303,-0.22220927820833303,34773,0.3132602881546027,0.46381923205048103,0.6867397118453973,0.3132602881546027,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,0,7,1428,87,124236,87,0,1.0,0,0.0,0.005666634469879906,0.0750634646393615,0.9943333655301201,0.0056666344698799165,0.004663434882189518,0.2251323018842485,-0.21946566741436857,0.21946566741436857,-0.5254530360801745,0.7748676981157515,0.21946566741436857,124236,0.005666634469879906,0.0750634646393615,0.9943333655301201,0.005666634469879906,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,1,6,883,201,177483,201,0,1.0,9,0.04477611940298507,0.2964396590095953,0.4566871878823296,0.7035603409904048,0.29643965900959524,0.19529727519507686,0.09105100994626972,0.20538864906332557,0.20538864906332557,0.7139442479355476,0.9089489900537303,-0.20538864906332555,177483,0.2964396590095953,0.4566871878823296,0.7035603409904048,0.2964396590095953,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,0,1,1428,47,67116,47,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.17697975575307578,-0.17697975575307578,0.17697975575307578,-0.4637207576329878,0.8230202442469242,0.17697975575307578,67116,0.0,0.0,1.0,0.0,0,,,
scale,4,8,32,42,scale_r4_c8_seed42,2,1,1267,47,59549,47,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.17697975575307578,-0.17697975575307578,0.17697975575307578,-0.4637207576329878,0.8230202442469242,0.17697975575307578,59549,0.0,0.0,1.0,0.0,0,,,
