row_cluster,column_cluster,n_binary_features,n_numeric_features,binary_mean,binary_column_cluster_global_mean,binary_contrast,numeric_mean,numeric_column_cluster_global_mean,numeric_contrast
0,0,24,0,0.6930246913580247,0.4529680973962499,0.2400565939617748,,,
1,0,24,0,0.6399438788827982,0.4529680973962499,0.18697578148654836,,,
2,0,24,0,0.0810413728255759,0.4529680973962499,-0.371926724570674,,,
3,0,24,0,0.7852143482064742,0.4529680973962499,0.3322462508102243,,,
0,1,339,595,0.0915503113733202,0.019429233816901512,0.0721210775564187,0.0254225446661014,0.01875573965543301,0.006666805010668391
1,1,339,595,0.0014737712605364,0.019429233816901512,-0.017955462556365112,0.0185308438619058,0.01875573965543301,-0.00022489579352721195
2,1,339,595,1.8722618170925023e-05,0.019429233816901512,-0.019410511198730586,0.0093864514802242,0.01875573965543301,-0.009369288175208811
3,1,339,595,0.0240788485510107,0.019429233816901512,0.0046496147341091865,0.0425687296254571,0.01875573965543301,0.023812989970024092
0,2,51,0,0.5828322440087146,0.18180249972556334,0.40102974428315125,,,
1,2,51,0,0.0208055030939548,0.18180249972556334,-0.16099699663160855,,,
2,2,51,0,0.0002765563206947,0.18180249972556334,-0.18152594340486863,,,
3,2,51,0,0.686531830580001,0.18180249972556334,0.5047293308544376,,,
0,3,18,17,0.7120164609053498,0.7322787997274801,-0.020262338822130355,0.7640728040528106,0.7620127376252451,0.00206006642756551
1,3,18,17,0.8412076916383886,0.7322787997274801,0.10892889191090849,0.7607608990991754,0.7620127376252451,-0.001251838526069693
2,3,18,17,0.6319542391474691,0.7322787997274801,-0.10032456058001105,0.7633407802541277,0.7620127376252451,0.0013280426288825309
3,3,18,17,0.7764654418197725,0.7322787997274801,0.044186642092292394,0.7576161195450054,0.7620127376252451,-0.0043966180802397226
0,4,191,2,0.258855923986814,0.08284283004462333,0.17601309394219067,0.193451644137037,0.09667528292721939,0.09677636120981761
1,4,191,2,0.002902745718655,0.08284283004462333,-0.07994008432596833,0.0893289049393109,0.09667528292721939,-0.007346377987908492
2,4,191,2,1.4768976288408569e-05,0.08284283004462333,-0.08282806106833492,0.019972280075811,0.09667528292721939,-0.07670300285140838
3,4,191,2,0.3472124884912946,0.08284283004462333,0.26436965844667126,0.2353160674868766,0.09667528292721939,0.13864078455965723
0,5,24,20,0.3696913580246914,0.46342086554696527,-0.09372950752227388,0.5592700332938518,0.5132191034391096,0.04605092985474224
1,5,24,20,0.4537000783085356,0.46342086554696527,-0.009720787238429673,0.5298524653356304,0.5132191034391096,0.01663336189652076
2,5,24,20,0.5206864127879642,0.46342086554696527,0.05726554724099897,0.4616262028368124,0.5132191034391096,-0.05159290060229721
3,5,24,20,0.448928258967629,0.46342086554696527,-0.014492606579336265,0.567900342967323,0.5132191034391096,0.054681239528213355
0,6,104,48,0.259017094017094,0.1857632836371839,0.0732538103799101,0.178583864417253,0.14586414360697694,0.03271972081027605
1,6,104,48,0.2519727727245346,0.1857632836371839,0.06620948908735072,0.1490933390164121,0.14586414360697694,0.0032291954094351705
2,6,104,48,0.0475547900618422,0.1857632836371839,-0.1382084935753417,0.1109669227428596,0.14586414360697694,-0.03489722086411734
3,6,104,48,0.3484504340803553,0.1857632836371839,0.16268715044317142,0.2069527659180883,0.14586414360697694,0.06108862231111137
0,7,77,13,0.2948917748917748,0.30930280063844434,-0.014411025746669526,0.2958148079145298,0.3037485588767302,-0.007933750962200392
1,7,77,13,0.4120859563302789,0.30930280063844434,0.10278315569183455,0.3113692280775856,0.3037485588767302,0.007620669200855412
2,7,77,13,0.2018756983496052,0.30930280063844434,-0.10742710228883914,0.3010535435963437,0.3037485588767302,-0.0026950152803865146
3,7,77,13,0.3901557759825476,0.30930280063844434,0.08085297534410324,0.3022924407601454,0.3037485588767302,-0.0014561181165848036
