feature,minimum,q01,q05,q25,median,mean,q75,q95,q99,maximum,std,variance,iqr,skewness,kurtosis_fisher,zero_fraction,positive_fraction,unique_values,dominant_value_fraction,positive_mean,positive_median
D1,0.0,0.0,0.0,0.0333,0.0667,0.07694792498053853,0.1,0.2,0.4,1.0,0.0799888301572003,0.006398212949917438,0.06670000000000001,3.1964262764989977,19.35486074880733,0.1783524393495068,0.8216475606504932,24,0.241802186083711,0.09365076787865023,0.0667
D2,0.282127517,0.372990166,0.433538051,0.51781076,0.585989403,0.5924363672220739,0.668395293,0.768149572,0.8349773065,0.964380785,0.10586027680703296,0.01120639820566164,0.15058453299999996,0.1696741498446866,-0.27762749223601446,0.0,1.0,1768,0.006664889362836577,0.5924363672220739,0.585989403
D3,0.0,0.0,0.0,0.0,0.05,0.06814182884564117,0.1,0.2,0.3,0.95,0.07841419692386342,0.006148786279214431,0.1,1.9596454153541707,8.935349544298484,0.37509997334044254,0.6249000266595575,15,0.37509997334044254,0.1090443686006826,0.1
D4,0.0,0.0,0.0,0.0,0.0,0.03898960277259397,0.0,0.25,0.5,1.0,0.11588531180382108,0.013429405491868834,0.0,3.9425416063260523,20.548969121776114,0.8736336976806185,0.1263663023193815,5,0.8736336976806185,0.30854430379746833,0.25
D5,0.00263,0.0484,0.09755,0.1381176,0.190925788,0.21211176725059985,0.26172564,0.40993531250000004,0.544533519,1.0,0.10259177699080453,0.01052507270613097,0.12360803999999997,1.518982697499118,4.19221372317414,0.0,1.0,2923,0.005331911490269262,0.21211176725059985,0.190925788
D6,0.137873004,0.5366721034999999,0.5804685615,0.6256269704999999,0.67403673,0.6866533235521195,0.7406633060000001,0.824275945,0.8857109535,0.994734614,0.07870222484870315,0.006194040196135827,0.11503633550000014,0.33332157281559277,0.46170572015500566,0.0,1.0,3732,0.0013329778725673154,0.6866533235521195,0.67403673
D7,0.00613,0.0991,0.1289289635,0.20737389499999997,0.277844832,0.2747125291090376,0.3358155355,0.41711497799999997,0.451992269,0.79083095,0.09001700448247382,0.008103061095997713,0.1284416405,0.10099479456793564,-0.44182443755103806,0.0,1.0,3685,0.002932551319648094,0.2747125291090376,0.277844832
D8,0.0,0.0678,0.0678,0.3780616015,0.499942025,0.4551328157544655,0.5699619605,0.6384809185,0.761245097,0.989869664,0.16273148040130447,0.026481534713600142,0.19190035900000002,-0.8701572004409397,0.3719207451347848,0.00026659557451346307,0.9997334044254865,3272,0.05385230605171954,0.4552541845053334,0.49995325
D9,0.275589758,0.564656163,0.653935644,0.7073393735,0.738961351,0.7495166287917888,0.788177061,0.874390805,0.9481134035000001,1.0,0.07170221630291175,0.005141207822749544,0.08083768749999998,0.07252289565175778,2.2280748527920355,0.0,1.0,3741,0.0010663822980538523,0.7495166287917888,0.738961351
D10,0.00304,0.0379,0.1126057035,0.194357112,0.284315884,0.2704113643798987,0.34462574300000004,0.398979378,0.4598777095,1.0,0.09612806641873217,0.009240605153404184,0.15026863100000004,-0.17735719887323861,0.2763710807948492,0.0,1.0,3692,0.0015995734470807784,0.2704113643798987,0.284315884
D11,0.0,0.0,0.0,0.0409,0.127741935,0.1716875880890429,0.236559137,0.532258064,0.798387096,1.0,0.17719288590720983,0.03139731881612548,0.195659137,1.5505337722231,2.6407935583272923,0.22980538523060517,0.7701946147693949,265,0.22980538523060517,0.22291455275943234,0.177419358
D12,0.0,0.0,0.0,0.0,0.0625,0.07952879232204746,0.125,0.25,0.375,1.0,0.0863468368699618,0.007455776237447792,0.125,1.9169526271096926,8.470612892494415,0.34844041588909624,0.6515595841109038,12,0.34844041588909624,0.12205912438625205,0.125
D13,0.0,0.0,0.0,0.0,0.0,0.017065605732871234,0.0,0.0968,0.258064516,1.0,0.058205293673227375,0.003387856211586643,0.0,7.97381441528589,94.07322891349264,0.8029858704345508,0.19701412956544923,20,0.8029858704345508,0.08662122747496616,0.0645
D14,0.0,0.035250000000000004,0.05845,0.0867,0.111939513,0.1265205852527326,0.146727005,0.2490824225,0.38666228700000005,1.0,0.06600790853992795,0.004357043989815493,0.060027004999999994,2.732199110771577,15.571396832964396,0.00026659557451346307,0.9997334044254865,2390,0.005331911490269262,0.12655432407546666,0.111940679
D15,0.00297,0.3455928735,0.350329298,0.4909388045,0.538590497,0.5165150133401759,0.574140611,0.656444782,0.682560317,0.725665462,0.08825807618501837,0.007789488011880507,0.08320180650000003,-0.6193130258607327,-0.0807668586700161,0.0,1.0,3682,0.0018661690215942416,0.5165150133401759,0.538590497
D16,0.0,0.0928,0.0928,0.2148972165,0.286007633,0.2787362110357238,0.31634762800000005,0.47843058699999996,0.680393371,0.980615209,0.11626089996871299,0.013516596861535087,0.10145041150000006,1.1090759730546327,3.6387688073061444,0.00026659557451346307,0.9997334044254865,3166,0.07517995201279659,0.278810540692,0.2860172735
D17,0.15582589,0.301682886,0.392950448,0.5175689625,0.583759121,0.5808901428251133,0.655975069,0.726038672,0.861822366,1.0,0.10754300284435538,0.011565497460781027,0.13840610650000007,-0.18231962117423486,0.9220254075575882,0.0,1.0,3749,0.0005331911490269261,0.5808901428251133,0.583759121
D18,0.0,0.0,0.0115,0.1670597505,0.192558782,0.19615033755291925,0.2331652005,0.3458383315,0.456855963,1.0,0.08732269922721102,0.00762525380032596,0.06610545000000001,0.46155818257876513,4.190165326932463,0.04398826979472141,0.9560117302052786,3212,0.05758464409490802,0.20517565983296154,0.1960090555
D19,0.0017,0.0308,0.05055,0.0891,0.12252163,0.14016397326419622,0.164933865,0.289650128,0.457314779,0.964093878,0.08434033478657421,0.007113292071911419,0.07583386500000001,2.791586558391692,14.208399089298112,0.0,1.0,2134,0.005598507064782724,0.14016397326419622,0.12252163
