row_index,kmeans_cluster
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,1
266,1
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,1
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,0
623,1
624,1
625,1
626,1
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,1
647,0
648,1
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,0
699,0
700,1
701,0
702,1
703,1
704,1
705,1
706,0
707,0
708,1
709,1
710,1
711,0
712,1
713,1
714,1
715,0
716,1
717,0
718,1
719,0
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,0
808,1
809,1
810,1
