component,explained_variance_ratio,cumulative_explained_variance
1,0.12510451582634538,0.12510451582634538
2,0.10047504303137032,0.2255795588577157
3,0.06219203723720021,0.28777159609491587
4,0.04866402306607999,0.33643561916099585
5,0.04351222016491556,0.3799478393259114
6,0.03527159073296425,0.4152194300588757
7,0.03193935071708897,0.44715878077596466
8,0.026690350499920752,0.4738491312758854
9,0.0257743151836822,0.4996234464595676
10,0.02406493567506803,0.5236883821346356
11,0.021164960702715393,0.544853342837351
12,0.019216720171404855,0.5640700630087558
13,0.01762994533893433,0.5817000083476902
14,0.015610135159809618,0.5973101435074998
15,0.01487851366808506,0.6121886571755848
16,0.014011530168240067,0.6262001873438249
17,0.012507350580702355,0.6387075379245273
18,0.010264630820357347,0.6489721687448846
19,0.00967333939707628,0.6586455081419609
20,0.008849059769604997,0.6674945679115659
21,0.00864482671842478,0.6761393946299907
22,0.008097894975558628,0.6842372896055493
23,0.00787087064532447,0.6921081602508737
24,0.007385958431703055,0.6994941186825768
25,0.007279250494776697,0.7067733691773536
26,0.006901974316973237,0.7136753434943268
27,0.006702343727772506,0.7203776872220993
28,0.006230707576624073,0.7266083947987233
29,0.005923672653817977,0.7325320674525413
30,0.005756579968809901,0.7382886474213511
31,0.00543795428076292,0.743726601702114
32,0.0052337830537851305,0.7489603847558991
33,0.004996146290360264,0.7539565310462594
34,0.0049433493107230225,0.7588998803569824
35,0.004747674275995939,0.7636475546329784
36,0.004466419038152438,0.7681139736711309
37,0.004213435935077942,0.7723274096062088
38,0.004138566180955558,0.7764659757871644
39,0.004029113413051429,0.7804950892002158
40,0.003977502794163719,0.7844725919943796
41,0.003861856373715298,0.7883344483680949
42,0.003747300220076436,0.7920817485881713
43,0.00363032013831395,0.7957120687264853
44,0.0034624629533621626,0.7991745316798474
45,0.0034318034103598483,0.8026063350902073
46,0.0033455309612989742,0.8059518660515063
47,0.0032351007537303566,0.8091869668052366
48,0.0032128678826873263,0.812399834687924
49,0.003126793135499364,0.8155266278234233
50,0.002925458602386046,0.8184520864258094
51,0.0028899371528106326,0.82134202357862
52,0.002771178403200753,0.8241132019818207
53,0.002695985671083414,0.8268091876529041
54,0.0026730045897274905,0.8294821922426316
55,0.002616119319005788,0.8320983115616374
56,0.0025265813404319426,0.8346248929020693
57,0.0024939056435818864,0.8371187985456512
58,0.0024401295389052486,0.8395589280845565
59,0.0024001792930656873,0.8419591073776221
60,0.002373653699140735,0.8443327610767629
61,0.0023038728312718276,0.8466366339080348
62,0.0021830335664832163,0.848819667474518
63,0.0021352144624286144,0.8509548819369466
64,0.002100641501457204,0.8530555234384037
65,0.0020943593876341375,0.8551498828260379
66,0.002009709396437645,0.8571595922224755
67,0.0019359293277395784,0.8590955215502151
68,0.0018962796786023317,0.8609918012288174
69,0.0018808432325697214,0.8628726444613871
70,0.0018542863275977895,0.8647269307889849
71,0.001833515329421757,0.8665604461184067
72,0.0017978648023162377,0.8683583109207229
73,0.001762499148302467,0.8701208100690254
74,0.0017224906624931805,0.8718433007315186
75,0.0017009711590504737,0.873544271890569
76,0.0016879814495571203,0.8752322533401262
77,0.0016541612166192266,0.8768864145567454
78,0.001620103438117456,0.8785065179948629
79,0.0016050547482053122,0.8801115727430682
80,0.001591499362667671,0.8817030721057358
81,0.0015596801784651052,0.8832627522842009
82,0.0015167927142379382,0.8847795449984389
83,0.0015057238970855268,0.8862852688955244
84,0.00146302376729755,0.887748292662822
85,0.001416355914808542,0.8891646485776304
86,0.0014101822633292322,0.8905748308409597
87,0.0013749777947231177,0.8919498086356827
88,0.001352007406576104,0.8933018160422589
89,0.0013465390191164529,0.8946483550613753
90,0.001307567641383962,0.8959559227027593
91,0.0012887742432804762,0.8972446969460397
92,0.0012759047522010688,0.8985206016982408
93,0.001255538813928054,0.8997761405121688
94,0.0012387775683465178,0.9010149180805154
