,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94
D1,0.07889140684769809,-0.027366982005745073,-0.0171174742783649,-0.02575853839771451,0.03523261474159937,0.014350292133762894,-0.0263848707906864,-0.002123787697148868,-0.049318051633492725,-0.006134771078078986,0.013002076191194142,3.182525214853073e-05,0.02855269849652884,-0.00639163338750439,0.01861672592021091,0.021276760866437764,0.04458022815332085,-0.03114236556497782,-0.0071881014024072435,-0.030227693142374546,0.0054678903727918,-0.057912117638622564,-0.032762342653072506,0.014814058671817384,-0.00848031031562768,-0.0004915279574568577,-0.06547037616708888,-0.01397022230944608,0.010823349426302533,0.02067940793941424,0.0036958761414956492,-0.015468141333935127,-0.006916633110712733,0.00440696722511634,0.00982542347371971,-0.02778652651669406,-0.021577198271462407,-0.013144470854394318,5.0712761730995925e-05,-0.03372942993085511,0.003692728899587236,0.011726531429226219,-0.028668374839156914,0.009039395075366528,-0.0016174445876866988,0.002327366964141481,0.01051772380043076,-0.031045552345211655,-0.007365288293157614,-0.02058443640480372,-0.017321854982277268,-0.013867142261102583,0.003764761597542595,0.019155735824241432,0.016248091439044363,-0.031945404600093895,-0.031020426054479074,0.007254160326691364,0.012647186031699939,-0.012888441779147235,0.011440369263973028,0.011847912756015704,0.010910327654024584,-0.0027866930039356394,0.008435032302673983,0.012917589405016278,0.012281350337824059,-0.017144769672985817,-0.017092220445825528,0.02169928920644354,-0.028158370283173896,0.020210993077523144,0.036180398711491035,0.006728365650339062,0.020450972346570458,-0.006618981476152285,0.0007235717366606593,0.019477085396363093,0.0025088558238098332,0.006999017999337215,-0.01307194210377558,-0.014607059128965642,-0.006197037335206149,-0.011145883773413898,0.024718048049191595,-0.009164001399695015,-0.0002624645555390784,-0.011259295284839337,0.026094549177762896,0.01282555312174047,-0.019422704324192224,-0.0037379165543918436,-0.02713900577788048,0.014430984862149802
D2,0.04812060675190255,-0.0656215814687866,0.09417489042499401,0.04824300987512248,-0.0550206054538383,-0.003887154144279724,-0.009828739954627116,0.022864856417485164,-0.03681177880466266,0.027150446700436967,-0.06072026689597204,0.040613886387713925,0.0047037724637946435,0.07760528369352433,0.019430548758920564,0.044598730244903406,-0.043291811285242225,0.028245016413442417,-0.06499516016709064,-0.019431272353097776,0.033755261865767064,-0.01229771580638992,0.018527907004347456,0.03032521423693946,-0.02663183995623981,0.03801037831631393,0.007769694653706503,0.0281801488741678,0.030692188883740774,0.004846697400170349,-0.04200870888348551,0.05133865530016813,-0.014656676286005765,-0.0309261971436052,0.045727749929419845,-0.008803274425325063,0.027733293831954962,-0.018155026095464682,-0.005532873521374432,-0.005724133498145104,-0.0841954020828068,-0.006252500645244994,-0.015176133299396287,0.00022214758492832107,-0.005426103296500491,-0.008806415920340297,0.03129964127386143,0.02018704042349464,-0.015494579292608078,-0.059098832295293016,-0.028287172235921663,0.011459481044342244,0.008704425849849278,0.051298708595923136,-0.010621923804920202,0.0037341803400544205,0.04468191927616158,-0.007163922501246903,0.016477145083126282,-0.04904808673845481,0.042932314396568944,0.008220262192318514,0.02033106171300942,-0.020080094616460403,-0.017069045804663105,0.0035735481245591323,-0.01324891943003378,-0.013199796578660088,-0.02676415087370431,0.03652766547930838,0.023383076244404177,-0.04594498044595702,0.03141357978579988,-0.031228413631643585,0.03758810687705707,-0.0005922508394509522,0.003761584796690628,0.022875437714614,0.031419096554315185,0.025293420625777798,-0.02999818006300223,0.0073664270211705,0.014449533215701091,0.003586756314845464,0.02236101217546639,-0.029298518350449915,-0.014832673699437379,-0.014747073377364979,0.02686779871377257,-0.0040734124268605836,0.04832080959521421,0.0005521628467800344,-0.026084305540048397,-0.009115828849606187
D3,0.04862492433276561,-0.0022663517830151247,0.0723539307166981,-0.07097735148476333,-0.009829805132763547,-0.024599867181485296,-0.05062279252795007,-0.0005085275997097384,0.03092223274464284,0.02882571667869554,-0.04438956916694206,-0.009066746858959918,-0.05057361459826501,0.02219065855754148,-0.00534589654613038,0.01779277475815376,-0.016174034939819504,0.004558095164452908,-0.010291230929891704,-0.015614392128835669,-0.019270677196772997,0.018004727274010035,0.016005393047700184,-0.013580189262101132,-0.013321855673865736,0.025687853180437106,0.022444334497692037,-0.02309465283162917,0.01576156900878739,-0.0004994799132443384,0.0021333290352354914,0.005526029426800784,-0.01893301940552919,-0.007954847417404577,0.032816996733757424,-0.004751200598000674,0.01747259936293414,-0.015113963230049572,-0.000657740013447619,-0.00827422819311037,0.026194771981347023,0.026748049227365213,0.018916758115410576,0.004445177823937645,-0.015471611301888906,0.005769932662579753,0.04448063497293729,0.006747191957053034,0.006221473152845172,-0.03201149038098737,0.010634378375710608,0.0013899075869396663,0.01611205670815312,0.00021392839099920388,-0.006584817716188223,0.018041545842599753,0.015616681644387388,-0.0020791095640125693,-0.0014326540112486776,-0.010340343542054634,0.007060972894778234,-0.0006427233987491999,0.0015487170416129993,-0.020733769318747243,0.007453613060956576,0.02145236547808703,-0.0011702672889210182,0.007376483015937307,-0.02973537372674919,-0.007850978710799459,0.005941179892215518,-0.004730869325425657,-0.014473518350044356,0.01680860592908353,-0.012846466569390242,-0.008396224440741649,-0.006823997266252406,0.010776933846605942,0.005519871416736358,-0.028660561170149094,-0.0014006094140134985,0.004766917807675785,0.013700366437459335,0.014561358332904884,0.02009533303197574,-0.020770747011164423,-0.001374135566789122,-0.006414514679251023,0.023398460529150157,0.002641706402722776,0.008023766485856256,-0.002618212325168865,-0.00989693227708037,-0.0044411009997773945
D4,0.04621219876766661,-0.020331022609338167,0.04819395474305477,-0.007978773818952262,0.029347497081488927,-0.07278005846113052,0.04884846562420585,-0.012949569273019485,0.028843526559274107,-0.04158945985110449,0.030179446544037515,0.07970805866280957,0.0834460076428464,-0.012142233079742208,0.07003132232196121,0.01140091177953284,-0.04680318461948721,0.09751483727315277,-0.18733027472914143,0.08942920375329105,0.15792821574986318,-0.16078296132256267,0.05267669113898438,0.06963142466942199,-0.032423673304799644,-0.06621849173554731,0.018493272486612672,0.07849585868752007,0.10787352980513987,-0.08343181098896192,0.01666120887506374,-0.008044199433585218,0.0740514151118566,-0.02760034547272645,-0.02068953703915181,0.007179091908283197,-0.04227351660665981,-0.0340302379017105,-0.06916214117318463,0.006324734826476719,-0.025987795867267106,0.04290591775515219,0.005835311821659167,-0.014828122697251016,-0.027258912696007664,0.02849388521904167,0.025200389309007334,-0.0034598516077814986,0.010109448552033048,-0.029703430087758102,-0.013489828674889421,0.02116375260945566,0.012268539131848338,0.0674567634839622,0.029559998666867163,-0.03196730797928503,0.08400461113918822,-0.01662789559627588,0.06413822517659978,-0.019677767050250917,-0.0022761582554996947,0.011704200515197697,-0.02574529488671943,-0.01348384244304392,0.022757312842020434,0.027971861368654927,-0.05723791649263468,0.021372396012719237,-0.06728534547087867,-0.037540277489242796,0.022583947810025234,-0.032243100081675864,-0.024745937954334957,0.022876099670088624,-0.0010888609500279006,-0.009052186698627323,-0.021702712436477655,-0.06312398544036694,0.006990051431301509,-0.018979048639588037,0.010410366191893486,0.0047897274746410735,-0.04701193648021443,0.015053099335627523,0.07149569292989191,0.014172986948025865,-0.013498561810435902,0.06164899651577632,-0.07215847553448049,0.02280277647465727,-0.04199151339328639,-0.01615854180342337,0.041798393072077694,0.01296373382588865
D5,-0.032990125698203365,-0.10678231428712137,-0.0013312754174574781,0.015044444627013598,0.016304197042046553,-0.024078589614381696,0.015518004626496329,-0.007243483429477972,0.011027014972711607,0.025233870513295186,-0.019805763291834786,-0.007997136057749144,-0.017303261561291458,0.02408596982518018,-0.040650016283440615,-0.06781424781126927,-0.029113327270074846,-0.014242539282762368,0.04799157131130249,-0.017170325875217607,0.08229440130026411,0.0342088659596442,-0.06744389276370721,0.01056591381641233,-0.0002746295443015606,-0.014070258430275949,0.028978032368279533,-0.021838134466273015,0.0074578487471804455,-0.0062377203269796955,-0.02322296119941549,-0.034293580190444796,-0.028146078887934297,-0.020702067913663316,-0.028531098988885947,-0.011889173176297022,-0.04413345207683848,-0.1250390776723708,0.022485290857677986,-0.00203253006383812,-0.01891564962957839,0.06956156308239471,2.118290269396972e-05,-0.045217613041805604,0.007014348570283427,-0.06973812250086164,-0.03144077367372222,0.02662404211244751,-0.012807531440283834,0.03342444993803921,-0.0011885162202516508,0.026484866387654904,0.013325517375138186,-0.020526125505767004,0.01877068295738469,0.021960201631840294,0.04164654983579799,-0.019350099049459647,-0.013022044483989487,0.009540878063305874,0.030952431116336783,0.011223652531833245,0.047494249103503985,-0.014571456377087564,-0.02065011735190569,0.049887853737767066,-0.018275937545299156,-0.07653621464885554,0.01609276983412647,0.026485112101843615,-0.049011103117986295,0.0423865330876223,0.06009508788278911,-0.03916223302976368,-0.03571690079681173,0.033269265724551814,-0.0072091814602622956,0.021359143778336302,-0.012243250869642017,-0.00310271385278004,0.028533605972839354,-0.03423365530753461,0.03198875557193527,-0.018048029211770112,0.040604088904218266,0.01628956926718734,-0.031931127711774455,-0.0005104478156751687,-0.036951214562473224,0.009468955750236615,0.04618263285643465,0.058167098144777774,0.027074767449991998,-0.058668177272663165
D6,0.028921550544677824,-0.01795921974298495,-0.08498746070295515,-0.04280800502603066,0.004092141044886449,0.021982368641336125,0.012091140272401102,-0.015827109903562876,-0.007190553651762854,0.023234491110463787,-0.02255481502952074,0.0402095758493439,0.002743343762494771,0.007875657975371746,-0.003165362798222042,0.02916387686877741,-0.0032777254088331726,0.0442308945567348,-0.09790945677549899,-0.018537339164081526,-0.05525274659993465,0.005249713632189623,0.01590421652585533,-0.0012391469623510148,-0.010821253162376674,0.01103479932301871,0.03336751492415482,-0.0395401624856393,-0.07360778750877722,-0.024825138674927485,0.051922681672018224,-0.0074337373809909915,0.008372454569501732,0.029809450602901702,-0.03618700207976734,0.03530443227922335,0.045387672548908825,0.013847338313352067,0.03143704774552083,0.02387891586114778,0.060657537442823026,-0.026225989525859382,-0.017401319459146372,-0.004157789958798036,0.003906528806677323,-0.05089442560002378,-0.00625451502607605,-0.04632229955751718,-0.007420642773664901,0.046396518300464526,-0.02866355296563504,-0.03259500078293499,0.01594355642387093,-0.07699173541980607,0.02491872107767766,-0.013897614468196567,-0.025296568694402277,0.005471518219041602,-0.021272156664489547,5.8538177626861476e-05,0.012722324756090031,0.08419521470385667,0.004519780939852301,0.03754151956225962,-0.0019422909870359106,-0.006543806322206223,-0.029549490628046692,0.044739384994506304,-0.00836669478714723,-0.01793442754404471,0.005930840043993052,-0.018563150003426905,0.04553203258948292,-0.02183305170160029,0.04276096208828692,-0.018158026802255475,-0.019734977697818446,-0.009196137227162483,-0.046986451304649755,0.05973099513573274,0.035453081424939845,-0.006563663856276596,0.07857914540606487,0.0001623666336553753,0.02671983314155267,0.005622306472139623,0.023900242165713518,0.006790249525738765,-0.008085135406424283,0.030292272227295032,-0.015224927625671968,0.025942151790492033,0.026317373619580295,0.01758757893384285
D7,-0.0367599644133925,0.04487835523298281,0.05526969743363552,0.07796010373188916,-0.014615171474933852,-0.04664483208544668,-0.027559672532180973,0.02068230747461351,-0.0313666579631372,-0.027950512666974358,0.006952316705623268,-0.025738385282442548,0.026536410765428453,-0.02561351471428433,0.023106474901711832,-0.0637044149901266,0.007060220039191045,-0.0034098512450856655,0.08393592755422398,0.04650253289016633,0.02159364254413757,0.010618667176288945,-0.03572070988764423,-0.028108684924314526,0.03235639593068164,0.002378147492400993,-0.03683688998910349,0.05640242020001482,0.06242776196907668,0.002078460945269492,-0.04542499650591626,-0.0032203933253361905,0.0208429504639478,-0.03998130231570687,0.020817417038742576,-0.006597460105670902,-0.06715658566661516,0.026909267353623333,-0.025856566779614322,0.0018858721051816657,-0.046169555664671263,0.020115766052561677,0.02411898074285282,-0.004863934142788677,-0.013379341214396035,0.059456267632813246,0.006667746760289611,0.04535936697007495,-0.033086483731594826,-0.006722765063588126,0.002681026821299233,0.03147034003871985,-0.0182128679960205,0.01363662484108552,-0.04556446262965117,-0.02911453023786259,0.03146279850554975,-0.003998575495695374,0.021585402524196287,0.0005207533994939645,-0.008050931285094452,-0.061217713523572304,0.009316468301497419,-0.02366547415508708,0.012907948837057238,-0.0006253727043448037,0.034956859837974585,-0.009602323365278387,-0.030438605837741106,0.008220039606996021,0.028401639138013142,0.01744762605535024,0.02630285877891543,0.030899261500199744,-0.03547335013028182,0.026408456048683797,-0.0048623514864803725,-0.010062096300534146,-0.013675688815117507,-0.08225089613724115,0.005764576862868007,0.028552216496103337,-0.018971964954175864,0.013896894319708577,0.0005748141002128726,-0.03912023675940257,0.009118232319013993,-0.08463717117579286,0.03163050959962285,-0.03626490575652594,0.01165562733890842,-0.02044743401109226,-0.030992835432820415,-0.07131422124457877
D8,0.0302622793198382,0.13161375774914238,0.11927901761099852,0.11514477918195348,0.006313700739498079,0.005014996092982865,0.05570197989334877,0.12025378964253408,-0.04992848349540835,0.008668617500101228,-0.011040870575580624,-0.032761191890797736,0.009338272307871737,0.05922815979057676,0.017092367990024268,0.003829103601502737,-0.007586366781000609,-0.04073359417726019,-0.0647848239712713,0.04835888315203268,-0.03098543854485889,0.05024888182210452,-0.030878710592149104,0.05026111747097206,-0.040940217746371445,0.0296076447921958,-0.06738028264397816,0.07230822497604668,0.026422849790782327,-0.009602080482808051,-0.004131231348353194,-0.0028763668435696776,0.0701996584223746,-0.00133601788261032,0.06819885753230273,-0.031964598509341746,-0.011839131464588981,0.03632093172739069,0.10496672170665178,0.09559894648676473,0.013758489916560058,0.09763242568657486,0.03888149565096921,0.0726119702142948,0.11308525640279717,0.06670382487704629,0.13910180757729929,-0.001321292890332948,0.020945729962254748,-0.008248481640020996,-0.19019348396140617,-0.0678431947692482,-0.08919564774265201,0.15880299970312708,-0.1371509913641768,0.08383273260421623,-0.08378482693229726,-0.010389268810710575,0.01014042134854222,0.11023605609383355,0.09631395330381659,-0.06581007078370878,-0.05700579404113211,0.012115116884587178,-0.025938034105762182,-0.0734891732304522,0.07132835639510539,-0.049969526363977876,0.042264776548155275,-0.054604249101832314,-0.07224987477051478,-0.014620012189574018,-0.03117323239949575,-0.012223799967263362,0.012868822257670248,-0.004324787022812315,-0.06859620509555187,0.02568902278405183,0.01659942051980591,-0.04745979295666987,-0.008893748641238035,-0.016148998499249716,0.09526516447702321,0.05028043729435608,0.06054297653672855,-0.01951903351778481,0.023725076376710726,-0.01878131685679111,-0.037860389438498364,-0.03208612527768074,-0.07404734758061517,-0.030125763402928024,0.06602046492855353,0.013963084513341259
D9,0.019605643816357647,0.014877477929265132,-0.08061690033433064,-0.03419091516243322,0.007370496626804224,0.010219195817475046,0.023293695940263315,-0.013438278246703137,-0.010118345642288556,0.015353901672956381,-0.003262771966961814,0.04372049377588224,-0.018696646422095148,-0.008349490804010234,-0.010339680342627028,0.0027545720090519366,-0.029754134171900766,0.0360572004101469,-0.07380320731061049,-0.0017084027327055606,-0.04872238422392927,0.005007602898166902,0.014046903011971576,-0.014565911586989548,0.008954337410964588,0.02834293050538662,0.015576837483174177,-0.02993743594141725,-0.048773434491550444,-0.02977315383250187,0.024940898345832505,0.004750602727267319,0.050756259695710626,0.006851571354999975,-0.030955977224659016,0.04321298943906785,0.023699796665285315,0.028683243393744045,0.034155849092177115,0.028538652355850177,0.06933142561599974,-0.015367734970089754,-0.011422647852470637,-0.01129965702973988,0.01800803601918742,-0.021061933222062203,-0.0161666496587786,-0.03245923855470467,0.003763857269316365,0.06365308820169224,-0.029003191668553356,-0.019034033454824656,0.014199237997325889,-0.07873307528935744,0.014077169905609116,-0.0065195613691556575,0.0008396698620619092,0.021918303598935804,0.009133578431487883,0.004200304552202376,-0.013006085648493301,0.056923896559704125,-0.0038218127645242017,0.012025433367228514,-0.005462291564108282,0.006892839209188761,-0.023402374923717634,0.03943660091492893,-0.019388356403255473,-0.034984075552344104,0.036801622306893586,-0.004384302464410524,0.0480380447345163,-0.009926088575904851,0.03556811242702908,-0.004347368054066457,-0.02452213277818558,-0.03655215941477817,-0.07219898598756931,0.035520653169016855,0.048275816337682555,-0.02269587783627252,0.05021380132474493,0.007919739358557113,0.03294627158642727,0.010695741233865862,0.01775493334617031,-0.006291460581016019,-0.018164741046318586,0.017621700704369754,-0.04133586145741795,0.04182133989275402,0.024428855622203115,0.00553336916703704
D10,-0.02877884173202788,0.030492076870707933,0.09944779081876082,0.08098048504593502,-0.01263964903679754,-0.041840086843689145,-0.02859810087796809,0.03302880366794654,-0.009790521242732414,-0.004485195155920321,0.018523604048891237,-0.03488278232331818,0.03832529962378439,-0.00584187110769753,0.022556976384763866,-0.010280661050522055,0.02469696483469286,-0.030100868991614283,0.07243491364388908,0.03923916180558022,0.040350181828404316,0.01415114097728068,-0.021830702901377244,-0.02177026416098897,0.0005409071311868983,-0.015186490323548416,-0.04068569441634484,0.062444460381763885,0.06875967899960722,0.021324187610443468,-0.04662832863733124,0.001654797554893797,-0.009967202924112711,-0.017156686772901192,0.03496299693265923,-0.026474430951922527,-0.06661654938415548,-0.0020795131698020004,-0.04794417383729759,-0.004680707959156483,-0.07615442520746064,0.031981188356775,0.024265638653960246,0.009229576666298561,-0.014019663697494942,0.060613311271335624,0.042146527113532076,0.04155961844506068,-0.033683839668505446,-0.036308523075036764,-0.004772583225116747,0.05293680913604064,-0.02399384445684093,0.037275814871582255,-0.03326112176028564,-0.031686010161577086,0.022792474549031633,-0.016561893866017252,-0.0010729851020299594,-0.01528460096923906,-0.005602513715202994,-0.06028238999546236,0.0151631108350763,-0.028529992803893216,0.012554889294905058,-0.0005557573380971723,0.042266750085616756,-0.018222903705630088,-0.034822534149035446,0.018670146061711683,-0.004448413716727717,0.019105419764583423,-0.0012701083770034483,0.02695871085150234,-0.020253607275447356,0.012774802113568014,-0.012065452855920472,0.011344897458631278,0.013983934533054977,-0.09229355671526553,-0.013159782064507713,0.023396541043115268,-0.03400516685239682,0.01765002210592742,-0.0019056676247004994,-0.05492310274401958,0.0007499812362326242,-0.0694798537919018,0.04627416294098542,-0.04841243390860557,0.02965776320706442,-0.04428438938767821,-0.052088473207231104,-0.0801473313082395
