reordered_position,feature,variance,zero_fraction
0,D52,0.17770650497414892,0.16768861636896829
1,D194,0.14937886985541948,0.6523593708344442
2,D218,0.13313596961772217,0.418555051986137
3,D204,0.1016754411338854,0.0
4,D211,0.09264381446222505,0.8432418021860837
5,D219,0.08873731745679528,0.6918155158624367
6,D196,0.08727100021301931,0.2684617435350573
7,D212,0.08315143847959501,0.8091175686483605
8,D195,0.08206484375801595,0.8184484137563316
9,D215,0.08000519127124496,0.8571047720607838
10,D223,0.07572519044980612,0.852039456145028
11,D201,0.07327111047632967,0.0
12,D117,0.07062816469237734,0.800853105838443
13,D199,0.07037365686872803,0.46680885097307384
14,D200,0.06739204258139703,0.1863503065849107
15,D203,0.04405391743483837,0.00026659557451346307
16,D104,0.04253583864249105,0.006664889362836577
17,D105,0.042047250434184946,0.0
18,D198,0.03929839203589254,0.4878699013596374
19,D209,0.03814280205793796,0.00026659557451346307
20,D177,0.03685437285259886,0.0
21,D50,0.0339089846798377,0.006398293788323114
22,D11,0.03139731881612548,0.22980538523060517
23,D119,0.030766303973865875,0.8552386030391895
24,D83,0.027029915960348778,0.22767262063449747
25,D224,0.02670440913229235,0.9618768328445748
26,D8,0.026481534713600142,0.00026659557451346307
27,D659,0.025959202865729072,0.29298853639029593
28,D146,0.024943744551299513,0.20261263663023193
29,D222,0.02479777431823508,0.00026659557451346307
30,D121,0.024745712380572157,0.9192215409224207
31,D127,0.02228888690578158,0.5777126099706745
32,D45,0.021821907003762187,0.1018395094641429
33,D29,0.02115196934789782,0.7488669688083178
34,D120,0.020843894640793413,0.9272194081578246
35,D911,0.020702287835275023,0.06904825379898694
36,D82,0.02066236559139785,0.7307384697414023
37,D214,0.02028789362757669,0.8856304985337243
38,D213,0.020259306321405907,0.9704078912290056
39,D216,0.020098727632122896,0.00026659557451346307
40,D46,0.020094615369733063,0.0007997867235403892
41,D39,0.01954927785463298,0.2316715542521994
42,D208,0.019271443759064845,0.0
43,D24,0.019010566071269885,0.8427086110370567
44,D118,0.01895855172521309,0.8869634764062917
45,D30,0.018262589437785453,0.0
46,D136,0.017009636693884157,0.31804852039456144
47,D100,0.01643343352774697,0.0005331911490269261
48,D220,0.01628670968095313,0.971207677952546
49,D150,0.016105522315185434,0.24100239936017062
50,D70,0.015558118408890381,0.0007997867235403892
51,D386,0.015229752066115699,0.94534790722474
52,D103,0.014694028452293414,0.00026659557451346307
53,D75,0.014359721349744295,0.32071447613969606
54,D101,0.014063770293148044,0.0005331911490269261
55,D595,0.013954236559139785,0.7917888563049853
56,D61,0.013777104839240193,0.1279658757664623
57,D79,0.013773733227876873,0.0
58,D389,0.013749018039633876,0.9122900559850706
59,D99,0.013733368212514665,0.0015995734470807784
60,D126,0.013642061587835218,0.022394028259130897
61,D123,0.01361345428722726,0.9472140762463344
62,D807,0.013526566249000267,0.6680885097307385
63,D16,0.013516596861535087,0.00026659557451346307
64,D4,0.013429405491868834,0.8736336976806185
65,D169,0.013385123966942145,0.9536123700346574
66,D373,0.012757191415622501,0.6816848840309251
67,D26,0.0127567851009536,0.0
68,D459,0.012620293065544075,0.7248733671021061
69,D842,0.012293474055674087,0.8176486270327913
70,D661,0.012285953994595204,0.643028525726473
71,D182,0.012198870151805855,0.00026659557451346307
72,D122,0.012173604417672314,0.9549453479072247
73,D185,0.012102515104811681,0.8091175686483605
74,D597,0.012091922154092242,0.8523060517195414
75,D673,0.012041351940786656,0.7997867235403893
76,D750,0.01201334977339376,0.8341775526526259
77,D197,0.011960621650403592,0.9333511063716342
78,D685,0.011940220385674931,0.8986936816848841
79,D624,0.011821809739624989,0.7867235403892295
80,D145,0.011795293430410619,0.144494801386297
81,D623,0.011707435794899138,0.7739269528125833
82,D202,0.011663364983294256,0.00026659557451346307
83,D17,0.011565497460781027,0.0
84,D102,0.011560496558180536,0.0
85,D67,0.011486020488698562,0.12183417755265262
86,D108,0.011473835130153404,0.800853105838443
87,D152,0.011471110083944983,0.13463076512929886
88,D56,0.011465220039706762,0.4702745934417489
89,D77,0.011346256323013329,0.4662756598240469
90,D598,0.011336292544210433,0.877366035723807
91,D747,0.01132649737847685,0.7056784857371368
92,D31,0.011224658712223246,0.09944014929352173
93,D2,0.01120639820566164,0.0
94,D106,0.011037366891567684,0.006664889362836577
95,D309,0.010980556296098818,0.9026926153025859
96,D469,0.010931193776211406,0.7246067715275927
97,D206,0.010806784866930581,0.9749400159957344
98,D131,0.010805915643886742,0.07464676086376966
99,D5,0.01052507270613097,0.0
100,D514,0.010422798423814099,0.7280725139962677
101,D36,0.010420930343884773,0.6502266062383364
102,D87,0.010375934696005965,0.00026659557451346307
103,D841,0.010256563677966797,0.8962943215142629
104,D47,0.010174858595712431,0.0005331911490269261
105,D165,0.010173184437386256,0.8571047720607838
106,D135,0.010130115055470552,0.5275926419621434
107,D37,0.010104501441022684,0.8643028525726473
108,D142,0.010088584155336354,0.19514796054385497
109,D221,0.009980144568308104,0.00026659557451346307
110,D951,0.009933933571845787,0.006664889362836577
111,D949,0.009841995467875233,0.16368968275126633
112,D512,0.009827468282398583,0.35643828312450015
113,D162,0.009819414583500937,0.2708611037056785
114,D43,0.009596972466987493,0.37723273793655027
115,D415,0.0094846921892902,0.7094108237803253
116,D64,0.00947831957526417,0.46920821114369504
117,D660,0.009249812755593204,0.4649426819514796
118,D10,0.009240605153404184,0.0
119,D237,0.009184375539733223,0.9626766195681151
120,D48,0.009155665995520106,0.10797120767795254
121,D376,0.009121992157872148,0.9120234604105572
122,D58,0.009099223067737692,0.5611836843508398
123,D107,0.009061863673585177,0.00026659557451346307
124,D217,0.009035637775737048,0.00026659557451346307
125,D472,0.008958501926213789,0.7600639829378832
126,D927,0.008925025705614811,0.30285257264729404
127,D739,0.008901192639183401,0.4030925086643562
128,D173,0.008899841807926759,0.4660090642495335
129,D124,0.008897975873846223,0.9661423620367902
130,D225,0.008706264996001066,0.9797387363369768
131,D672,0.008679984422732729,0.5891762196747534
132,D458,0.008623547853905624,0.5673153825646494
133,D608,0.008508947836445938,0.7877899226872834
134,D147,0.00850723682573536,0.9077579312183418
135,D292,0.008477561539145117,0.9840042655291922
136,D81,0.008423061493749016,0.9341508930951746
137,D110,0.008345480218988422,0.8552386030391895
138,D158,0.008326217599338125,0.4878699013596374
139,D112,0.008304695281258332,0.9192215409224207
140,D74,0.008277103980822714,0.005865102639296188
141,D137,0.008177456567137652,0.3324446814182885
142,D7,0.008103061095997713,0.0
143,D947,0.007968223283295205,0.2210077312716609
144,D934,0.007837507037641684,0.888296454278859
145,D15,0.007789488011880507,0.0
146,D167,0.0077500058785998855,0.418555051986137
147,D635,0.007732567116837237,0.9621434284190883
148,D662,0.007694073528316883,0.7187416688882965
149,D449,0.007693947725051097,0.8379098906958145
150,D812,0.0076657216631374715,0.8344441482271394
151,D229,0.007658046743090731,0.9162889896027726
152,D844,0.007654752066115701,0.8552386030391895
153,D62,0.007651826304530823,0.3617701946147694
154,D327,0.0076258064516129065,0.9760063982937883
155,D18,0.00762525380032596,0.04398826979472141
156,D130,0.007551737930320672,0.12023460410557185
157,D140,0.007468180929529903,0.9058917621967475
158,D139,0.007466459668898913,0.10077312716608905
159,D12,0.007455776237447792,0.34844041588909624
160,D33,0.007453104055439755,0.4788056518261797
161,D697,0.007433935839331734,0.7805918421754199
162,D71,0.007413346019901961,0.3444414822713943
163,D336,0.007375817559761841,0.8866968808317782
164,D607,0.007368415756720432,0.6011730205278593
165,D57,0.007316869897239195,0.440415889096241
166,D96,0.007263131296790421,0.051452945881098375
167,D186,0.007176435467851935,0.0
168,D699,0.007146124944459255,0.822713942948547
169,D19,0.007113292071911419,0.0
170,D440,0.0070851506264996,0.9093575046654225
171,D584,0.007073850925246846,0.9301519594774726
172,D109,0.007027949090135047,0.8869634764062917
173,D808,0.006946624047548907,0.7888563049853372
174,D610,0.006899145909839241,0.881364969341509
175,D59,0.006841525740808862,0.8864302852572647
176,D226,0.006804798719088076,0.9024260197280725
177,D429,0.006769260543760553,0.9232204745401227
178,D843,0.0067316716452427965,0.8248467075446547
179,D133,0.006625717658893992,0.86990135963743
180,D151,0.006621427883940177,0.34710743801652894
181,D426,0.006591397849462366,0.8312450013329779
182,D925,0.006591189186341022,0.4662756598240469
183,D88,0.0065204707118967226,0.00026659557451346307
184,D428,0.006511918799413339,0.9168221807517996
185,D596,0.006447570817876854,0.8368435083977606
186,D114,0.006436040877988094,0.9472140762463344
187,D1,0.006398212949917438,0.1783524393495068
188,D791,0.006343394848261634,0.9541455611836843
189,D504,0.006343354720384337,0.2218075179952013
190,D416,0.006335249610740248,0.707544654758731
191,D933,0.0063268999772912995,0.8168488403092509
192,D153,0.0062553123405844745,0.9200213276459611
193,D361,0.006250717586421398,0.8973607038123167
194,D767,0.006248687476835073,0.8872300719808052
195,D20,0.006231561156216456,0.011197014129565449
196,D6,0.006194040196135827,0.0
197,D125,0.006178376753243374,0.9789389496134364
198,D35,0.006164081252963031,0.5675819781391629
199,D3,0.006148786279214431,0.37509997334044254
200,D932,0.006137954323291567,0.9512130098640362
201,D806,0.006108736639125023,0.4780058651026393
202,D98,0.006080000000000001,0.9346840842442016
203,D505,0.006023810190830073,0.13996267661956813
204,D460,0.006001679857141066,0.7374033591042388
205,D44,0.005982143071980963,0.33964276193015197
206,D950,0.005962324005428462,0.030658491069048253
207,D310,0.005946977974528653,0.9074913356438283
208,D776,0.005936203679018928,0.9680085310583845
209,D387,0.005935325885435011,0.9682751266328979
210,D166,0.005925365095697716,0.8523060517195414
211,D55,0.00591394629610583,0.46920821114369504
212,D419,0.0058760024695611,0.8621700879765396
213,D311,0.005769624455700703,0.913089842708611
214,D359,0.005759621632113077,0.9050919754732072
215,D25,0.005730858776250536,0.00026659557451346307
216,D161,0.005683393317337599,0.5793121834177553
217,D38,0.005682514859533177,0.119168221807518
218,D752,0.005675432318616619,0.8573713676352972
219,D936,0.005653432418021861,0.8898960277259398
220,D480,0.00564732071447614,0.942415355905092
221,D431,0.005606662915775522,0.942415355905092
222,D54,0.0055917851856758394,0.2921887496667555
223,D622,0.005564653378792572,0.6507597973873633
224,D68,0.005537571185523109,0.40015995734470805
225,D111,0.005531459266003954,0.9272194081578246
226,D748,0.005515785790455878,0.7214076246334311
227,D205,0.0055003967032169155,0.0
228,D128,0.005464698495826745,0.17728605705145295
229,D156,0.005452179110384948,0.8432418021860837
230,D63,0.005431582602314626,0.41828845641162354
231,D524,0.005427528214698303,0.9381498267128766
232,D76,0.0053803634156635695,0.13543055185283925
233,D143,0.005350738424868273,0.37056784857371367
234,D686,0.005314368396373311,0.8640362569981338
235,D174,0.005312414058652372,0.9640095974406825
236,D802,0.00531193388429752,0.36070381231671556
237,D479,0.00530727038906496,0.2476672887230072
238,D417,0.005306282095089305,0.7632631298320448
239,D418,0.005264153559050919,0.8101839509464143
240,D42,0.005249589941176244,0.819248200479872
241,D168,0.005220701538110505,0.6918155158624367
242,D710,0.0052022280280814015,0.9509464142895228
243,D427,0.0051855149737847685,0.9568115169288189
244,D9,0.005141207822749544,0.0
245,D390,0.005097749738293227,0.9192215409224207
246,D751,0.005068341870189806,0.8200479872034124
247,D740,0.005058167765652882,0.5286590242601973
248,D326,0.0050395983293343985,0.9634764062916555
249,D360,0.005014305074202434,0.887763263129832
250,D92,0.005001023072257768,0.3460410557184751
251,D207,0.0049952417628823355,0.00026659557451346307
252,D334,0.004955913978494624,0.9013596374300187
253,D845,0.004954952457122545,0.9616102372700613
254,D270,0.004941260108415534,0.9682751266328979
255,D445,0.004939364027609551,0.7520661157024794
256,D314,0.004932870352079726,0.9450813116502266
257,D49,0.004917265226832588,0.3308451079712077
258,D430,0.00488173228214376,0.9237536656891495
259,D65,0.0048712263399431814,0.23487070114636097
260,D60,0.004849340849746564,0.6614236203679019
261,D364,0.004837154536568026,0.9584110903758998
262,D317,0.004804798720341243,0.9861370301253
263,D609,0.004793770550075536,0.8469741402292722
264,D762,0.00479292604295169,0.6856838176486271
265,D583,0.00479231164775602,0.8056518261796854
266,D80,0.004783324165046859,0.34310850439882695
267,D228,0.0047821914197651106,0.8989602772593975
268,D66,0.00477911518921288,0.4129565449213543
269,D674,0.004755807695725584,0.8117835243934951
270,D375,0.004741140078195666,0.906158357771261
271,D473,0.0047374319698834455,0.7390029325513197
272,D312,0.004729860481649338,0.9298853639029592
273,D32,0.004721558592910099,0.06318315115969075
274,D132,0.004702013811102051,0.8933617701946148
275,D586,0.004696390046722667,0.9149560117302052
276,D346,0.004694072686886225,0.9688083177819248
277,D248,0.004674783441875809,0.9784057584644095
278,D129,0.004659119910866296,0.8496400959744068
279,D69,0.004657577979394752,0.07384697414022927
280,D155,0.004646554282194954,0.6523593708344442
281,D164,0.004639698302674843,0.8856304985337243
282,D73,0.004628780139922284,0.7091442282058118
283,D113,0.004585244823602595,0.9549453479072247
284,D777,0.004558239283924215,0.9506798187150093
285,D287,0.004542255398560383,0.9864036256998134
286,D701,0.004484850588329199,0.8531058384430819
287,D365,0.004477561539145117,0.9680085310583845
288,D548,0.004418963522638967,0.9541455611836843
289,D461,0.004411427959808565,0.852039456145028
290,D391,0.004403576823958055,0.9272194081578246
291,D926,0.004373919310406114,0.3263129832044788
292,D14,0.004357043989815493,0.00026659557451346307
293,D709,0.004348880785678313,0.964276193015196
294,D730,0.004291868834977339,0.9693415089309517
295,D395,0.004269350395450102,0.9808051186350306
296,D84,0.004223088596707142,0.04158890962410024
297,D766,0.004214582796705591,0.8387096774193549
298,D163,0.004191363014307297,0.8781658224473474
299,D585,0.0041436544170558665,0.9194881364969342
300,D191,0.004143543179340576,0.852039456145028
301,D811,0.004130473103073946,0.7933884297520661
302,D160,0.004112468721438468,0.6888829645427886
303,D525,0.00409861370301253,0.960277259397494
304,D675,0.00408753221363192,0.8874966675553185
305,D775,0.004064271253392869,0.9757398027192749
306,D274,0.0040274060250599835,0.9893361770194615
307,D474,0.004023001474556872,0.8061850173287124
308,D338,0.003963969529530931,0.9077579312183418
309,D689,0.003963134275304363,0.9237536656891495
310,D53,0.003950762383444908,0.4356171687549987
311,D335,0.00388661139996346,0.8794988003199147
312,D337,0.003842590765776671,0.9000266595574513
313,D516,0.0038320837824900025,0.7515329245534524
314,D210,0.00382946820882668,0.00026659557451346307
315,D626,0.003779322847240735,0.8842975206611571
316,D420,0.0037553978494623656,0.8936283657691282
317,D377,0.003746891939927131,0.9218874966675553
318,D937,0.0037462365591397853,0.8925619834710744
319,D891,0.0037346396516484493,0.8925619834710744
320,D692,0.0036931122367368707,0.9589442815249267
321,D523,0.0036815071536479157,0.9858704345507865
322,D493,0.0036657870077340298,0.9538789656091708
323,D513,0.003661180574295107,0.5625166622234071
324,D612,0.003636896827512663,0.9245534524126899
325,D814,0.00362476291039,0.9029592108770994
326,D157,0.0036226394879243797,0.8184484137563316
327,D749,0.0036225959313317875,0.8512396694214877
328,D22,0.003618739363322636,0.4238869634764063
329,D688,0.0036168685824544563,0.8741668888296454
330,D481,0.003602743712787701,0.9440149293521728
331,D535,0.003576144232363875,0.9608104505465209
332,D392,0.0035675928639575336,0.9520127965875766
333,D89,0.003549847298605625,0.0
334,D652,0.0035225095530080873,0.9792055451879499
335,D515,0.0034977361276225007,0.7211410290589176
336,D447,0.00347000591459218,0.8592375366568915
337,D935,0.0034487929568367054,0.8392428685683818
338,D599,0.003427956989247312,0.9658757664622767
339,D663,0.003421407530351984,0.8384430818448414
340,D537,0.0034129572734233316,0.9568115169288189
341,D741,0.0034030413094632726,0.5987736603572381
342,D753,0.003393499700017081,0.9053585710477207
343,D452,0.0033902860698293118,0.9026926153025859
344,D846,0.003388086141015077,0.9520127965875766
345,D13,0.003387856211586643,0.8029858704345508
346,D93,0.0033835241592585588,0.3950946414289523
347,D534,0.00337980094197103,0.9232204745401227
348,D446,0.003343637348650642,0.8264462809917356
349,D687,0.003343297066434701,0.8645694481471607
350,D649,0.003322260499864899,0.9093575046654225
351,D453,0.00331238800585515,0.9066915489202879
352,D175,0.003282461659796715,0.0
353,D764,0.0032608523903965674,0.8301786190349241
354,D116,0.0032245712254509915,0.9789389496134364
355,D149,0.00320468284734833,0.653425753132498
356,D700,0.0031872237131154017,0.7989869368168488
357,D569,0.0031820825557629085,0.9706744868035191
358,D495,0.00318006087265618,0.9565449213543055
359,D636,0.003172720360339457,0.9818715009330845
360,D342,0.0031678219141562255,0.9730738469741402
361,D231,0.0031623922509553004,0.9880031991468942
362,D915,0.0031485448324891138,0.9736070381231672
