reordered_position,original_row_index,kmeans_cluster
0,1214,0
1,878,0
2,18,0
3,3508,0
4,3289,0
5,38,0
6,3319,0
7,1945,0
8,183,0
9,2420,0
10,3305,0
11,1099,0
12,2166,0
13,3739,0
14,2450,0
15,1447,0
16,193,0
17,3544,0
18,2170,0
19,3013,0
20,3682,0
21,3105,0
22,1291,0
23,1664,0
24,2595,0
25,3249,0
26,3301,0
27,1191,0
28,619,0
29,3177,0
30,560,0
31,458,0
32,1987,0
33,3475,0
34,859,0
35,2110,0
36,2630,0
37,1014,0
38,2548,0
39,3259,0
40,1626,0
41,2040,0
42,836,0
43,3008,0
44,664,0
45,3,0
46,2997,0
47,1452,0
48,2447,0
49,1547,0
50,2375,0
51,1425,0
52,1624,0
53,244,0
54,924,0
55,755,0
56,3222,0
57,650,0
58,2039,0
59,3555,0
60,216,0
61,1832,0
62,2475,0
63,2916,0
64,1654,0
65,277,0
66,1179,0
67,97,0
68,1110,0
69,2492,0
70,421,0
71,2766,0
72,535,0
73,2499,0
74,3662,0
75,2677,0
76,2938,0
77,1298,0
78,3729,0
79,10,0
80,2753,0
81,1845,0
82,494,0
83,1315,0
84,1523,0
85,396,0
86,1709,0
87,647,0
88,1445,0
89,3216,0
90,2054,0
91,517,0
92,3465,0
93,3139,0
94,3377,0
95,3665,0
96,3616,0
97,2377,0
98,3583,0
99,1959,0
100,1728,0
101,2545,0
102,2904,0
103,522,0
104,1459,0
105,1979,0
106,873,0
107,2804,0
108,2009,0
109,171,0
110,1745,0
111,2822,0
112,2983,0
113,1025,0
114,2783,0
115,111,0
116,898,0
117,380,0
118,701,0
119,2288,0
120,178,0
121,409,0
122,1930,0
123,402,0
124,1797,0
125,2596,0
126,1273,0
127,355,0
128,1400,0
129,1358,0
130,1934,0
131,1294,0
132,1278,0
133,2302,0
134,2565,0
135,1531,0
136,1244,0
137,1366,0
138,213,0
139,2298,0
140,1862,0
141,974,0
142,2065,0
143,1558,0
144,3190,0
145,2688,0
146,2257,0
147,1210,0
148,93,0
149,206,0
150,3244,0
151,2315,0
152,595,0
153,3463,0
154,3174,0
155,2403,0
156,2863,0
157,1859,0
158,348,0
159,2882,0
160,2000,0
161,553,0
162,57,0
163,233,0
164,1741,0
165,1855,0
166,869,0
167,3257,0
168,1641,0
169,1688,0
170,3306,0
171,579,0
172,858,0
173,2267,0
174,1350,0
175,79,0
176,2254,0
177,3389,0
178,2332,0
179,1548,0
180,1833,0
181,3016,0
182,937,0
183,631,0
184,2858,0
185,539,0
186,2590,0
187,159,0
188,2777,0
189,3118,0
190,2599,0
191,947,0
192,3054,0
193,2059,0
194,2886,0
195,1681,0
196,149,0
197,221,0
198,2413,0
199,417,0
200,711,0
201,1513,0
202,893,0
203,3286,0
204,1863,0
205,52,0
206,245,0
207,1788,0
208,3393,0
209,1485,0
210,2214,0
211,766,0
212,2514,0
213,3173,0
214,3615,0
215,2433,0
216,1006,0
217,2168,0
218,1219,0
219,32,0
220,3685,0
221,1478,0
222,24,0
223,2299,0
224,1456,0
225,3395,0
226,3309,0
227,3327,0
228,652,0
229,1662,0
230,3007,0
231,1691,0
232,2708,0
233,2855,0
234,2984,0
235,279,0
236,2440,0
237,3420,0
238,2857,0
239,108,0
240,936,0
241,1336,0
242,3488,0
243,3146,0
244,1121,0
245,1140,0
246,2556,0
247,3720,0
248,1755,0
249,514,0
250,1354,0
251,314,0
252,915,0
253,879,0
254,2262,0
255,2237,0
256,3489,0
257,1524,0
258,1774,0
259,697,0
260,2870,0
261,2224,0
262,819,0
263,220,0
264,593,0
265,759,0
266,2927,0
267,1318,0
268,3126,0
269,2494,0
270,928,0
271,188,0
272,1499,0
273,649,0
274,100,0
275,1100,0
276,8,0
277,1971,0
278,1883,0
279,2896,0
280,371,0
281,2300,0
282,641,0
283,2339,0
284,2876,0
285,1281,0
286,144,0
287,14,0
288,1532,0
289,719,0
290,715,0
291,960,0
292,2397,0
293,1341,0
294,707,0
295,353,0
296,3138,0
297,1622,0
298,2908,0
299,3063,0
300,833,0
301,1357,0
302,2820,0
303,3546,0
304,3075,0
305,1637,0
306,698,0
307,2061,0
308,1723,0
309,2815,0
310,2647,0
311,3405,0
312,2543,0
313,1254,0
314,2675,0
315,1109,0
316,161,0
317,3363,0
318,656,0
319,3705,0
320,3707,0
321,2212,0
322,822,0
323,1023,0
324,1370,0
325,1634,0
326,2729,0
327,1818,0
328,1936,0
329,1758,0
330,1200,0
331,1559,0
332,230,0
333,2614,0
334,2220,0
335,195,0
336,257,0
337,1794,0
338,2182,0
339,2612,0
340,2808,0
341,2689,0
342,1131,0
343,533,0
344,2823,0
345,2559,0
346,1566,0
347,3333,0
348,2163,0
349,2824,0
350,3560,0
351,3028,0
352,2364,0
353,3143,0
354,186,0
355,1075,0
356,3608,0
357,2797,0
358,575,0
359,1577,0
360,2469,0
361,467,0
362,384,0
363,2076,0
364,1927,0
365,2778,0
366,841,0
367,913,0
368,1453,0
369,3355,0
370,2195,0
371,2883,0
372,3076,0
373,670,0
374,2853,0
375,1144,0
376,498,0
377,3637,0
378,1427,0
379,699,0
380,2920,0
381,1766,0
382,1187,0
383,3018,0
384,3314,0
385,1049,0
386,1571,0
387,2913,0
388,2763,0
389,914,0
390,1933,0
391,2308,0
392,1886,0
393,2703,0
394,736,0
395,3364,0
396,2158,0
397,2442,0
398,2192,0
399,298,0
400,2686,0
401,1227,0
402,201,0
403,3655,0
404,1542,0
405,2546,0
406,3717,0
407,2810,0
408,1403,0
409,667,0
410,2504,0
411,2080,0
412,1225,0
413,2992,0
414,599,0
415,3390,0
416,1162,0
417,844,0
418,3625,0
419,1704,0
420,3680,0
421,2083,0
422,3056,0
423,1381,0
424,3159,0
425,791,0
426,848,0
427,3588,0
428,1083,0
429,2578,0
430,2033,0
431,2923,0
432,1706,0
433,541,0
434,337,0
435,2064,0
436,760,0
437,4,0
438,1887,0
439,2136,0
440,1363,0
441,2134,0
442,252,0
