model,partition,n_objects,n_clusters,cluster_sizes,minimum_cluster_size,minimum_cluster_fraction,valid_minimum_cluster_size,global_activity_0_count,global_activity_1_count,global_activity_1_rate,adjusted_rand_index_with_activity,normalized_mutual_information_with_activity,cramers_v_corrected,weighted_purity,weighted_entropy_bits,chi_square,chi_square_p_value,chi_square_p_value_bh
mixed,mixed_classical_selected,3751,2,"[1058, 2693]",1058,0.2820581178352439,True,1717,2034,0.5422553985603839,-0.0010834941186737555,0.003382834756846081,0.06369927561106875,0.5422553985603839,0.9917075968852284,16.216257009796475,5.6507109160434286e-05,6.12160349238038e-05
mixed,mixed_balanced_selected,3751,4,"[1056, 951, 1267, 477]",477,0.1271660890429219,True,1717,2034,0.5422553985603839,0.007368923539312087,0.007591218104484144,0.12066148264404547,0.5681151692881898,0.9837631321124743,57.59777134452075,1.9155728656165133e-12,4.980489450602935e-12
mixed,mixed_balanced_k2,3751,2,"[1428, 2323]",1428,0.38069848040522525,True,1717,2034,0.5422553985603839,0.012924963389801059,0.007315687770078752,0.09822389064942588,0.5582511330311917,0.9876967882435357,37.18001169754852,1.0771219733891728e-09,1.5558428504510272e-09
mixed,mixed_balanced_k3,3751,3,"[1267, 1428, 1056]",1056,0.28152492668621704,True,1717,2034,0.5422553985603839,0.005471931576085675,0.005813120785823964,0.09908815048774067,0.5582511330311917,0.9873750172703979,38.8197615916312,3.7187405202452774e-09,4.3948751602898734e-09
mixed,mixed_balanced_k4,3751,4,"[951, 477, 1056, 1267]",477,0.1271660890429219,True,1717,2034,0.5422553985603839,0.007368923539312087,0.007591218104484144,0.12066148264404547,0.5681151692881898,0.9837631321124743,57.59777134452076,1.9155728656165065e-12,4.980489450602935e-12
binary,binary_selected,3751,4,"[492, 1267, 1056, 936]",492,0.13116502266062383,True,1717,2034,0.5422553985603839,0.00693633033532716,0.006755317218545959,0.11354207591202163,0.5646494268195148,0.9849700773186426,51.345057821228174,4.130244800457989e-11,7.670454629421981e-11
binary,binary_k2,3751,2,"[1428, 2323]",1428,0.38069848040522525,True,1717,2034,0.5422553985603839,0.012924963389801059,0.007315687770078752,0.09822389064942588,0.5582511330311917,0.9876967882435357,37.18001169754852,1.0771219733891728e-09,1.5558428504510272e-09
binary,binary_k3,3751,3,"[1428, 1056, 1267]",1056,0.28152492668621704,True,1717,2034,0.5422553985603839,0.005471931576085675,0.005813120785823964,0.09908815048774068,0.5582511330311917,0.9873750172703979,38.819761591631206,3.718740520245264e-09,4.3948751602898734e-09
binary,binary_k4,3751,4,"[936, 492, 1056, 1267]",492,0.13116502266062383,True,1717,2034,0.5422553985603839,0.00693633033532716,0.006755317218545959,0.11354207591202163,0.5646494268195148,0.9849700773186424,51.345057821228174,4.130244800457989e-11,7.670454629421981e-11
numeric,numeric_selected,3751,4,"[809, 970, 1053, 919]",809,0.21567581978139164,True,1717,2034,0.5422553985603839,0.02900051331939518,0.026899457172065773,0.23255810990917689,0.6059717408691015,0.9546491246153684,205.81306489477646,2.3390112491106145e-44,1.5203573119219215e-43
numeric,numeric_k2,3751,2,"[3748, 3]",3,0.0007997867235403892,False,1717,2034,0.5422553985603839,0.00011319500666451451,0.00020342932339146522,0.0,0.5425219941348973,0.9947397876156371,0.5279712104790146,0.4674610557241946,0.4674610557241946
numeric,numeric_k3,3751,3,"[1363, 1218, 1170]",1170,0.3119168221807518,True,1717,2034,0.5422553985603839,0.018764073795160194,0.01630951116850166,0.16902675933875091,0.5934417488669688,0.9738293166688657,109.13819586175462,1.9995942819970187e-24,8.664908555320414e-24
numeric,numeric_k4,3751,4,"[1053, 970, 919, 809]",809,0.21567581978139164,True,1717,2034,0.5422553985603839,0.02900051331939518,0.026899457172065773,0.23255810990917686,0.6059717408691015,0.9546491246153683,205.81306489477643,2.3390112491106484e-44,1.5203573119219215e-43
