model,partition,cluster,cluster_size,cluster_fraction,activity_0_count,activity_1_count,activity_0_within_cluster,activity_1_within_cluster,fraction_of_all_activity_0,fraction_of_all_activity_1,activity_0_enrichment,activity_1_enrichment,activity_1_difference_from_global,majority_activity,cluster_purity,cluster_entropy_bits,below_minimum_cluster_fraction
mixed,mixed_classical_selected,0,1058,0.2820581178352439,429,629,0.4054820415879017,0.5945179584120983,0.24985439720442632,0.30924287118977384,0.8858259394270351,1.096379971486618,0.05226255985171446,1,0.5945179584120983,0.974067191495521,False
mixed,mixed_classical_selected,1,2693,0.7179418821647561,1288,1405,0.47827701448199034,0.5217229855180097,0.7501456027955736,0.6907571288102261,1.0448556093896015,0.9621351615919638,-0.020532413042374187,1,0.5217229855180097,0.9986379900906908,False
mixed,mixed_balanced_selected,0,1056,0.28152492668621704,427,629,0.4043560606060606,0.5956439393939394,0.24868957483983692,0.30924287118977384,0.8833660939623375,1.0984564487053428,0.0533885408335556,1,0.5956439393939394,0.973441762365061,False
mixed,mixed_balanced_selected,1,951,0.2535323913623034,457,494,0.480546792849632,0.519453207150368,0.2661619103086779,0.24287118977384464,1.0498142224688234,0.9579493510427879,-0.022802191410015826,1,0.519453207150368,0.9989078140736354,False
mixed,mixed_balanced_selected,2,1267,0.3377765929085577,546,721,0.430939226519337,0.569060773480663,0.31799650553290626,0.3544739429695182,0.9414403253780042,1.0494331176627174,0.026805374920279124,1,0.569060773480663,0.9861943546460404,False
mixed,mixed_balanced_selected,3,477,0.1271660890429219,287,190,0.6016771488469602,0.39832285115303984,0.1671520093185789,0.09341199606686332,1.3144385470733535,0.7345668705383739,-0.143932547407344,0,0.6016771488469602,0.9699610670352756,False
mixed,mixed_balanced_k2,0,1428,0.38069848040522525,744,684,0.5210084033613446,0.4789915966386555,0.43331391962725685,0.336283185840708,1.1382076418220173,0.8833320938995068,-0.06326380192172837,0,0.5210084033613446,0.9987261494308297,False
mixed,mixed_balanced_k2,1,2323,0.6193015195947748,973,1350,0.418854928971158,0.581145071028842,0.5666860803727432,0.6637168141592921,0.9150406747645974,1.0717183684509275,0.0388896724684582,1,0.581145071028842,0.980916793505931,False
mixed,mixed_balanced_k3,0,1267,0.3377765929085577,546,721,0.430939226519337,0.569060773480663,0.31799650553290626,0.3544739429695182,0.9414403253780042,1.0494331176627174,0.026805374920279124,1,0.569060773480663,0.9861943546460404,False
mixed,mixed_balanced_k3,1,1428,0.38069848040522525,744,684,0.5210084033613446,0.4789915966386555,0.43331391962725685,0.336283185840708,1.1382076418220173,0.8833320938995068,-0.06326380192172837,0,0.5210084033613446,0.9987261494308297,False
mixed,mixed_balanced_k3,2,1056,0.28152492668621704,427,629,0.4043560606060606,0.5956439393939394,0.24868957483983692,0.30924287118977384,0.8833660939623375,1.0984564487053428,0.0533885408335556,1,0.5956439393939394,0.973441762365061,False
mixed,mixed_balanced_k4,0,951,0.2535323913623034,457,494,0.480546792849632,0.519453207150368,0.2661619103086779,0.24287118977384464,1.0498142224688234,0.9579493510427879,-0.022802191410015826,1,0.519453207150368,0.9989078140736354,False
mixed,mixed_balanced_k4,1,477,0.1271660890429219,287,190,0.6016771488469602,0.39832285115303984,0.1671520093185789,0.09341199606686332,1.3144385470733535,0.7345668705383739,-0.143932547407344,0,0.6016771488469602,0.9699610670352756,False
mixed,mixed_balanced_k4,2,1056,0.28152492668621704,427,629,0.4043560606060606,0.5956439393939394,0.24868957483983692,0.30924287118977384,0.8833660939623375,1.0984564487053428,0.0533885408335556,1,0.5956439393939394,0.973441762365061,False
mixed,mixed_balanced_k4,3,1267,0.3377765929085577,546,721,0.430939226519337,0.569060773480663,0.31799650553290626,0.3544739429695182,0.9414403253780042,1.0494331176627174,0.026805374920279124,1,0.569060773480663,0.9861943546460404,False
binary,binary_selected,0,492,0.13116502266062383,288,204,0.5853658536585366,0.4146341463414634,0.16773442050087362,0.10029498525073746,1.2788044945097092,0.7646473367388541,-0.12762125221892046,0,0.5853658536585366,0.9788698505067783,False
