row_index,binary_selected,binary_k2,binary_k3,binary_k4,binary_k2_aligned_to_mixed,binary_k4_aligned_to_mixed,mixed_classical_selected,mixed_balanced_selected,mixed_balanced_k2,mixed_balanced_k4,Activity
0,3,0,0,0,0,0,1,1,0,0,1
1,2,1,1,2,1,2,0,0,1,2,1
2,3,0,0,0,0,0,1,1,0,0,1
3,3,0,0,0,0,0,1,1,0,0,1
4,0,0,0,1,0,1,1,3,0,1,0
5,2,1,1,2,1,2,0,0,1,2,0
6,2,1,1,2,1,2,0,0,1,2,1
7,2,1,1,2,1,2,0,0,1,2,1
8,3,0,0,0,0,0,1,1,0,0,1
9,1,1,2,3,1,3,1,2,1,3,0
10,0,0,0,1,0,1,1,3,0,1,1
11,1,1,2,3,1,3,1,2,1,3,0
12,2,1,1,2,1,2,0,0,1,2,1
13,1,1,2,3,1,3,1,2,1,3,1
14,0,0,0,1,0,1,1,3,0,1,1
15,3,0,0,0,0,0,1,1,0,0,1
16,1,1,2,3,1,3,1,2,1,3,1
17,3,0,0,0,0,0,1,1,0,0,1
18,0,0,0,1,0,1,1,3,0,1,1
19,1,1,2,3,1,3,1,2,1,3,0
20,2,1,1,2,1,2,0,0,1,2,0
21,1,1,2,3,1,3,1,2,1,3,1
22,1,1,2,3,1,3,1,2,1,3,0
23,3,0,0,0,0,0,1,1,0,0,0
24,3,0,0,0,0,0,1,1,0,0,0
25,3,0,0,0,0,0,1,1,0,0,1
26,3,0,0,0,0,0,1,1,0,0,1
27,2,1,1,2,1,2,0,0,1,2,0
28,2,1,1,2,1,2,0,0,1,2,1
29,1,1,2,3,1,3,1,2,1,3,1
30,1,1,2,3,1,3,1,2,1,3,0
31,1,1,2,3,1,3,1,2,1,3,0
32,0,0,0,1,0,1,1,3,0,1,0
33,2,1,1,2,1,2,0,0,1,2,1
34,3,0,0,0,0,0,1,1,0,0,1
35,1,1,2,3,1,3,1,2,1,3,1
36,2,1,1,2,1,2,0,0,1,2,1
37,2,1,1,2,1,2,0,0,1,2,0
38,0,0,0,1,0,1,1,3,0,1,1
39,1,1,2,3,1,3,1,2,1,3,1
