min_samples,eps,n_clusters,noise_fraction,non_noise_count,minimum_cluster_size,maximum_cluster_size,overall_silhouette_non_noise,minimum_cluster_mean_silhouette_non_noise,admissible,activity_nmi_non_noise,activity_ari_non_noise,activity_chi_square_p_value_non_noise,activity_cramers_v_non_noise
5,0.28744244436433103,16,0.11276992801919489,3328,4,3202,-0.032654103093336,-0.0504668640841298,False,0.017328554278471027,0.0008316928311856816,0.00015521763305449107,0.11372194992142676
5,0.303614305287525,15,0.07677952545987736,3463,3,3374,-0.02456957242954452,-0.03733284182084533,False,0.02211211320848328,0.0003384328072562948,4.613485789049287e-06,0.12102835822038455
5,0.3261990510160733,6,0.04398826979472141,3586,4,3536,0.009395508682923716,0.0029522481000991744,False,0.009830647220543332,-8.943673066940785e-05,0.00036116612960719477,0.07981856321236214
5,0.3411199598041859,1,0.031724873367102106,3632,3632,3632,,,False,,,,
5,0.35488340801601204,1,0.026392961876832845,3652,3652,3652,,,False,,,,
5,0.3811819990120776,1,0.015195947747267395,3694,3694,3694,,,False,,,,
5,0.4320275631217389,1,0.003732338043188483,3737,3737,3737,,,False,,,,
10,0.32443059598243507,2,0.08211143695014662,3443,10,3433,0.38391087705656785,0.38321811143889334,False,0.00037083328982222264,-0.0003670888328116143,0.5390868282981778,0.010467365505295863
10,0.3430939764652247,3,0.04905358571047721,3567,10,3543,0.18077483394801863,0.17799120131796523,False,0.004106718477072949,0.0005601938975797026,0.007483670801519784,0.05238913218422458
10,0.3636610679655932,2,0.03039189549453479,3637,18,3619,0.3925834354980716,0.3916604427051533,False,9.818484255235564e-07,-2.8688771751413274e-05,1.0,0.0
10,0.38033927795789213,1,0.023727006131698213,3662,3662,3662,,,False,,,,
10,0.3944729964209739,1,0.016795521194348174,3688,3688,3688,,,False,,,,
10,0.41950733357359316,1,0.007198080511863503,3724,3724,3724,,,False,,,,
10,0.48039723104163246,1,0.0021327645961077045,3743,3743,3743,,,False,,,,
20,0.35936721272934763,1,0.06051719541455612,3524,3524,3524,,,False,,,,
20,0.37624296086346265,1,0.04052252732604639,3599,3599,3599,,,False,,,,
20,0.3991522559509909,1,0.024793388429752067,3658,3658,3658,,,False,,,,
20,0.4174134727337944,1,0.01652892561983471,3689,3689,3689,,,False,,,,
20,0.43520104174617535,1,0.008797653958944282,3718,3718,3718,,,False,,,,
20,0.45834474795383245,1,0.003732338043188483,3737,3737,3737,,,False,,,,
20,0.5281929281537605,1,0.0010663822980538523,3747,3747,3747,,,False,,,,
30,0.376994663471951,1,0.04772060783790989,3572,3572,3572,,,False,,,,
30,0.39458674412374084,1,0.0325246600906425,3629,3629,3629,,,False,,,,
30,0.4194803345624879,1,0.01999466808850973,3676,3676,3676,,,False,,,,
30,0.43794994902713924,1,0.01466275659824047,3696,3696,3696,,,False,,,,
30,0.45366249956700566,1,0.011197014129565449,3709,3709,3709,,,False,,,,
30,0.48052910119797765,1,0.00346574246867502,3738,3738,3738,,,False,,,,
30,0.5687740736526605,1,0.0007997867235403892,3748,3748,3748,,,False,,,,
