component,explained_variance_ratio,cumulative_explained_variance
1,0.015486688725368472,0.015486688725368472
2,0.11286993144744564,0.12835662017281413
3,0.09993635947825989,0.22829297965107404
4,0.06619904865022336,0.2944920283012974
5,0.04789074773719426,0.34238277603849165
6,0.046024845670599175,0.3884076217090908
7,0.033011372498093494,0.4214189942071843
8,0.030372343513794933,0.45179133772097924
9,0.028611040669383074,0.4804023783903623
10,0.026887607341783522,0.5072899857321458
11,0.024364257544967485,0.5316542432771133
12,0.021170977213779224,0.5528252204908926
13,0.01910472026864055,0.5719299407595331
14,0.018007974178682412,0.5899379149382155
15,0.01567555331453384,0.6056134682527493
16,0.015150880825770006,0.6207643490785193
17,0.012967470971189747,0.6337318200497091
18,0.012704401918261709,0.6464362219679708
19,0.010724173620148176,0.657160395588119
20,0.00999973808429042,0.6671601336724094
21,0.009307327899929111,0.6764674615723386
22,0.00894287360045655,0.6854103351727951
23,0.00783333856025903,0.6932436737330542
24,0.00780966852743946,0.7010533422604937
25,0.007609882175442425,0.7086632244359361
26,0.0072060801313782894,0.7158693045673143
27,0.006730196560692853,0.7225995011280072
28,0.006540388245405611,0.7291398893734128
29,0.006143337622404924,0.7352832269958177
30,0.005866451180969583,0.7411496781767873
31,0.005702108340746808,0.7468517865175341
32,0.0053286161661168585,0.752180402683651
33,0.005093149435573669,0.7572735521192248
34,0.0048714511176434425,0.7621450032368682
35,0.004716865746426441,0.7668618689832947
36,0.004529601620347555,0.7713914706036422
37,0.004396673437507721,0.7757881440411499
38,0.004327607890234744,0.7801157519313847
39,0.004003338317693066,0.7841190902490778
40,0.003875853296633912,0.7879949435457116
41,0.003755947216888109,0.7917508907625997
42,0.003688049206142473,0.7954389399687423
43,0.0036615303380146606,0.7991004703067569
44,0.003616621780054402,0.8027170920868113
45,0.003387801512447959,0.8061048935992593
46,0.003288034281407793,0.8093929278806671
47,0.00324150026610879,0.8126344281467759
48,0.003127456202338901,0.8157618843491148
49,0.0030108022230937795,0.8187726865722086
50,0.0029184912212905866,0.8216911777934992
