feature_cluster,n_features,mean_standardized_difference,median_standardized_difference,mean_absolute_standardized_difference,maximum_absolute_standardized_difference,mean_zero_fraction_difference,top_separating_feature,top_feature_standardized_difference,absolute_mean_standardized_difference
6,541,1.9656616161205245,2.0633504454416856,2.0780443230247347,4.472226624396804,-0.3117757516709172,D76,4.472226624396804,1.9656616161205245
5,26,0.7243950698697451,0.7303882232705405,0.9492886900763055,2.872522607325364,-0.20837423096691465,D932,2.872522607325364,0.7243950698697451
4,24,0.6549137577213885,0.43564453328671254,0.6868223036631788,2.559391757043818,-0.11886268097859419,D542,2.559391757043818,0.6549137577213885
7,3,0.4188109172772008,0.6264788470217294,0.5557970765967299,0.8354331437891668,-0.02709309456946279,D599,0.8354331437891668,0.4188109172772008
9,10,0.2774758285087192,0.2669017859566699,0.3065946808833413,0.9163670772775062,-0.028306405357289198,D920,0.9163670772775062,0.2774758285087192
1,3,-0.11155446342183202,-0.09933505307723628,0.11155446342183202,0.17177323290177496,0.017365999488505035,D387,-0.17177323290177496,0.11155446342183202
10,10,-0.10566538105106471,-0.0985289469282273,0.10566538105106471,0.1748596824488135,0.01745513866231648,D220,-0.1748596824488135,0.10566538105106471
11,1,-0.10340291470229744,-0.10340291470229744,0.10340291470229744,0.10340291470229744,0.011963023382272953,D236,-0.10340291470229744,0.10340291470229744
12,1,-0.10308415268395607,-0.10308415268395607,0.10308415268395607,0.10308415268395607,0.01359434475258292,D594,-0.10308415268395607,0.10308415268395607
2,66,0.053026471599928175,0.01758173699615794,0.16268111701252866,0.6727320057226973,0.00346178945142048,D907,0.6727320057226973,0.053026471599928175
3,3,-0.043582895238939545,0.022956286919811004,0.18654342796214088,0.34518948480162065,0.009329817426087716,D101,-0.34518948480162065,0.043582895238939545
8,7,-0.014187654159031143,-0.0389910476909887,0.13256440541534922,0.35742575003294186,0.01361030680121606,D233,0.35742575003294186,0.014187654159031143
