feature,cluster_0_mean,cluster_1_mean,cluster_0_median,cluster_1_median,mean_difference_1_minus_0,median_difference_1_minus_0,cohen_d_1_minus_0,mann_whitney_u,mann_whitney_p_value,rank_biserial_1_minus_0,standardized_mean_cluster_0,standardized_mean_cluster_1,standardized_mean_difference_1_minus_0,zero_fraction_cluster_0,zero_fraction_cluster_1,zero_fraction_difference_1_minus_0,feature_cluster,PC1_loading,PC2_loading,mann_whitney_p_fdr_bh,significant_fdr_0.05,absolute_standardized_mean_difference,absolute_rank_biserial
D76,0.06441223003289831,0.39241061858904114,0.06,0.354438133,0.32799838855614283,0.294438133,5.685882012293572,267794.0,2.5528902845222486e-48,0.9947857307798311,-0.08703613531883943,4.3851904890779645,4.472226624396804,0.13811854268624252,0.0,-0.13811854268624252,6,0.0768440181501795,-0.0265322964480499,8.827157948969964e-48,True,4.472226624396804,0.9947857307798311
D453,0.007062275693311582,0.25685410958904104,0.0,0.1875,0.24979183389572945,0.1875,5.4226370752405515,240847.5,1.209570383815645e-117,0.7940624371494336,-0.08447755367643109,4.2562800331769,4.340757586853331,0.921152800435019,0.1780821917808219,-0.7430706086541972,6,0.0618278099667487,-0.0318314926958059,1.184016079932216e-116,True,4.340757586853331,0.7940624371494336
D1,0.07028230920853724,0.4127853881232877,0.0667,0.4,0.34250307891475046,0.33330000000000004,5.31018149018793,267094.0,2.3604491090941625e-49,0.9895714615596625,-0.08334294236366906,4.199114274158556,4.282457216522225,0.18189233278955955,0.0,-0.18189233278955955,6,0.0750366034481849,-0.0366135311716897,8.327472745281436e-49,True,4.282457216522225,0.9895714615596625
D548,0.005663793731647635,0.28995388126027394,0.0,0.25,0.2842900875286263,0.25,5.300160074056073,212773.0,1.237383990203969e-123,0.5849367211185352,-0.08324060021892649,4.193957912400158,4.277198512619084,0.9651984774333877,0.3972602739726027,-0.5679382034607849,6,0.0606327193920556,0.01513817613703,1.3650505923678704e-122,True,4.277198512619084,0.5849367211185352
D315,0.0029567699836867863,0.1969178082191781,0.0,0.125,0.1939610382354913,0.125,5.109327179134381,220624.0,8.193733365920893e-179,0.6434184749007426,-0.08125271247689522,4.0938010478085,4.175053760285396,0.9744426318651441,0.3424657534246575,-0.6319768784404867,6,0.0451372625547881,-0.000864411850886,2.0338016747553645e-177,True,4.175053760285396,0.6434184749007426
D24,0.04071506253398586,0.613013698630137,0.0,0.75,0.5722986360961512,0.75,5.065935156243301,256653.5,3.963863335281221e-99,0.9118006361408448,-0.0807902367178634,4.07049987189454,4.151290108612404,0.858346927678086,0.0547945205479452,-0.8035524071301408,6,0.0561032966454911,0.0148668994043926,2.8111071612453557e-98,True,4.151290108612404,0.9118006361408448
D928,0.007840284143012508,0.17025422916438357,0.0,0.126984127,0.16241394502137108,0.126984127,5.047167807489467,261845.0,1.7460310442584122e-93,0.9504718913644252,-0.08058899824187729,4.060360760734586,4.140949758976463,0.8295269168026101,0.0136986301369863,-0.8158282866656239,6,0.0710131616435113,-0.0062524541539964,1.155706262628187e-92,True,4.140949758976463,0.9504718913644252
D314,0.008277445463839043,0.29680365283561644,0.0,0.333333333,0.2885262073717774,0.333333333,4.9888830666977695,225055.5,4.453267209334169e-139,0.6764285235424254,-0.07995932340879908,4.028635499966618,4.108594823375417,0.9578575312669929,0.3013698630136986,-0.6564876682532943,6,0.0470160976417972,-0.0047079040966089,6.068668059778917e-138,True,4.108594823375417,0.6764285235424254
D449,0.02302542142468733,0.3801369863013699,0.0,0.375,0.35711156487668255,0.375,4.9234026446482035,235271.0,3.204867572797627e-66,0.7525233338547603,-0.07924338036125396,3.9925637392971507,4.071807119658405,0.8504622077215879,0.2054794520547945,-0.6449827556667933,6,0.0585245968249523,-0.0247617765045381,1.4558058582316016e-65,True,4.071807119658405,0.7525233338547603
D342,0.0033985861881457315,0.23116438356164384,0.0,0.125,0.2277657973734981,0.125,4.880245935413907,208097.0,1.0307445050524406e-181,0.5501054027278076,-0.07876654992703316,3.9685393237209308,4.047305873647964,0.9836867862969005,0.4383561643835616,-0.5453306219133389,6,0.0626617701692907,0.0450864159477375,2.755259350044024e-180,True,4.047305873647964,0.5501054027278076
D456,0.0014160103874388257,0.13793481342465752,0.0,0.069,0.1365188030372187,0.069,4.849263215466097,213682.0,4.53161039163687e-195,0.5917078221487257,-0.0784217802486243,3.9511685993758916,4.029590379624516,0.9823273518216422,0.3972602739726027,-0.5850670778490394,6,0.0619011857469864,-0.0275753788622274,1.8526289542280144e-193,True,4.029590379624516,0.5917078221487257
D589,0.001454930749048396,0.13657630946575344,0.0,0.0882,0.13512137871670504,0.0882,4.811728545818418,222491.5,2.685280829513689e-185,0.6573294002845502,-0.0780013499557233,3.92998582379658,4.007987173752303,0.9744426318651441,0.3287671232876712,-0.6456755085774729,6,0.060055849693531,0.0243954729768554,8.887000840533399e-184,True,4.007987173752303,0.6573294002845502
D447,0.010666929486677542,0.2461178082054795,0.0,0.166666667,0.23545087871880194,0.166666667,4.793677784135692,247350.0,1.1212377570888955e-92,0.8424992737267871,-0.07779808415747794,3.919744568920602,3.9975426530780798,0.8741163675910821,0.1095890410958904,-0.7645273264951917,6,0.0659141318921157,-0.0206781865940202,7.215372603488726e-92,True,3.9975426530780798,0.8424992737267871
