component,component_number,cluster_0_mean,cluster_1_mean,cluster_0_median,cluster_1_median,mean_difference_1_minus_0,median_difference_1_minus_0,cohen_d_1_minus_0,mann_whitney_u,mann_whitney_p_value,rank_biserial_1_minus_0,mann_whitney_p_fdr_bh,significant_fdr_0.05,absolute_cohen_d
PC1,1,-1.04062606248824,52.43044736755819,-2.56669529389589,41.62723297684611,53.47107343004643,44.193928270742,7.122215383953128,268452.0,1.4007770026380984e-48,0.9996871438467898,2.1852121241154336e-46,True,7.122215383953128
PC5,5,0.12352622902823825,-6.223691374874796,-0.4953181827853358,-3.222137270621795,-6.347217603903034,-2.726819087836459,-1.3864200324472635,81822.0,1.0545417222159742e-08,-0.3905115198104986,8.225425433284599e-07,True,1.3864200324472635
PC4,4,-0.13849798271472138,6.978021649654039,-0.5426985409684935,7.39317634182029,7.11651963236876,7.9358748827887835,1.3702039869746652,181492.0,2.5179750893125886e-07,0.3519259275812494,1.309347046442546e-05,True,1.3702039869746652
PC34,34,-0.036171013635139984,1.8224244952060882,-0.00461584375572125,2.421019889349261,1.8585955088412283,2.4256357331049823,0.984426786033136,169004.0,0.00014860208830675545,0.2589033646934382,0.0025757695306504276,True,0.984426786033136
PC30,30,0.036956065978163026,-1.8619782283244422,-0.01934948038796985,-1.6517461122329729,-1.898934294302605,-1.632396631845003,-0.9577547494270929,94040.0,1.1428324504070543e-05,-0.29950017505046667,0.0004457046556587512,True,0.9577547494270929
PC17,17,-0.0419305063068796,2.1126082492699063,-0.16010965583373454,2.1414901432690088,2.154538755576786,2.3015997991027435,0.8483412533230538,162701.0,0.0018997563655519449,0.21195259484383255,0.021168713787578813,True,0.8483412533230538
PC10,10,0.04939691160009897,-2.4887923406186774,-0.27231289736617675,-2.8396957775106264,-2.5381892522187766,-2.5673828801444496,-0.7781573255126509,102877.0,0.0006176795051731118,-0.2336737506238501,0.007412154062077341,True,0.7781573255126509
PC73,73,-0.01819384790127085,0.91667085727225,-0.0110516561092464,1.1842412700258909,0.9348647051735208,1.1952929261351373,0.7186241676331887,166603.0,0.0004134535928074508,0.24101842126825934,0.00537489670649686,True,0.7186241676331887
PC3,3,0.07085497072398336,-3.5699257852439796,-0.35440106155687706,-8.317395393023313,-3.640780755967963,-7.962994331466436,-0.6527966583620513,99756.0,0.00016697470259291876,-0.25692194238977406,0.002604805360449533,True,0.6527966583620513
PC42,42,0.02195807667227974,-1.1063261095978765,-0.0317524953568483,-2.014488225136052,-1.1282841862701563,-1.9827357297792039,-0.6513929701590897,99161.0,0.00012850737995672603,-0.26135407122691756,0.002505893909156158,True,0.6513929701590897
PC16,16,0.03391771222634916,-1.708895144774142,0.02070584010369915,-1.7772409880596989,-1.7428128570004913,-1.7979468281633981,-0.6481532756696137,95204.0,2.033534487182295e-05,-0.29082959023292887,0.0006344627600008762,True,0.6481532756696137
PC36,36,0.01922760949928849,-0.968755448470998,0.0613983081906068,-1.7092876057225486,-0.9879830579702865,-1.7706859139131554,-0.5283772287733864,114738.0,0.03323798608179451,-0.14532168316610428,0.17283752762533144,False,0.5283772287733864
PC71,71,-0.013686908352075167,0.6895951906703108,-0.0091276100287546,0.1163963174199036,0.703282099022386,0.1255239274486582,0.5277531212968096,147155.0,0.15890898907712236,0.09615112441991247,0.4274103844143291,False,0.5277531212968096
PC57,57,-0.014471734464686895,0.7291375254947688,0.03280531574565935,1.5548536922940066,0.7436092599594557,1.5220483765483472,0.49582067950528125,170391.0,7.987529238374363e-05,0.2692350667054013,0.001923063371505119,True,0.49582067950528125
PC53,53,-0.01499702394358207,0.7556034803355388,0.0615826191271261,0.3426493804883952,0.7706005042791209,0.2810667613612691,0.49486175164271384,143306.0,0.32282813708022795,0.06748009266501298,0.540112652025264,False,0.49486175164271384
PC84,84,0.01134673846819142,-0.5716890970686123,-0.02418331045654295,-0.3433576490151701,-0.5830358355368037,-0.31917433855862715,-0.48044580677108967,123373.0,0.23532405326814565,-0.0809999478573078,0.4882865695866343,False,0.48044580677108967
PC24,24,-0.019734715346723393,0.9943052471951888,0.1215151035358083,0.0899655958152055,1.014039962541912,-0.031549507720602804,0.4523807676313935,137829.0,0.6958770083921324,0.026682160495206553,0.8350524100705589,False,0.4523807676313935
PC76,76,-0.01106271528827537,0.5573789976750181,0.026278829415729,0.702663316817049,0.5684417129632935,0.67638448740132,0.44546086067701884,152172.0,0.05042796240264205,0.1335225368164652,0.23137535690624,False,0.44546086067701884
PC60,60,0.01210357121259939,-0.6098210263005541,-0.021033361341411,-0.816704100162032,-0.6219245975131535,-0.795670738820621,-0.4263074921257108,118976.0,0.09558343536972294,-0.1137530075159966,0.3313559092817062,False,0.4263074921257108
PC48,48,0.01347361431531838,-0.6788486774211077,-0.035058051583627,-0.9005532042385096,-0.692322291736426,-0.8654951526548826,-0.4236649544598846,121137.0,0.15248838173179788,-0.09765581353773267,0.4219803415433001,False,0.4236649544598846
PC18,18,-0.020459530163035342,1.0308239991732089,0.08759585891849475,0.0212960331462219,1.0512835293362441,-0.06629982577227285,0.4129354145667638,135351.0,0.9041360330615571,0.008223647455809058,0.9403292568638577,False,0.4129354145667638
PC22,22,-0.018667310751739465,0.9405256019849076,-0.1027263382115538,0.1779803233842072,0.9591929127366471,0.28070666159576096,0.40937830802783526,142291.0,0.3800068396818206,0.05991940229576831,0.5921207858224823,False,0.40937830802783526
PC25,25,-0.016596619493175157,0.836196801313664,-0.00500948721116875,2.668204368613563,0.8527934208068392,2.6732138558247316,0.3957802878916141,170221.0,8.629130513163996e-05,0.2679687441805032,0.001923063371505119,True,0.3957802878916141
PC59,59,-0.011190313186603372,0.5638078342510556,-0.0243269740924986,0.9660347128710476,0.574998147437659,0.9903616869635462,0.38991673370540697,161840.0,0.0025995981269946312,0.20553904370302511,0.025346081738197655,True,0.38991673370540697
PC40,40,0.012530874403388717,-0.631350082954298,-0.03539642729138235,-1.7266879299744546,-0.6438809573576867,-1.6912915026830724,-0.36097624239036036,100628.0,0.00024331982078165172,-0.2504264527326495,0.00345071745835797,True,0.36097624239036036
PC109,109,0.007204163428335827,-0.3629714121838238,-0.0035085798841126,-0.4784711573533931,-0.37017557561215964,-0.4749625774692805,-0.35337639874215043,107740.0,0.003816147383778697,-0.1974494774557346,0.03298212388170151,True,0.35337639874215043
PC21,21,-0.016480776740033246,0.8303602308197583,-0.16909995937424205,1.5465036651575403,0.8468410075597915,1.7156036245317825,0.3522962327352131,147536.0,0.14696554345289678,0.09898917666689022,0.4219803415433001,False,0.3522962327352131
PC23,23,0.015265499564957485,-0.7691302383549834,-0.1630471787455555,-1.5027746162278235,-0.7843957379199409,-1.339727437482268,-0.34711705523462416,113682.0,0.024803417592182155,-0.15318778073253037,0.161222214349184,False,0.34711705523462416
PC106,106,0.007137603087411109,-0.3596178651438078,0.02529429569009145,-0.2578828737935068,-0.3667554682312189,-0.2831771694835982,-0.3443653431008958,120038.0,0.12096301322333493,-0.10584221621339773,0.3774046012568049,False,0.3443653431008958
PC32,32,-0.01262103086338946,0.6358924865143235,-0.0477012157014154,0.6219747272270036,0.648513517377713,0.669675942928419,0.33209066506177864,152537.0,0.04591731018260855,0.13624140576698185,0.21706364813596768,False,0.33209066506177864
PC15,15,-0.017580122187205262,0.8857491699252172,-0.0748391733611705,-1.123065708406699,0.9033292921124225,-1.0482265350455287,0.32943781774970216,118409.0,0.08389209088526346,-0.11797656558433334,0.31919917507563655,False,0.32943781774970216
PC8,8,0.023814047777376376,-1.1998365441806815,-0.19443841615863305,-1.822723801991425,-1.2236505919580578,-1.628285385832792,-0.318321155006918,122157.0,0.18701128719446425,-0.09005787838834389,0.4705445290699423,False,0.318321155006918
PC117,117,-0.00612046855602467,0.3083710047816261,-0.02426878420564945,0.0775831418204327,0.31449147333765076,0.10185192602608215,0.31291720054225525,147776.0,0.13980231866182846,0.10077692611380518,0.4114936171933064,False,0.31291720054225525
PC126,126,0.0057791779066756,-0.291175566311685,0.0090374458054116,-0.5297510514721847,-0.2969547442183606,-0.5387884972775963,-0.3117458117886828,118396.0,0.08363826150215235,-0.11807340201270788,0.31919917507563655,False,0.3117458117886828
PC127,127,0.005699324780121726,-0.28715228138750243,-0.0258142986146856,-0.5143373762831198,-0.2928516061676242,-0.4885230776684342,-0.30802892235274054,114662.0,0.03255803329805359,-0.145887803824294,0.17283752762533144,False,0.30802892235274054
PC61,61,-0.008645488117171793,0.43559048349257423,0.008937082163517001,0.6742724608933135,0.44423597160974604,0.6653353787297965,0.30559475612250425,154384.0,0.02796778746254438,0.14999962755219864,0.16159166089470087,False,0.30559475612250425
PC27,27,0.01254465175769855,-0.6320442351344431,-0.0587696690062646,-0.3283147238738715,-0.6445888868921417,-0.26954505486760694,-0.3025757708303776,131998.0,0.806142245202621,-0.016752702108799422,0.880257635872311,False,0.3025757708303776
PC95,95,0.006482824192403655,-0.32662777232411855,-0.03134283966569955,0.3391595530581542,-0.3331105965165222,0.37050239272385377,-0.2926188195735113,140065.0,0.5254717243433293,0.04333802617563154,0.7280564803593732,False,0.2926188195735113
PC26,26,0.012024186255231032,-0.6058213294073955,-0.00526023044353055,-0.5448340956817881,-0.6178455156626266,-0.5395738652382576,-0.2872438927056463,123350.0,0.23433507923603503,-0.08117127384597045,0.4882865695866343,False,0.2872438927056463
PC44,44,0.009451210576719963,-0.4761856507010409,-0.0106950826437908,-0.3615803012333621,-0.48563686127776085,-0.3508852185895713,-0.28664772575700387,119824.0,0.11546421162581105,-0.1074362928035636,0.3752586877838859,False,0.28664772575700387
PC115,115,0.005615938504657933,-0.28295098383742745,-0.027263582049924698,-0.1626033208360072,-0.28856692234208536,-0.13533973878608252,-0.28411728210812437,125821.0,0.35779440589093114,-0.06276490349877462,0.5754219311235593,False,0.28411728210812437
PC87,87,-0.006570904185722084,0.33106555609706295,-0.0158528804131212,0.420146301111964,0.33763646028278504,0.4359991815250852,0.2821987676126679,155627.0,0.01962708624670937,0.1592586798960125,0.13312284584724615,False,0.2821987676126679
PC63,63,0.0077419867381182976,-0.39006886606574226,0.009269146234045,-0.2988192449028273,-0.3978108528038606,-0.3080883911368723,-0.27923455377076817,123482.0,0.24005109895971366,-0.0801880116501672,0.4882865695866343,False,0.27923455377076817
PC88,88,-0.006224845801627407,0.3136299021696693,0.00744586366250485,0.2950516982198686,0.3198547479712967,0.28760583455736377,0.2683917874115977,144112.0,0.28164502484796106,0.07348395122423601,0.5230550461462135,False,0.2683917874115977
PC121,121,-0.0051032290560784985,0.25711885572954807,-0.0061486569468457,-0.010990536974297,0.2622220847856266,-0.0048418800274513,0.26825695878706296,141638.0,0.4198889252119201,0.055055234008953624,0.6298333878178802,False,0.26825695878706296
