row_index,kmeans_cluster,Activity,zero_count,zero_fraction,nonzero_count,nonzero_fraction,positive_count,positive_fraction,raw_sum,raw_mean,raw_max,positive_mean,l1_norm_raw,l2_norm_raw,l1_norm_standardized,l2_norm_standardized,distance_to_global_centroid_pca,distance_to_own_centroid_pca,PC1,PC2
0,0,1,567,0.8158273381294964,128,0.1841726618705036,128,0.1841726618705036,38.46666144400001,0.05534771430791369,1.0,0.3005207925312501,38.46666144400001,4.550073335016843,228.98208384517872,13.912449235802889,11.854447916738682,11.578785033418823,-3.903555911982605,3.2958277275603716
1,0,1,430,0.6187050359712231,265,0.381294964028777,265,0.381294964028777,67.645474912,0.09733161857841727,1.0,0.25526594306415096,67.645474912,5.548953967672796,540.8459966653764,35.239957984649386,33.990170348436095,34.44395766798245,15.35944921020429,-10.390972094691296
2,0,1,553,0.7956834532374101,142,0.20431654676258992,142,0.20431654676258992,36.820578057999995,0.05297924900431654,1.0,0.2592998454788732,36.820578057999995,4.4576016406264936,196.04512495478025,9.763572867697679,9.200039762529293,8.650201820173757,-5.4913805798904045,0.1915143457056284
3,0,1,605,0.8705035971223022,90,0.12949640287769784,90,0.12949640287769784,29.540312405000012,0.0425040466258993,1.0,0.328225693388889,29.540312405000012,4.151132752026518,272.9773081230911,19.98696232013111,18.428073592433805,18.085625548864353,-7.27956549470701,-0.2440863954087485
4,0,0,579,0.8330935251798561,116,0.1669064748201439,116,0.1669064748201439,35.01036098400001,0.05037462012086332,1.0,0.30181345675862076,35.01036098400001,4.439895996468729,262.64329037848864,16.009214373815908,13.863865136242259,13.611161018071904,-4.31423259632281,-4.674755639717354
5,0,0,427,0.6143884892086331,268,0.3856115107913669,268,0.3856115107913669,64.72711889400001,0.09313254517122305,1.0,0.24151910035074634,64.72711889400001,5.345909869566191,467.0599262592789,34.50038032587577,32.36764142062282,32.56694814762083,6.708492353741819,8.112881706505286
6,0,1,525,0.7553956834532374,170,0.2446043165467626,170,0.2446043165467626,47.103707398000005,0.06777511855827338,1.0,0.2770806317529412,47.103707398000005,5.023691058433932,242.5933272737114,14.946878875722188,13.58460970997152,13.509909724797954,-1.2694033590179212,4.0503659502476985
7,0,1,465,0.6690647482014388,230,0.33093525179856115,230,0.33093525179856115,56.469942005,0.08125171511510791,1.0,0.24552148697826087,56.469942005,5.236038585639779,305.02112802672355,20.530575482093983,17.909464120249496,18.055204293234947,3.023042457639701,2.589726927681271
8,0,1,577,0.8302158273381295,118,0.1697841726618705,118,0.1697841726618705,32.461761583,0.04670757062302158,1.0,0.27509967443220334,32.461761583,4.141261600167271,259.65933629716415,15.365957456381825,14.151255435155834,13.801022301969086,-5.591462759426987,-3.3930829997870084
9,0,0,538,0.7741007194244605,157,0.22589928057553957,157,0.22589928057553957,40.201339679,0.05784365421438849,1.0,0.2560594884012739,40.201339679,4.5854689508135635,268.2756182891554,18.889190088895045,16.846339946131277,16.6425904784543,-3.6725457883775583,0.2044353708610493
10,0,1,589,0.8474820143884892,106,0.15251798561151078,106,0.15251798561151078,32.67246729400001,0.04701074430791368,1.0,0.30823082352830194,32.67246729400001,4.320564378680127,273.6243854197063,17.231318307322308,16.429426851387817,16.07518478833573,-6.849038245119258,-2.327971478587607
11,0,0,482,0.6935251798561151,213,0.3064748201438849,213,0.3064748201438849,51.57628025199999,0.0742104751827338,1.0,0.2421421608075117,51.57628025199999,4.929653315774025,339.8147423240894,23.844700425208003,21.18431191401795,21.48624789037491,4.100315249752984,-1.5941827817723953
12,0,1,460,0.6618705035971223,235,0.3381294964028777,235,0.3381294964028777,58.64175388899997,0.08437662430071938,1.0,0.2495393782510637,58.64175388899997,5.216311331154144,463.60573937370776,36.091495023824926,32.48978861414877,32.65821005828385,6.272375591031555,0.2000554393075413
13,0,1,507,0.7294964028776978,188,0.27050359712230215,188,0.27050359712230215,49.35804717199997,0.07101877290935248,1.0,0.2625428041063828,49.35804717199997,5.025928599565987,291.21721586547426,21.96546979183184,19.04637028285521,19.04323794588917,-0.938618071462047,-0.9580025070148388
14,0,1,583,0.8388489208633093,112,0.16115107913669063,112,0.16115107913669063,30.25397101800001,0.04353089355107915,1.0,0.2701247412321429,30.25397101800001,4.1787296984652675,237.7047327002802,14.14564904762317,12.45191215051348,11.996794348825214,-6.425634808736785,-2.071105652134442
15,0,1,540,0.7769784172661871,155,0.22302158273381295,155,0.22302158273381295,38.32688750499998,0.05514660072661868,1.0,0.2472702419677418,38.32688750499998,4.431010561325054,281.1086750166923,18.469039215538615,15.72351528837343,15.520544497759778,-3.558533584951138,-2.0737666349461144
16,0,1,461,0.6633093525179856,234,0.3366906474820144,234,0.3366906474820144,59.759088389,0.08598429984028777,1.0,0.2553807196111111,59.759088389,5.35972463288391,565.0113217329438,51.123810714574795,47.74231095386517,47.840369689001,3.497523580997116,-10.815539376354431
17,0,1,570,0.8201438848920863,125,0.17985611510791366,125,0.17985611510791366,40.43420335800002,0.058178709867625925,1.0,0.32347362686400016,40.43420335800002,4.70643242543803,275.09695026499287,18.15959868870733,15.785434490586894,15.615448954147993,-3.369120251789445,6.498968121929089
18,0,1,615,0.8848920863309353,80,0.11510791366906475,80,0.11510791366906475,26.723717093000005,0.03845139150071943,1.0,0.33404646366250007,26.723717093000005,4.025928727488404,284.24383910283376,18.365961320130186,16.895048827372246,16.44797806664627,-8.545473317081072,-0.4092154399851371
19,0,0,526,0.7568345323741007,169,0.24316546762589927,169,0.24316546762589927,42.88933033999998,0.061711266676258966,1.0,0.25378301976331347,42.88933033999998,4.751482580443298,231.71445015680743,14.954660603181933,13.672733656646976,13.419958424697711,-3.760222696680096,-0.2464736527079559
20,0,0,410,0.5899280575539568,285,0.41007194244604317,285,0.41007194244604317,69.225757938,0.09960540710503597,1.0,0.2428973962736842,69.225757938,5.416208729928869,589.809381640839,41.19000826948486,38.78899645600553,39.11795400693432,13.486926707577796,16.143837284024748
21,0,1,517,0.7438848920863309,178,0.25611510791366904,178,0.25611510791366904,47.98983829000001,0.06905012703597123,1.0,0.26960583308988767,47.98983829000001,4.902467083731034,271.2817798594326,22.022097141351164,20.079190582145486,20.10492313527356,0.2431303033081833,-1.5689416133366476
22,0,0,486,0.6992805755395683,209,0.30071942446043165,209,0.30071942446043165,50.35426313699998,0.07245217717553955,1.0,0.2409294886937798,50.35426313699998,4.854509585487274,293.8374857016479,22.95765799210253,21.48940120585369,21.548357967428593,1.0122474472609622,-1.4764216212046095
23,0,0,541,0.7784172661870503,154,0.22158273381294963,154,0.22158273381294963,52.847206588,0.07603914616978417,1.0,0.3431636791428571,52.847206588,5.514967264550066,406.6825919358702,34.172145914245135,32.52027961958974,32.63187872742574,2.7538159236325854,-4.638010032066516
24,0,0,579,0.8330935251798561,116,0.1669064748201439,116,0.1669064748201439,33.49962028899999,0.04820089250215826,1.0,0.28878983007758613,33.49962028899999,4.469691129302549,248.38054241209028,14.921446118414906,13.74073689205078,13.326177334745035,-6.367654954230298,-1.0406581608107963
25,0,1,531,0.7640287769784173,164,0.23597122302158274,164,0.23597122302158274,44.08373884899998,0.06342984007050356,1.0,0.268803285664634,44.08373884899998,4.687267049551642,261.06789220753467,16.204313361370538,15.812491444407746,15.680383862837937,-2.346941273975488,5.550139073026717
