cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
7,1,D7,5,3723,0.992535323913623,1700,2023,0.54337899543379
197,1,D512,3,3678,0.9805385230605171,1677,2001,0.5440456769983687
232,1,D741,2,3670,0.9784057584644095,1683,1987,0.54141689373297
130,1,D166,2,3667,0.977605971740869,1667,2000,0.545404963185165
105,1,D129,2,3652,0.9736070381231672,1638,2014,0.5514786418400877
21,1,D22,2,3647,0.9722740602505998,1665,1982,0.5434603783931999
83,1,D96,3,3645,0.9717408691015729,1647,1998,0.5481481481481482
110,1,D137,3,3643,0.971207677952546,1653,1990,0.5462530881141916
82,1,D93,2,3622,0.9656091708877632,1649,1973,0.5447266703478741
140,1,D187,2,3618,0.9645427885897094,1700,1918,0.5301271420674406
46,1,D53,2,3617,0.964276193015196,1644,1973,0.5454796792922312
234,1,D748,2,3594,0.9581444948013863,1642,1952,0.5431274346132443
201,1,D596,2,3589,0.9568115169288189,1691,1898,0.5288381164669824
48,1,D55,2,3582,0.9549453479072247,1620,1962,0.5477386934673367
106,1,D130,3,3580,0.9544121567581978,1608,1972,0.5508379888268157
74,1,D84,2,3577,0.9536123700346574,1592,1985,0.5549343024881185
79,1,D90,2,3576,0.953345774460144,1606,1970,0.5508948545861297
31,1,D35,2,3574,0.9528125833111171,1613,1961,0.5486849468382764
19,1,D19,3,3567,0.9509464142895228,1598,1969,0.552004485562097
113,1,D143,2,3567,0.9509464142895228,1624,1943,0.5447154471544715
68,1,D77,2,3565,0.9504132231404959,1602,1963,0.5506311360448808
64,1,D73,2,3564,0.9501466275659824,1653,1911,0.5361952861952862
60,1,D68,2,3562,0.9496134364169555,1618,1944,0.5457608085345311
207,1,D609,2,3561,0.949346840842442,1667,1894,0.5318730693625386
252,1,D949,3,3561,0.949346840842442,1618,1943,0.545633249087335
195,1,D504,2,3560,0.9490802452679286,1610,1950,0.547752808988764
245,1,D925,2,3558,0.9485470541189016,1633,1925,0.5410342889263631
65,1,D74,4,3554,0.9474806718208477,1585,1969,0.5540236353404615
222,1,D674,2,3554,0.9474806718208477,1647,1907,0.5365785030951041
57,1,D65,2,3552,0.9469474806718209,1610,1942,0.5467342342342343
50,1,D57,2,3548,0.945881098373767,1633,1915,0.5397406989853438
