dimensionality,subspace,bins,support,support_fraction,region
1,D419,0,3373,0.899226872833911,0 <= D419 < 0.1
1,D228,0,3372,0.8989602772593975,0 <= D228 < 0.0666667
1,D621,0,3372,0.8989602772593975,0 <= D621 < 0.052381
1,D118,0,3371,0.8986936816848841,0 <= D118 < 0.0922243
1,D685,0,3371,0.8986936816848841,0 <= D685 < 0.1
1,D361,0,3366,0.8973607038123167,0 <= D361 < 0.1
1,D611,0,3364,0.8968275126632897,0 <= D611 < 0.05
1,D841,0,3362,0.8962943215142629,0 <= D841 < 0.1
1,D843,0,3362,0.8962943215142629,0 <= D843 < 0.1
1,D157,0,3357,0.8949613436416956,0 <= D157 < 0.1
1,D180,4,3349,0.8928285790455879,0.391951 <= D180 < 0.466313
1,D937,0,3348,0.8925619834710744,0 <= D937 < 0.1
1,D462,0,3343,0.891229005598507,0 <= D462 < 0.0666667
1,D936,0,3338,0.8898960277259398,0 <= D936 < 0.1
1,D934,0,3332,0.888296454278859,0 <= D934 < 0.1
1,D59,0,3330,0.887763263129832,0 <= D59 < 0.1
1,D360,0,3330,0.887763263129832,0 <= D360 < 0.1
1,D675,0,3329,0.8874966675553185,0 <= D675 < 0.1
1,D109,0,3327,0.8869634764062917,0 <= D109 < 0.0833333
2,"D109,D118","0,0",3327,0.8869634764062917,0 <= D109 < 0.0833333 AND 0 <= D118 < 0.0922243
1,D336,0,3326,0.8866968808317782,0 <= D336 < 0.1
1,D662,0,3326,0.8866968808317782,0 <= D662 < 0.1
1,D227,0,3325,0.8864302852572647,0 <= D227 < 0.1
1,D168,0,3323,0.8858970941082378,0 <= D168 < 0.0714286
1,D164,0,3322,0.8856304985337243,0 <= D164 < 0.1
1,D214,0,3322,0.8856304985337243,0 <= D214 < 0.0642111
2,"D164,D214","0,0",3322,0.8856304985337243,0 <= D164 < 0.1 AND 0 <= D214 < 0.0642111
1,D626,0,3317,0.8842975206611571,0 <= D626 < 0.07
1,D583,0,3313,0.8832311383631032,0 <= D583 < 0.1
1,D610,0,3306,0.881364969341509,0 <= D610 < 0.1
1,D460,0,3297,0.8789656091708877,0 <= D460 < 0.1
1,D37,0,3294,0.8781658224473474,0 <= D37 < 0.1
1,D163,0,3294,0.8781658224473474,0 <= D163 < 0.09
1,D598,0,3291,0.877366035723807,0 <= D598 < 0.1
1,D740,0,3289,0.8768328445747801,0 <= D740 < 0.0952381
1,D688,0,3279,0.8741668888296454,0 <= D688 < 0.1
1,D4,0,3277,0.8736336976806185,0 <= D4 < 0.1
2,"D4,D841","0,0",3277,0.8736336976806185,0 <= D4 < 0.1 AND 0 <= D841 < 0.1
1,D418,0,3271,0.8720341242335378,0 <= D418 < 0.08
1,D86,0,3270,0.8717675286590243,0 <= D86 < 0.0846353
1,D129,0,3269,0.8715009330845108,0 <= D129 < 0.1
1,D449,0,3269,0.8715009330845108,0 <= D449 < 0.0875
1,D416,0,3265,0.8704345507864569,0 <= D416 < 0.1
1,D175,1,3263,0.86990135963743,0.0991675 <= D175 < 0.179435
1,D119,0,3253,0.8672354038922954,0 <= D119 < 0.1
1,D687,0,3243,0.8645694481471607,0 <= D687 < 0.05
1,D686,0,3241,0.8640362569981338,0 <= D686 < 0.1
2,"D418,D419","0,0",3239,0.8635030658491069,0 <= D418 < 0.08 AND 0 <= D419 < 0.1
2,"D164,D685","0,0",3233,0.8619034924020261,0 <= D164 < 0.1 AND 0 <= D685 < 0.1
2,"D214,D685","0,0",3233,0.8619034924020261,0 <= D214 < 0.0642111 AND 0 <= D685 < 0.1
1,D470,0,3231,0.8613703012529992,0 <= D470 < 0.0583333
1,D155,0,3227,0.8603039189549454,0 <= D155 < 0.0764706
1,D165,0,3215,0.8571047720607838,0 <= D165 < 0.1
1,D215,0,3215,0.8571047720607838,0 <= D215 < 0.1
2,"D165,D215","0,0",3215,0.8571047720607838,0 <= D165 < 0.1 AND 0 <= D215 < 0.1
1,D472,0,3210,0.8557717941882165,0 <= D472 < 0.0923077
1,D748,0,3209,0.855505198613703,0 <= D748 < 0.1
1,D110,0,3208,0.8552386030391895,0 <= D110 < 0.1
1,D844,0,3208,0.8552386030391895,0 <= D844 < 0.1
2,"D110,D119","0,0",3208,0.8552386030391895,0 <= D110 < 0.1 AND 0 <= D119 < 0.1
1,D514,0,3205,0.8544388163156491,0 <= D514 < 0.1
1,D216,0,3204,0.8541722207411357,0 <= D216 < 0.1
1,D741,0,3199,0.8528392428685684,0 <= D741 < 0.0869565
1,D166,0,3197,0.8523060517195414,0 <= D166 < 0.1
1,D597,0,3197,0.8523060517195414,0 <= D597 < 0.1
2,"D166,D216","0,0",3197,0.8523060517195414,0 <= D166 < 0.1 AND 0 <= D216 < 0.1
1,D223,0,3196,0.852039456145028,0 <= D223 < 0.096968
1,D84,0,3190,0.8504398826979472,0 <= D84 < 0.1
1,D609,0,3177,0.8469741402292722,0 <= D609 < 0.075
2,"D841,D843","0,0",3172,0.8456411623567048,0 <= D841 < 0.1 AND 0 <= D843 < 0.1
2,"D361,D416","0,0",3171,0.8453745667821914,0 <= D361 < 0.1 AND 0 <= D416 < 0.1
2,"D419,D611","0,0",3169,0.8448413756331645,0 <= D419 < 0.1 AND 0 <= D611 < 0.05
1,D187,8,3164,0.8435083977605972,0.8 <= D187 < 0.9
1,D156,0,3163,0.8432418021860837,0 <= D156 < 0.0714286
1,D211,0,3163,0.8432418021860837,0 <= D211 < 0.1
2,"D156,D211","0,0",3163,0.8432418021860837,0 <= D156 < 0.0714286 AND 0 <= D211 < 0.1
1,D24,0,3161,0.8427086110370567,0 <= D24 < 0.1
2,"D4,D843","0,0",3161,0.8427086110370567,0 <= D4 < 0.1 AND 0 <= D843 < 0.1
2,"D361,D685","0,0",3154,0.8408424420154625,0 <= D361 < 0.1 AND 0 <= D685 < 0.1
1,D457,0,3153,0.8405758464409491,0 <= D457 < 0.052381
2,"D457,D621","0,0",3153,0.8405758464409491,0 <= D457 < 0.052381 AND 0 <= D621 < 0.052381
2,"D360,D361","0,0",3151,0.8400426552919221,0 <= D360 < 0.1 AND 0 <= D361 < 0.1
1,D158,0,3149,0.8395094641428952,0 <= D158 < 0.1
1,D217,5,3145,0.8384430818448414,0.5 <= D217 < 0.6
2,"D187,D217","8,5",3145,0.8384430818448414,0.8 <= D187 < 0.9 AND 0.5 <= D217 < 0.6
2,"D360,D416","0,0",3144,0.8381764862703279,0 <= D360 < 0.1 AND 0 <= D416 < 0.1
2,"D419,D740","0,0",3140,0.837110103972274,0 <= D419 < 0.1 AND 0 <= D740 < 0.0952381
1,D596,0,3139,0.8368435083977606,0 <= D596 < 0.1
2,"D361,D419","0,0",3139,0.8368435083977606,0 <= D361 < 0.1 AND 0 <= D419 < 0.1
2,"D129,D163","0,0",3137,0.8363103172487337,0 <= D129 < 0.1 AND 0 <= D163 < 0.09
2,"D843,D844","0,0",3134,0.8355105305251933,0 <= D843 < 0.1 AND 0 <= D844 < 0.1
2,"D164,D361","0,0",3131,0.8347107438016529,0 <= D164 < 0.1 AND 0 <= D361 < 0.1
2,"D214,D361","0,0",3131,0.8347107438016529,0 <= D214 < 0.0642111 AND 0 <= D361 < 0.1
2,"D449,D583","0,0",3131,0.8347107438016529,0 <= D449 < 0.0875 AND 0 <= D583 < 0.1
2,"D168,D621","0,0",3130,0.8344441482271394,0 <= D168 < 0.0714286 AND 0 <= D621 < 0.052381
1,D750,0,3129,0.8341775526526259,0 <= D750 < 0.1
1,D73,0,3123,0.8325779792055452,0 <= D73 < 0.0736891
2,"D419,D685","0,0",3119,0.8315115969074913,0 <= D419 < 0.1 AND 0 <= D685 < 0.1
1,D426,0,3118,0.8312450013329779,0 <= D426 < 0.1
1,D842,0,3117,0.8309784057584644,0 <= D842 < 0.1
1,D22,0,3116,0.8307118101839509,0 <= D22 < 0.0896552
2,"D336,D419","0,0",3116,0.8307118101839509,0 <= D336 < 0.1 AND 0 <= D419 < 0.1
2,"D449,D844","0,0",3115,0.8304452146094374,0 <= D449 < 0.0875 AND 0 <= D844 < 0.1
2,"D360,D419","0,0",3113,0.8299120234604106,0 <= D360 < 0.1 AND 0 <= D419 < 0.1
2,"D583,D843","0,0",3113,0.8299120234604106,0 <= D583 < 0.1 AND 0 <= D843 < 0.1
1,D55,0,3112,0.8296454278858971,0 <= D55 < 0.0945099
1,D57,0,3112,0.8296454278858971,0 <= D57 < 0.0964878
2,"D164,D426","0,0",3112,0.8296454278858971,0 <= D164 < 0.1 AND 0 <= D426 < 0.1
2,"D214,D426","0,0",3112,0.8296454278858971,0 <= D214 < 0.0642111 AND 0 <= D426 < 0.1
2,"D449,D843","0,0",3108,0.8285790455878432,0 <= D449 < 0.0875 AND 0 <= D843 < 0.1
2,"D336,D685","0,0",3106,0.8280458544388163,0 <= D336 < 0.1 AND 0 <= D685 < 0.1
2,"D419,D662","0,0",3105,0.8277792588643028,0 <= D419 < 0.1 AND 0 <= D662 < 0.1
2,"D336,D472","0,0",3104,0.8275126632897893,0 <= D336 < 0.1 AND 0 <= D472 < 0.0923077
2,"D419,D741","0,0",3104,0.8275126632897893,0 <= D419 < 0.1 AND 0 <= D741 < 0.0869565
2,"D168,D228","0,0",3103,0.827246067715276,0 <= D168 < 0.0714286 AND 0 <= D228 < 0.0666667
2,"D416,D419","0,0",3099,0.8261796854172221,0 <= D416 < 0.1 AND 0 <= D419 < 0.1
2,"D610,D675","0,0",3099,0.8261796854172221,0 <= D610 < 0.1 AND 0 <= D675 < 0.1
2,"D84,D86","0,0",3097,0.8256464942681951,0 <= D84 < 0.1 AND 0 <= D86 < 0.0846353
2,"D842,D843","0,0",3097,0.8256464942681951,0 <= D842 < 0.1 AND 0 <= D843 < 0.1
2,"D740,D741","0,0",3096,0.8253798986936817,0 <= D740 < 0.0952381 AND 0 <= D741 < 0.0869565
2,"D164,D419","0,0",3095,0.8251133031191682,0 <= D164 < 0.1 AND 0 <= D419 < 0.1
2,"D214,D419","0,0",3095,0.8251133031191682,0 <= D214 < 0.0642111 AND 0 <= D419 < 0.1
2,"D336,D360","0,0",3093,0.8245801119701412,0 <= D336 < 0.1 AND 0 <= D360 < 0.1
2,"D936,D937","0,0",3092,0.8243135163956279,0 <= D936 < 0.1 AND 0 <= D937 < 0.1
2,"D611,D740","0,0",3091,0.8240469208211144,0 <= D611 < 0.05 AND 0 <= D740 < 0.0952381
2,"D84,D163","0,0",3088,0.823247134097574,0 <= D84 < 0.1 AND 0 <= D163 < 0.09
2,"D610,D740","0,0",3088,0.823247134097574,0 <= D610 < 0.1 AND 0 <= D740 < 0.0952381
2,"D336,D361","0,0",3087,0.8229805385230605,0 <= D336 < 0.1 AND 0 <= D361 < 0.1
2,"D361,D611","0,0",3087,0.8229805385230605,0 <= D361 < 0.1 AND 0 <= D611 < 0.05
2,"D418,D740","0,0",3087,0.8229805385230605,0 <= D418 < 0.08 AND 0 <= D740 < 0.0952381
2,"D470,D748","0,0",3087,0.8229805385230605,0 <= D470 < 0.0583333 AND 0 <= D748 < 0.1
1,D699,0,3086,0.822713942948547,0 <= D699 < 0.1
2,"D361,D740","0,0",3086,0.822713942948547,0 <= D361 < 0.1 AND 0 <= D740 < 0.0952381
2,"D462,D662","0,0",3085,0.8224473473740336,0 <= D462 < 0.0666667 AND 0 <= D662 < 0.1
1,D417,0,3084,0.8221807517995201,0 <= D417 < 0.0625
2,"D419,D462","0,0",3084,0.8221807517995201,0 <= D419 < 0.1 AND 0 <= D462 < 0.0666667
