feature,n_clusters,max_dimensionality,maximum_cluster_size
D53,63,2,3617
D22,61,2,3647
D93,57,2,3622
D90,50,2,3576
D187,45,2,3618
D77,43,2,3565
D166,38,2,3667
D68,35,2,3562
D419,34,2,3373
D35,32,2,3574
D621,32,2,3372
D96,32,2,3645
D108,30,2,3548
D596,29,2,3589
D137,28,2,3643
D469,28,2,3528
D228,28,2,3372
D143,28,2,3567
D937,28,2,3348
D118,28,2,3371
D741,27,2,3670
D55,27,2,3582
D180,26,2,3349
D925,26,2,3558
D685,26,2,3371
D843,25,2,3362
D806,25,2,3538
D936,24,2,3338
D65,24,2,3552
D361,23,2,3366
D611,22,2,3364
D504,22,2,3560
D76,22,2,3545
D674,21,2,3554
D462,21,2,3343
D841,20,2,3362
D69,20,2,3537
D949,20,2,3561
D673,18,2,3530
D926,18,2,3532
D12,17,2,3515
D802,17,2,3534
D157,16,2,3357
D1,15,2,3503
D168,15,2,3323
D109,14,2,3327
D662,14,2,3326
D672,14,2,3481
D91,13,2,3455
D44,12,2,3509
D934,12,2,3332
D583,11,2,3313
D626,11,2,3317
D214,11,2,3322
D164,11,2,3322
D64,11,2,3479
D73,11,2,3564
D130,11,2,3580
D7,10,2,3723
D89,10,2,3384
D86,10,2,3270
D151,10,2,3522
D36,10,2,3496
D131,9,2,3519
D59,9,2,3330
D227,9,2,3325
D360,8,2,3330
D128,8,2,3458
D950,8,2,3472
D675,8,2,3329
D58,7,2,3450
D163,7,2,3294
D167,7,2,3469
D336,7,2,3326
D740,7,2,3289
D92,7,2,3521
D20,7,2,3461
D608,6,2,3420
D460,6,2,3297
D49,6,2,3433
D610,6,2,3306
D48,6,2,3307
D4,6,2,3277
D598,5,2,3291
D43,5,2,3453
D161,5,2,3481
D947,5,2,3455
D449,4,2,3269
D697,4,2,3396
D14,4,2,3402
D57,4,2,3548
D175,4,2,3263
D37,4,2,3294
D418,4,2,3271
D38,4,2,3507
D624,3,2,3413
D119,3,2,3253
D622,3,2,3379
D62,3,2,3452
D63,3,2,3455
D129,3,2,3652
D688,3,2,3279
D29,3,2,3341
D66,3,2,3361
D3,3,2,3395
D54,3,2,3414
D102,3,2,3487
D426,3,2,3534
D505,3,2,3446
D107,3,2,3423
D32,2,2,3305
D479,2,2,3380
D25,2,2,3471
D470,2,2,3231
D415,2,2,3357
D88,2,2,3332
D165,2,2,3215
D927,2,2,3402
D623,2,2,3384
D18,2,2,3445
D19,2,2,3567
D61,2,2,3500
D216,2,2,3204
D110,2,2,3208
D215,2,2,3215
D951,1,1,3482
D808,1,1,3342
D26,1,1,3444
D136,1,1,3240
D748,1,1,3594
D747,1,1,3334
D2,1,1,3373
D807,1,1,3265
D87,1,1,3262
D83,1,1,3244
D84,1,1,3577
D126,1,1,3440
D844,1,1,3208
D223,1,1,3196
D9,1,1,3294
D103,1,1,3256
D106,1,1,3333
D207,1,1,3223
D139,1,1,3377
D911,1,1,3427
D458,1,1,3371
D33,1,1,3374
D74,1,1,3554
D416,1,1,3265
D159,1,1,3376
D609,1,1,3561
D39,1,1,3373
D607,1,1,3428
D6,1,1,3460
D597,1,1,3197
D56,1,1,3262
D739,1,1,3352
D162,1,1,3330
D514,1,1,3205
D512,1,1,3678
D10,1,1,3440
D472,1,1,3210
D45,1,1,3441
D158,1,1,3526
D373,1,1,3298
D155,1,1,3227
D660,1,1,3320
D661,1,1,3419
D67,1,1,3452
D17,1,1,3386
D152,1,1,3338
D173,1,1,3355
D459,1,1,3278
D150,1,1,3424
D145,1,1,3222
D686,1,1,3241
D687,1,1,3243
D70,1,1,3361
D71,1,1,3436
D31,1,1,3205
D181,1,1,3483
