feature,feature_cluster,activity_0_mean,activity_1_mean,mean_difference_1_minus_0,activity_0_median,activity_1_median,mann_whitney_u,mann_whitney_p_value,rank_biserial_correlation,point_biserial_correlation,point_biserial_p_value,mutual_information,mann_whitney_p_fdr_bh,significant_fdr_0.05,absolute_rank_biserial
D66,6,0.03650488613744904,0.05629805262487709,0.01979316648742805,0.0,0.0313,2227648.5,1.2865983284349722e-51,0.275720154003948,0.1426635361357093,1.6418030542020809e-18,0.0798781631996277,2.9806194608743524e-49,True,0.275720154003948
D469,6,0.02348934189691322,0.07984924621779743,0.05635990432088421,0.0,0.0,2216365.5,1.1922739741552122e-73,0.26925865413194106,0.2686011740082204,5.302052969544031e-63,0.05306999577162208,8.286304120378725e-71,True,0.26925865413194106
D78,6,0.02166391033779848,0.03895755853539823,0.017293648197599747,0.00676,0.0203,2195671.0,3.777760062721078e-43,0.2574074169520024,0.17232595281110108,2.1548355101686224e-26,0.030388850278266544,3.750776062273071e-41,True,0.2574074169520024
D659,6,0.13352954768083866,0.20662258277236972,0.07309303509153106,0.125,0.208333333,2181757.5,1.0920555185386375e-41,0.24943949366305707,0.22604857599216077,1.1484338418192793e-44,0.04837395172955761,9.487232317304414e-40,True,0.24943949366305707
D87,6,0.37257110744088523,0.326966823472468,-0.0456042839684172,0.379090093,0.335155789,1315049.0,6.420338513959187e-39,-0.24690339934566075,-0.22308146215207453,1.6153568980286411e-43,0.06731934235375459,4.056486606546941e-37,True,0.24690339934566075
D146,6,0.11236942618753641,0.17998137378711898,0.06761194759958257,0.0714,0.142857143,2174205.5,8.48444244928914e-39,0.24511464681085493,0.21331140537635673,7.447870052685406e-40,0.03441107729235515,4.53591346327381e-37,True,0.24511464681085493
D747,6,0.030722189866045427,0.0790929203539823,0.04837073048793687,0.0,0.0,2170253.0,9.701346414361742e-58,0.2428511461245031,0.22646770948706454,7.880896520749664e-45,0.043467532385100593,3.3712178789907056e-55,True,0.2428511461245031
D660,6,0.04632545966453115,0.08586765693706981,0.03954219727253866,0.0,0.0571,2154061.0,7.255673134895232e-39,0.23357838126342556,0.204864063940131,7.881904430741299e-37,0.04254199935567371,4.202244023960155e-37,True,0.23357838126342556
D739,6,0.055028628162492724,0.08889210243510325,0.03386347427261052,0.0227,0.0682,2131961.5,1.0849347159144868e-33,0.22092253473134926,0.17884585079315146,2.479165981878252e-28,0.041720166152570126,4.98088087101908e-32,True,0.22092253473134926
D106,6,0.23642910953989515,0.26814542430039334,0.03171631476049819,0.206816564,0.23949019900000001,2131709.0,1.88778197402113e-31,0.22077793411824254,0.1504254902686482,1.9960897182963598e-20,0.026634724695550283,7.717696893792267e-30,True,0.22077793411824254
D607,6,0.03389937599708794,0.07012305100491642,0.03622367500782848,0.0,0.0,2130848.0,5.176684544172186e-40,0.2202848603444416,0.2102698008720762,9.468804760249956e-39,0.016979522841395145,3.597795758199669e-38,True,0.2202848603444416
D5,6,0.2286853148281887,0.19812121602605703,-0.03056409880213168,0.216215249,0.16849546399999998,1362456.5,3.5592921968883695e-31,-0.21975427631258704,-0.14844668324496094,6.284300772846e-20,0.06168372967703761,1.374282264909676e-29,True,0.21975427631258704
D88,6,0.08462722596738498,0.11093523552556539,0.026308009558180412,0.0535,0.0735,2121926.0,2.8769517775336164e-30,0.2151754477894432,0.16233791831793098,1.4405320633710264e-23,0.044015337401417165,1.0523586765188755e-28,True,0.2151754477894432
D95,6,0.004090483104834014,0.0026287271189773843,-0.0014617559858566293,0.000198,0.000536,2112479.5,1.4876241559907938e-28,0.2097656668321699,-0.03139251654932811,0.054545329073640736,0.08363999260025934,4.495212123537399e-27,True,0.2097656668321699
D83,6,0.1594512391141526,0.22047416132595873,0.061022922211806135,0.111111111,0.222222222,2109484.5,1.8457344186681903e-29,0.20805050312423234,0.18494479325273336,3.2501407333783834e-30,0.042914707306873634,6.413927104871961e-28,True,0.20805050312423234
D177,6,0.17164864256377402,0.23955061317354964,0.06790197060977562,0.150578502,0.21019271150000002,2107660.0,2.2861418457281488e-28,0.20700565631784418,0.17624196308936038,1.5058516926617247e-27,0.045791478240180705,6.620285761587765e-27,True,0.20700565631784418
D10,6,0.25167571379965054,0.2862270536848574,0.034551339885206866,0.252871743,0.3081911865,2101453.0,5.86175774265741e-27,0.20345105827605137,0.17909610587337116,2.081478191407093e-28,0.06276147439286595,1.6295686524587602e-25,True,0.20345105827605137
D3,6,0.05387303436225976,0.08018682399213374,0.026313789629873983,0.05,0.05,2100863.5,5.885605186049769e-29,0.20311346595357094,0.16720919469606021,6.347172928296467e-25,0.021786244310794567,1.947855049668852e-27,True,0.20311346595357094
D16,6,0.26525856647000584,0.29011335740707966,0.024854790937073823,0.274984057,0.29383212,2096363.0,2.976344054976307e-26,0.20053613898610068,0.10652410399972306,6.129115676865533e-11,0.05034596775384159,7.6613300674390135e-25,True,0.20053613898610068
D8,6,0.42463266163832264,0.48087950435693216,0.056246842718609524,0.469016334,0.5195935065,2094269.0,5.947601448900411e-26,0.19933695607978286,0.17222572832007227,2.3048077223532693e-26,0.03429708673858234,1.4762796453520664e-24,True,0.19933695607978286
D182,6,0.11792749085556205,0.1686132859355949,0.05068579508003286,0.0943,0.0943,2093899.0,2.557964476367311e-40,0.1991250660724584,0.2286640625331058,1.0819239201205824e-45,0.0327344509736307,1.975317012305868e-38,True,0.1991250660724584
D131,6,0.1425430124368084,0.1692821041740413,0.026739091737232906,0.119047619,0.19047619,2092695.5,6.365046901240523e-26,0.19843585087295823,0.12817027635295436,3.280549511476741e-15,0.023286129055892557,1.525416412538677e-24,True,0.19843585087295823
D158,6,0.07136136024461269,0.03515326668289086,-0.03620809356172183,0.0222,0.0,1400275.0,6.803286715300888e-29,-0.1980965405233912,-0.19772119947233135,2.2476747576239144e-34,0.023051684811246087,2.1492201214245988e-27,True,0.1980965405233912
D209,6,0.3574835897076295,0.4398542095801376,0.0823706198725081,0.296797516,0.296797516,2073810.5,5.479032722959441e-36,0.18762087036397546,0.21015391892930757,1.0423827999794507e-38,0.029719329882345713,2.7199483874691513e-34,True,0.18762087036397546
D196,6,0.42898846233430404,0.5210319520462143,0.09204348971191029,0.602496084,0.624248396,2060961.5,6.636788501858508e-22,0.1802625603528598,0.15524926588675733,1.1420291401668028e-21,0.02408921016953669,1.3178765739404751e-20,True,0.1802625603528598
D741,6,0.02370178774898078,0.036232420589970504,0.012530632840989726,0.0,0.0,2060229.5,6.52798686337232e-27,0.1798433617437747,0.10703131231718499,4.968502023913864e-11,0.018102858038376635,1.7449811038629855e-25,True,0.1798433617437747
D740,6,0.034619419254513686,0.04971723556637168,0.01509781631185799,0.0,0.0238,2060032.5,6.6149218684752e-25,0.17973054463176674,0.10577644778740421,8.337139340937113e-11,0.013789977131227982,1.532456899530088e-23,True,0.17973054463176674
D187,6,0.8303239763476996,0.8084708485339235,-0.02185312781377613,0.836961625,0.836961625,1435349.5,1.8002253868587805e-48,-0.17801022684256973,-0.198590373025983,1.142799113682783e-34,0.04641556244590417,3.127891609667131e-46,True,0.17801022684256973
D217,6,0.5245243048677926,0.4800013421091444,-0.044522962758648144,0.539307845,0.539307845,1436768.0,4.7922541992350775e-48,-0.17719788636854317,-0.2333867015954088,1.408709699396536e-47,0.03051025611112146,6.661233336936757e-46,True,0.17719788636854317
D18,6,0.18438688084100177,0.2060804531745329,0.02169357233353114,0.189975553,0.20160331650000002,2053991.5,1.2078190579787557e-20,0.17627101075542218,0.12378709708473704,2.7806474625072872e-14,0.0316950584465725,2.2687412035006357e-19,True,0.17627101075542218
D20,6,0.09419261476470589,0.0717372373166175,-0.022455377448088384,0.0663,0.0505,1440267.0,2.0861922577243993e-20,-0.1751940941100878,-0.14174031206729013,2.730457386423112e-18,0.032013183061797346,3.717701587483225e-19,True,0.1751940941100878
D200,6,0.48949925085847407,0.5561102458834808,0.06661099502500673,0.607599414,0.626244252,2049689.5,3.13021160090839e-20,0.17380735991350305,0.12785363127165927,3.8378212151689364e-15,0.023839415330879188,5.438742656578327e-19,True,0.17380735991350305
D26,6,0.7580846656476413,0.7287374508947886,-0.029347214752852735,0.777506618,0.743112749,1449979.5,3.1340109188550972e-19,-0.169631981417819,-0.12946957615674687,1.7162562661891556e-15,0.03704262212206211,5.0654362525681225e-18,True,0.169631981417819
D596,6,0.013395457205591148,0.046284590577187805,0.03288913337159666,0.0,0.0,2041025.0,6.577339235292811e-44,0.16884541135008857,0.20409192662049164,1.4673435152183767e-36,0.024948865294976086,7.61875128088084e-42,True,0.16884541135008857
D21,6,0.013443242640652301,0.010871942975909538,-0.0025712996647427634,0.00927,0.00725,1452484.0,6.214635143712007e-19,-0.16819771513851023,-0.0819930489141032,4.943513448232972e-07,0.039801257249486355,9.59815872195521e-18,True,0.16819771513851023
D100,6,0.5266812923919628,0.5630321621273354,0.036350869735372604,0.537369663,0.5805283645,2039313.0,7.221433195933715e-19,0.16786499055944115,0.1412934748780083,3.4884601848407765e-18,0.028351781772200768,1.0910643632986808e-17,True,0.16786499055944115
D7,6,0.2612902362725684,0.2860429503480826,0.02475271407551416,0.251381828,0.290371718,2037085.0,1.3308878067108224e-18,0.16658906910993032,0.1370155077467063,3.499707044310239e-17,0.057856067675190026,1.927014636800045e-17,True,0.16658906910993032
D173,6,0.08541614005358183,0.0533626309872173,-0.03205350906636453,0.0614,0.0,1455790.0,1.868221326552045e-20,-0.1663044492892808,-0.1692995848955844,1.614141641920887e-25,0.02150174481599687,3.416878478825451e-19,True,0.1663044492892808
D89,6,0.5975322060314501,0.5852293240363814,-0.012302881995068682,0.602890809,0.589912378,1458504.5,3.150297627680744e-18,-0.16474992111392295,-0.10289007374800889,2.680505619876776e-10,0.035754099417622864,4.4682792882410556e-17,True,0.16474992111392295
D61,5,0.13476946696272568,0.093642952093412,-0.04112651486931368,0.0944,0.0709,1459018.5,3.25146731400959e-18,-0.1644555658064505,-0.17458799702386024,4.668612633004217e-27,0.06754863910771802,4.482498656613354e-17,True,0.1644555658064505
D595,6,0.021665695981362844,0.06878072763028516,0.04711503164892231,0.0,0.0,2029501.5,1.1466776105943207e-33,0.16224618297332083,0.19873662149551907,1.0195427056191404e-34,0.020655936629985883,4.98088087101908e-32,True,0.16224618297332083
D80,6,0.031898347023878865,0.03309687537905604,0.0011985283551771767,0.00494,0.0137,2025625.5,6.005094961306188e-18,0.1600264919776726,0.008634851282508387,0.5970284365679247,0.003875201985275245,7.728779626125558e-17,True,0.1600264919776726
D162,6,0.09070696953581828,0.11401725665683383,0.023310287121015558,0.0833,0.0833,2016957.5,7.695269150047747e-17,0.15506253904932388,0.1172131346503872,5.968133103786939e-13,0.0087803710262917,9.064766202174889e-16,True,0.15506253904932388
D622,6,0.030220746123471167,0.05335223831120944,0.023131492187738276,0.0,0.0,2016077.5,6.3627484109352335e-22,0.15455858443730897,0.15450980583997903,1.7813926548095966e-21,0.022442527031776294,1.3006206310588198e-20,True,0.15455858443730897
D70,6,0.5762008466587071,0.6058550662640119,0.029654219605304788,0.584295238,0.635299093,2013118.5,6.307542289310837e-16,0.1528640370544081,0.11846209779692833,3.3759609097772873e-13,0.027239876045476397,6.849596704798487e-15,True,0.1528640370544081
D32,6,0.09211090985323239,0.10128109460521141,0.009170184751979019,0.0783,0.0979,2012186.0,8.201557156967876e-16,0.15233001696838078,0.0664977345055078,4.584948640734698e-05,0.08247773807948677,8.769357267834882e-15,True,0.15233001696838078
D201,6,0.5764222277233547,0.5040043124788594,-0.07241791524449537,0.683656264,0.257565449,1480203.0,2.0603066345858594e-17,-0.1523237175357307,-0.13330642674032503,2.4381246440958717e-16,0.0023109149420064146,2.60347838370395e-16,True,0.1523237175357307
D458,6,0.04510774606872452,0.06536381514257619,0.02025606907385167,0.0,0.0,1998740.5,2.1389102524809102e-17,0.14463010590491643,0.10868851032211166,2.485279782516621e-11,0.006167641030055071,2.654540402632558e-16,True,0.14463010590491643
D52,6,0.7726349154047757,0.6498642395722712,-0.12277067583250445,1.0,1.0,1497420.0,5.728736015543224e-19,-0.14246396008679474,-0.14511571291460756,4.1827743766496453e-19,0.02051164637905334,9.048798933642137e-18,True,0.14246396008679474
D91,6,0.4282166424094351,0.4261426485476893,-0.002073993861745782,0.443233297,0.43221302699999997,1499040.0,7.448634513717837e-14,-0.14153622546013056,-0.022233713647691944,0.17337869681634763,0.04521489716909399,6.552912641815059e-13,True,0.14153622546013056
D136,5,0.15951595145719277,0.12318365551229106,-0.03633229594490171,0.111111111,0.111111111,1500919.5,1.1933692882788373e-14,-0.1404598814904916,-0.13880872981302228,1.3429747274265244e-17,0.0033308131140374897,1.1519328546580444e-13,True,0.1404598814904916
