reordered_position,feature,feature_cluster
0,D594,12
1,D236,11
2,D387,1
3,D225,1
4,D491,1
5,D833,2
6,D832,2
7,D578,2
8,D654,2
9,D653,2
10,D734,2
11,D798,2
12,D499,2
13,D908,2
14,D733,2
15,D907,2
16,D498,2
17,D797,2
18,D732,2
19,D893,2
20,D894,2
21,D895,2
22,D896,2
23,D897,2
24,D898,2
25,D906,2
26,D497,2
27,D796,2
28,D731,2
29,D579,2
30,D794,2
31,D495,2
32,D904,2
33,D59,2
34,D649,2
35,D191,2
36,D223,2
37,D889,2
38,D890,2
39,D891,2
40,D892,2
41,D793,2
42,D494,2
43,D903,2
44,D730,2
45,D905,2
46,D496,2
47,D795,2
48,D729,2
49,D410,2
50,D409,2
51,D728,2
52,D792,2
53,D493,2
54,D902,2
55,D900,2
56,D901,2
57,D492,2
58,D791,2
59,D882,2
60,D881,2
61,D883,2
62,D880,2
63,D224,2
64,D192,2
65,D172,2
66,D197,2
67,D650,2
68,D651,2
69,D652,2
70,D884,2
71,D101,3
72,D82,3
73,D169,3
74,D213,4
75,D534,4
76,D542,4
77,D544,4
78,D347,4
79,D543,4
80,D523,4
81,D190,4
82,D709,4
83,D317,4
84,D845,4
85,D776,4
86,D481,4
87,D777,4
88,D482,4
89,D846,4
90,D710,4
91,D400,4
92,D221,4
93,D635,4
94,D841,4
95,D4,4
96,D189,4
97,D636,4
98,D81,5
99,D948,5
100,D148,5
101,D134,5
102,D138,5
103,D183,5
104,D210,5
105,D132,5
106,D163,5
107,D129,5
108,D85,5
109,D133,5
110,D140,5
111,D147,5
112,D154,5
113,D141,5
114,D153,5
115,D144,5
116,D61,5
117,D136,5
118,D97,5
119,D98,5
120,D932,5
121,D222,5
122,D775,5
123,D231,5
124,D228,6
125,D937,6
126,D812,6
127,D517,6
128,D446,6
129,D767,6
130,D768,6
131,D447,6
132,D813,6
133,D938,6
134,D936,6
135,D811,6
136,D516,6
137,D445,6
138,D766,6
139,D765,6
140,D444,6
141,D515,6
142,D810,6
143,D935,6
144,D161,6
145,D12,6
146,D926,6
147,D927,6
148,D925,6
149,D933,6
150,D514,6
151,D808,6
152,D763,6
153,D442,6
