comparison,numeric_partition,reference_partition,numeric_k,reference_k,same_resolution,adjusted_rand_index
numeric_selected_vs_mixed_classical_selected,numeric_selected,mixed_classical_selected,2,2,True,0.2545090001460841
numeric_selected_vs_mixed_balanced_selected,numeric_selected,mixed_balanced_selected,2,4,False,0.12929558330254048
numeric_k2_vs_mixed_balanced_k2,numeric_k2,mixed_balanced_k2,2,2,True,0.189559969874699
numeric_k3_vs_mixed_balanced_k3,numeric_k3,mixed_balanced_k3,3,3,True,0.20496343140032067
numeric_k4_vs_mixed_balanced_k4,numeric_k4,mixed_balanced_k4,4,4,True,0.1128242971102147
numeric_selected_vs_binary_selected,numeric_selected,binary_selected,2,4,False,0.12831491209723442
numeric_k2_vs_binary_k2,numeric_k2,binary_k2,2,2,True,0.189559969874699
numeric_k3_vs_binary_k3,numeric_k3,binary_k3,3,3,True,0.20496343140032067
numeric_k4_vs_binary_k4,numeric_k4,binary_k4,4,4,True,0.11249078079855623
numeric_quantile_selected_vs_numeric_baseline_selected,numeric_quantile_selected,numeric_baseline_selected,2,4,False,0.2311656122271713
numeric_quantile_k2_vs_numeric_baseline_k2,numeric_quantile_k2,numeric_baseline_k2,2,2,True,0.0008702237592572026
numeric_quantile_k3_vs_numeric_baseline_k3,numeric_quantile_k3,numeric_baseline_k3,3,3,True,0.32225643907979007
numeric_quantile_k4_vs_numeric_baseline_k4,numeric_quantile_k4,numeric_baseline_k4,4,4,True,0.39746818126531347
