feature,prevalence,selected
D23,0.9664089576113036,True
D27,0.5206611570247934,True
D28,0.8906958144494801,True
D51,0.23220474540122635,True
D72,0.00026659557451346307,False
D94,0.4332178085843775,True
D170,0.01652892561983471,False
D568,0.012796587576646227,False
D858,0.00026659557451346307,False
D952,0.2599306851506265,True
D953,0.1898160490535857,True
D954,0.3311117035457211,True
D955,0.2879232204745401,True
D956,0.3711010397227406,True
D957,0.16875499866702212,True
D958,0.29432151426286324,True
D959,0.21034390829112237,True
D960,0.43934950679818713,True
D961,0.6288989602772594,True
D962,0.4108237803252466,True
D963,0.3116502266062383,True
D964,0.4060250599840043,True
D965,0.8512396694214877,True
D966,0.29832044788056516,True
D967,0.42202079445481205,True
D968,0.4268195147960544,True
D969,0.7755265262596641,True
D970,0.37589976006398296,True
D971,0.11383631031724874,True
D972,0.5387896560917089,True
D973,0.33564382831245,True
D974,0.6304985337243402,True
D975,0.3790989069581445,True
D976,0.2777925886430285,True
D977,0.41242335377232736,True
D978,0.35963743001866166,True
D979,0.6339642761930152,True
D980,0.8928285790455879,True
D981,0.6539589442815249,True
D982,0.17728605705145295,True
D983,0.2585977072780592,True
D984,0.15995734470807785,True
D985,0.19434817382031458,True
D986,0.36923487070114636,True
D987,0.19328179152226074,True
D988,0.2863236470274593,True
D989,0.5750466542255399,True
D990,0.5137296720874434,True
D991,0.20687816582244734,True
D992,0.4508131165022661,True
D993,0.43588376432951215,True
D994,0.1668888296454279,True
D995,0.3894961343641696,True
D996,0.480138629698747,True
D997,0.30125299920021326,True
D998,0.5977072780591842,True
D999,0.2793921620901093,True
D1000,0.4142895227939216,True
D1001,0.8155158624366835,True
D1002,0.33830978405758466,True
D1003,0.29138896294321515,True
D1004,0.5515862436683551,True
D1005,0.6400959744068249,True
D1006,0.23487070114636097,True
D1007,0.23273793655025327,True
D1008,0.27326046387629965,True
D1009,0.26472940549186885,True
D1010,0.28152492668621704,True
D1011,0.2625966408957611,True
D1012,0.3225806451612903,True
D1013,0.17088776326312982,True
D1014,0.22154092242068782,True
D1015,0.36923487070114636,True
D1016,0.6598240469208211,True
D1017,0.2767262063449747,True
D1018,0.48840309250866437,True
D1019,0.241802186083711,True
D1020,0.2911223673687017,True
D1021,0.33457744601439615,True
D1022,0.6318315115969075,True
D1023,0.19088243135163957,True
D1024,0.36790189282857905,True
D1025,0.1327645961077046,True
D1026,0.332178085843775,True
D1027,0.3631031724873367,True
D1028,0.24100239936017062,True
D1029,0.3020527859237537,True
D1030,0.2476672887230072,True
D1031,0.8061850173287124,True
D1032,0.48200479872034124,True
D1033,0.2903225806451613,True
D1034,0.697147427352706,True
D1035,0.14022927219408157,True
D1036,0.5281258331111703,True
D1037,0.32311383631031726,True
D1038,0.3196480938416422,True
D1039,0.4217541988802986,True
D1040,0.2988536390295921,True
D1041,0.3324446814182885,True
D1042,0.29698747000799786,True
D1043,0.1543588376432951,True
D1044,0.5374566782191416,True
D1045,0.2202079445481205,True
D1046,0.26766195681151694,True
D1047,0.3367102106105039,True
D1048,0.26712876566249,True
D1049,0.22047454012263396,True
D1050,0.43348440415889095,True
D1051,0.6249000266595575,True
D1052,0.3495067981871501,True
D1053,0.1263663023193815,True
D1054,0.20421221007731272,True
D1055,0.22287390029325513,True
D1056,0.4564116235670488,True
D1057,0.664889362836577,True
D1058,0.23806984804052253,True
D1059,0.37776592908557716,True
D1060,0.241802186083711,True
D1061,0.25219941348973607,True
D1062,0.43854972007464676,True
D1063,0.30391895494534793,True
D1064,0.28152492668621704,True
D1065,0.15835777126099707,True
D1066,0.32871234337509997,True
D1067,0.3327112769928019,True
D1068,0.18368435083977605,True
D1069,0.33830978405758466,True
D1070,0.21727539322847242,True
D1071,0.17355371900826447,True
D1072,0.3519061583577713,True
D1073,0.3516395627832578,True
D1074,0.18581711543588375,True
D1075,0.6475606504932018,True
D1076,0.4337509997334044,True
D1077,0.7008797653958945,True
D1078,0.4780058651026393,True
D1079,0.1154358837643295,True
D1080,0.2583311117035457,True
D1081,0.07917888563049853,True
D1082,0.14609437483337775,True
D1083,0.3657691282324713,True
D1084,0.23593708344441483,True
D1085,0.051452945881098375,True
D1086,0.19701412956544923,True
D1087,0.22633964276193017,True
D1088,0.3529725406558251,True
D1089,0.35937083444414825,True
D1090,0.364436150359904,True
D1091,0.23886963476406292,True
D1092,0.12823247134097573,True
D1093,0.2092775259930685,True
D1094,0.36097040789122903,True
D1095,0.2036790189282858,True
D1096,0.5131964809384164,True
D1097,0.17515329245534525,True
D1098,0.19008264462809918,True
D1099,0.19461476939482805,True
D1100,0.3220474540122634,True
D1101,0.2426019728072514,True
D1102,0.12876566249000265,True
D1103,0.147960543854972,True
D1104,0.12529992002132764,True
D1105,0.13942948547054118,True
D1106,0.27059450813116503,True
D1107,0.27752599306851505,True
D1108,0.21407624633431085,True
D1109,0.5630498533724341,True
D1110,0.14636097040789123,True
D1111,0.20474540122633964,True
D1112,0.14529458810983736,True
D1113,0.1855505198613703,True
D1114,0.12529992002132764,True
D1115,0.1516928818981605,True
D1116,0.3100506531591576,True
D1117,0.31751532924553455,True
D1118,0.4636097040789123,True
D1119,0.1956811516928819,True
