row_index,Activity
0,1
2,1
3,1
4,0
5,0
6,1
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
29,1
30,0
31,0
32,0
34,1
35,1
36,1
38,1
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,1
48,0
49,0
50,1
51,1
52,0
53,0
54,1
56,0
57,0
58,1
60,0
61,1
62,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
81,0
82,1
83,1
84,1
85,1
86,0
87,0
90,1
91,1
93,1
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,0
106,1
107,1
108,0
109,1
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
119,1
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,1
130,0
131,1
132,1
134,1
135,0
136,0
137,0
138,0
139,0
141,1
142,1
144,1
145,1
148,0
149,0
150,0
151,1
152,1
153,1
155,0
156,1
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,0
171,0
175,1
176,0
178,0
180,0
181,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,1
195,1
197,1
198,0
199,0
200,1
201,1
203,1
204,1
205,0
206,0
207,1
208,1
210,0
212,0
213,0
214,1
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,1
225,0
226,0
227,0
228,1
230,0
232,1
233,1
234,0
237,0
238,1
239,0
241,0
244,0
245,1
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
261,1
262,1
265,0
266,0
267,0
268,1
269,0
270,1
272,0
273,0
275,1
276,1
277,1
278,1
279,1
281,0
283,1
285,0
287,1
288,0
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
311,1
312,0
313,0
314,0
315,1
317,1
318,0
319,1
320,1
322,0
323,1
324,0
325,0
326,1
328,1
329,0
330,0
331,1
332,1
333,1
334,0
335,0
336,0
337,1
338,0
340,1
342,1
343,0
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,1
359,1
360,0
361,1
362,0
364,1
365,1
366,0
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,1
378,0
379,1
380,0
381,0
382,0
383,0
384,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,0
399,0
400,1
401,1
402,1
404,0
405,1
406,1
407,0
409,0
410,1
411,1
412,1
413,0
414,1
415,0
417,1
418,1
419,1
421,1
424,1
425,1
426,1
429,1
430,1
432,0
433,0
434,1
436,0
437,0
438,1
439,1
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,1
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,0
470,1
472,1
473,0
474,1
475,1
477,1
478,0
479,0
480,1
482,1
483,1
484,0
485,0
486,0
487,0
488,1
490,0
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,0
499,0
501,0
502,0
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,1
512,1
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,1
531,0
532,1
533,0
535,1
536,1
537,0
539,0
540,0
541,1
542,1
543,1
544,0
545,0
546,0
547,1
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
568,1
569,1
570,1
572,0
573,0
574,0
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,1
587,1
588,0
589,1
590,1
591,1
593,0
594,0
595,0
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,0
608,0
609,1
610,1
612,1
613,1
618,1
619,1
621,0
622,1
624,1
625,0
627,1
628,0
629,1
631,0
632,1
634,1
637,1
638,0
640,0
641,0
642,0
643,1
644,0
645,1
646,1
647,1
649,1
650,1
651,1
652,1
653,0
654,1
656,1
657,1
658,1
659,0
660,1
661,1
663,1
664,1
665,0
667,1
669,0
670,1
671,1
672,1
674,1
675,1
676,1
678,1
679,0
680,1
681,1
682,0
683,0
684,0
685,0
686,1
687,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,0
697,1
698,0
699,0
701,0
702,0
704,0
706,1
707,1
708,0
709,1
710,1
711,0
712,1
714,1
715,0
717,0
718,1
719,1
721,0
722,0
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,0
731,1
735,0
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,1
746,0
747,0
748,0
749,0
750,0
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,0
759,0
760,0
762,0
763,0
764,0
766,0
768,0
769,0
770,1
771,0
772,0
773,1
774,0
775,1
776,0
778,1
779,1
780,0
781,1
782,1
784,1
786,1
787,0
788,1
789,1
790,0
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,0
808,0
809,1
810,1
811,1
812,1
814,0
815,0
816,0
818,0
819,1
820,1
821,1
822,0
823,1
824,1
825,1
826,0
828,1
830,1
831,1
832,1
833,0
834,0
835,1
836,0
837,0
838,1
841,1
842,1
844,1
845,0
847,0
848,0
849,1
850,0
852,0
853,1
854,0
855,1
856,0
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,0
870,1
871,0
873,0
874,1
875,0
876,0
877,0
878,0
879,1
880,0
881,1
883,0
886,1
887,0
888,1
889,0
890,0
891,0
892,1
893,0
894,0
896,1
898,0
899,1
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,1
909,1
910,1
911,1
912,0
913,1
914,1
915,1
916,0
917,1
918,1
919,0
920,1
921,0
922,0
923,0
924,0
926,1
927,1
928,0
929,0
930,0
931,1
932,1
933,1
934,0
935,0
936,1
937,0
938,1
940,1
941,0
942,1
943,0
944,1
945,0
946,1
947,1
951,1
952,0
954,1
957,1
958,1
959,0
960,0
961,1
962,1
963,1
964,0
965,1
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,1
975,1
977,1
978,0
979,0
980,1
981,1
982,1
