gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,mean_within_gower,eigengap,kmeans_inertia_spectral,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
classic,,,0.1937503218650818,2.0,0.3875006437301636,2,0.3238230621763022,0.7495214493614167,0.1592613352132241,0.020650506570370847,283.58097291554793,True,188,1058,2693,"[2693, 1058]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,2,0.3140246922038323,0.6901307282294634,0.15979673850337142,0.06301693759695931,398.7466853765407,True,188,1099,2652,"[2652, 1099]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,4,0.18123026180826446,0.7300465473647634,0.1427879383669875,0.0014751236692806926,269.2390113358153,True,188,188,1428,"[1428, 1267, 868, 188]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,4,0.1773222251323316,0.8411646469622317,0.4130235091654942,0.07750618236805375,124.80579200574194,True,188,490,1267,"[1267, 1056, 938, 490]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,4,0.17725316797890056,0.8098812437209926,0.41301091031580506,0.01448440064823546,161.14817374171906,True,188,492,1267,"[492, 1267, 1056, 936]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,4,0.17687164682504383,0.7999857426845979,0.41317389722118764,0.0031081894944794764,174.18974185156884,True,188,481,1267,"[947, 1267, 1056, 481]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,4,0.1732687023183623,0.8376427455429822,0.35224787635659577,0.07433816858123245,130.65089587603745,True,188,477,1267,"[477, 1267, 1056, 951]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,4,0.17318319144458577,0.8054276667282584,0.35224752303869,0.01371251495003067,169.30144029678613,True,188,478,1267,"[1056, 1267, 950, 478]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,4,0.17277627221921554,0.7939439593735119,0.352275282901595,0.002916378926217541,183.63331709597793,True,188,481,1267,"[1267, 947, 1056, 481]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,4,0.16791380405365025,0.8309996314541819,0.29129541796432784,0.06969075975911836,140.28814234600003,True,188,476,1267,"[1056, 1267, 952, 476]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,5,0.16764373240945146,0.7448466022143229,0.4106478799657502,0.026468363638206774,290.95316314309775,True,188,347,1255,"[1255, 1056, 599, 494, 347]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,1.0,0.35377925634384155,4,0.1672691414349802,0.7954963589133935,0.2913297144663086,0.012576145917644298,184.0018746685348,True,188,481,1267,"[947, 1267, 1056, 481]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,2.0,0.7075585126876831,4,0.16637121502413244,0.7820080987229012,0.2913873225245401,0.002632671115661591,200.99161431467488,True,188,488,1267,"[1267, 1056, 940, 488]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,3,0.16603295545875826,0.7886016670690069,0.1563655966500464,0.0038847686251435795,199.6179400168787,True,188,1056,1431,"[1264, 1431, 1056]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,3,0.1660060992370357,0.8142182071943224,0.15638682192985887,0.015181712447614147,158.32759205732418,True,188,1056,1429,"[1056, 1429, 1266]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,5,0.16408484777613752,0.6830023993227601,0.4092288772024077,0.007612553446463026,370.46538013991426,True,188,494,1090,"[503, 608, 1056, 494, 1090]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,5,0.16403087202644498,0.7369274319249384,0.3500208101384926,0.027740478758819243,301.0668333052222,True,188,364,1237,"[364, 1056, 1237, 494, 600]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,5,0.16394407443206238,0.6677397459031801,0.4092294292951776,0.0018100534762480608,397.54305368334076,True,188,494,1087,"[494, 1087, 609, 1056, 505]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,5,0.161452907852405,0.6797011998045873,0.3489349095675717,0.007799164170402868,377.7258968078173,True,188,494,1088,"[1088, 1056, 608, 494, 505]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,5,0.1613490233626468,0.6645096653762087,0.34893684179709616,0.0018582453314903548,405.20833022911097,True,188,494,1086,"[1086, 506, 1056, 609, 494]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,3,0.16068399298850214,0.6878710881998392,0.4288481568415205,0.04070959433716334,537.0176167715376,True,188,1056,1428,"[1267, 1428, 1056]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,3,0.16068399298850214,0.7441755961042607,0.4288481568415205,0.01325451492150577,351.079302245108,True,188,1056,1428,"[1428, 1267, 1056]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,3,0.16068399298850214,0.7525104132156496,0.4288481568415205,0.0036760422237812583,323.4023407851656,True,188,1056,1428,"[1267, 1056, 1428]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,3,0.1585996757970826,0.6850734983044131,0.36484981390319055,0.040346223630746136,538.6952285662412,True,188,1056,1428,"[1056, 1428, 1267]"
