cluster,direction,rank,feature,difference_from_global_mean,cluster_mean,global_mean
0,positive,1,D1337,0.5791048313042448,0.8243727598566308,0.24526792855238602
0,positive,2,D1366,0.5677745193874226,0.8082437275985663,0.2404692082111437
0,positive,3,D1232,0.5551852839242868,0.7903225806451613,0.23513729672087444
0,positive,4,D1406,0.5532968986048165,0.7876344086021505,0.23433750999733405
0,positive,5,D1385,0.5419665866879944,0.771505376344086,0.2295387896560917
0,positive,6,D1299,0.5407076631416807,0.7697132616487455,0.22900559850706478
0,positive,7,D1266,0.533783583636956,0.7598566308243727,0.2260730471874167
0,positive,8,D1241,0.5117524215764685,0.728494623655914,0.21674220207944547
0,positive,9,D1285,0.5073461891643709,0.7222222222222222,0.21487603305785125
0,positive,10,D1403,0.5054578038449006,0.7195340501792115,0.21407624633431085
0,positive,11,D1397,0.5010515714328031,0.7132616487455197,0.2122100773127166
0,positive,12,D1315,0.47902040937231555,0.681899641577061,0.2028792322047454
0,positive,13,D1244,0.47524363873337483,0.6765232974910395,0.20127965875766463
0,positive,14,D1376,0.4632838650433958,0.6594982078853047,0.19621434284190883
0,positive,15,D1291,0.4613954797239255,0.6568100358422939,0.19541455611836844
0,negative,1,D990,-0.35691963624514944,0.15681003584229392,0.5137296720874434
0,negative,2,D974,-0.3321114369501466,0.29838709677419356,0.6304985337243402
0,negative,3,D1044,-0.31971474273527056,0.21774193548387097,0.5374566782191416
0,negative,4,D992,-0.28325039248792916,0.16756272401433692,0.4508131165022661
0,negative,5,D993,-0.20022068189223616,0.235663082437276,0.43588376432951215
0,negative,6,D1012,-0.1711469534050179,0.15143369175627241,0.3225806451612903
0,negative,7,D978,-0.16967327231256848,0.18996415770609318,0.35963743001866166
0,negative,8,D1100,-0.16344530347462902,0.1586021505376344,0.3220474540122634
0,negative,9,D968,-0.16158653988566013,0.26523297491039427,0.4268195147960544
0,negative,10,D960,-0.15081904084836634,0.2885304659498208,0.43934950679818713
0,negative,11,D1005,-0.13919991705915458,0.5008960573476703,0.6400959744068249
0,negative,12,D1016,-0.1320462691430433,0.5277777777777778,0.6598240469208211
0,negative,13,D975,-0.13178707900115527,0.24731182795698925,0.3790989069581445
0,negative,14,D997,-0.12024941497082259,0.18100358422939067,0.30125299920021326
0,negative,15,D972,-0.11316241594833976,0.42562724014336917,0.5387896560917089
1,positive,1,D990,0.15116596358618095,0.6648956356736243,0.5137296720874434
1,positive,2,D974,0.14065896153182678,0.771157495256167,0.6304985337243402
1,positive,3,D1044,0.13540859692317342,0.672865275142315,0.5374566782191416
1,positive,4,D992,0.1199648721125347,0.5707779886148008,0.4508131165022661
1,positive,5,D993,0.08479934762494701,0.5206831119544592,0.43588376432951215
1,positive,6,D1012,0.07248576850094879,0.3950664136622391,0.3225806451612903
1,positive,7,D978,0.07186162121473494,0.4314990512333966,0.35963743001866166
1,positive,8,D1100,0.06922389323631345,0.3912713472485769,0.3220474540122634
1,positive,9,D968,0.06843665218686779,0.4952561669829222,0.4268195147960544
1,positive,10,D960,0.06387629965342573,0.5032258064516129,0.43934950679818713
1,positive,11,D1005,0.05895525898975962,0.6990512333965845,0.6400959744068249
1,positive,12,D1016,0.05592547869587716,0.7157495256166982,0.6598240469208211
1,positive,13,D975,0.0558157040475481,0.4349146110056926,0.3790989069581445
1,positive,14,D997,0.05092916398764252,0.3521821631878558,0.30125299920021326
1,positive,15,D972,0.047927611460473196,0.5867172675521821,0.5387896560917089
1,negative,1,D1337,-0.24526792855238602,0.0,0.24526792855238602
1,negative,2,D1366,-0.2404692082111437,0.0,0.2404692082111437
1,negative,3,D1232,-0.23513729672087444,0.0,0.23513729672087444
1,negative,4,D1406,-0.23433750999733405,0.0,0.23433750999733405
1,negative,5,D1385,-0.2295387896560917,0.0,0.2295387896560917
1,negative,6,D1299,-0.22900559850706478,0.0,0.22900559850706478
1,negative,7,D1266,-0.2260730471874167,0.0,0.2260730471874167
1,negative,8,D1241,-0.21674220207944547,0.0,0.21674220207944547
1,negative,9,D1285,-0.21487603305785125,0.0,0.21487603305785125
1,negative,10,D1403,-0.21407624633431085,0.0,0.21407624633431085
1,negative,11,D1397,-0.2122100773127166,0.0,0.2122100773127166
1,negative,12,D1315,-0.2028792322047454,0.0,0.2028792322047454
1,negative,13,D1244,-0.20127965875766463,0.0,0.20127965875766463
1,negative,14,D1376,-0.19621434284190883,0.0,0.19621434284190883
1,negative,15,D1291,-0.19541455611836844,0.0,0.19541455611836844
