k,gamma,silhouette_original,silhouette_spectral,valid,cluster_sizes
2,0.0001,0.23480291134653217,0.7172072386042966,True,"{0: 2687, 1: 1064}"
3,0.0001,0.1084075440508907,0.8452316112456013,True,"{0: 1428, 1: 1267, 2: 1056}"
4,0.0001,0.11918055354422967,0.8010370905022404,False,"{0: 1428, 1: 1267, 2: 883, 3: 173}"
5,0.0001,0.05775526264016367,0.6539638269542657,False,"{0: 811, 1: 1264, 2: 173, 3: 882, 4: 621}"
6,0.0001,0.05943612199519477,0.5273623816989975,False,"{0: 173, 1: 821, 2: 510, 3: 608, 4: 585, 5: 1054}"
7,0.0001,0.05979517913789535,0.44543673018245317,False,"{0: 516, 1: 609, 2: 816, 3: 505, 4: 573, 5: 559, 6: 173}"
2,0.0005,0.2319337592394459,0.7035110582931059,True,"{0: 2673, 1: 1078}"
3,0.0005,0.1084075440508907,0.8476146259015713,True,"{0: 1428, 1: 1267, 2: 1056}"
4,0.0005,0.11918055354422967,0.7990521509929438,False,"{0: 1428, 1: 1267, 2: 883, 3: 173}"
5,0.0005,0.058164101688438975,0.6627062236565086,False,"{0: 815, 1: 1265, 2: 173, 3: 882, 4: 616}"
6,0.0005,0.058611357920401994,0.5301586123438098,False,"{0: 609, 1: 1031, 2: 510, 3: 173, 4: 821, 5: 607}"
7,0.0005,0.05977437706730773,0.4484394201470902,False,"{0: 561, 1: 574, 2: 816, 3: 504, 4: 609, 5: 514, 6: 173}"
2,0.001,0.22413296234776364,0.6825241609398275,True,"{0: 1116, 1: 2635}"
3,0.001,0.1084075440508907,0.850268886603298,True,"{0: 1428, 1: 1267, 2: 1056}"
4,0.001,0.11918055354422967,0.7962870507672077,False,"{0: 1428, 1: 1267, 2: 883, 3: 173}"
5,0.001,0.05865987134870303,0.6699606790648777,False,"{0: 817, 1: 1267, 2: 173, 3: 883, 4: 611}"
6,0.001,0.0587206143796697,0.5358592947009406,False,"{0: 608, 1: 1032, 2: 503, 3: 173, 4: 821, 5: 614}"
7,0.001,0.05833785377572248,0.45186745394266425,False,"{0: 502, 1: 559, 2: 767, 3: 609, 4: 577, 5: 173, 6: 564}"
2,0.002,0.1543142798562619,0.6157423947474486,True,"{0: 1574, 1: 2177}"
3,0.002,0.1084075440508907,0.854645744861441,True,"{0: 1428, 1: 1267, 2: 1056}"
4,0.002,0.11918055354422967,0.7898364647322687,False,"{0: 1428, 1: 1267, 2: 883, 3: 173}"
5,0.002,0.058740370220878094,0.6772193418367399,False,"{0: 612, 1: 173, 2: 883, 3: 1267, 4: 816}"
6,0.002,0.05880968343842772,0.5450164529237691,False,"{0: 1032, 1: 501, 2: 610, 3: 823, 4: 173, 5: 612}"
7,0.002,0.05862786152167954,0.4589273241596211,False,"{0: 610, 1: 564, 2: 497, 3: 770, 4: 173, 5: 561, 6: 576}"
2,0.005,0.10056072725491606,0.72893359148468,True,"{0: 1469, 1: 2282}"
3,0.005,0.1084075440508907,0.8623071431035985,True,"{0: 1428, 1: 1267, 2: 1056}"
4,0.005,0.04787626431038707,0.7168654222658928,True,"{0: 796, 1: 1267, 2: 1056, 3: 632}"
5,0.005,0.05880294790813996,0.6977731384353631,False,"{0: 806, 1: 1267, 2: 173, 3: 883, 4: 622}"
6,0.005,0.05896028045001186,0.5678439573337511,False,"{0: 495, 1: 829, 2: 1026, 3: 610, 4: 618, 5: 173}"
7,0.005,0.06512662468761994,0.4887604460825199,False,"{0: 610, 1: 1068, 2: 173, 3: 495, 4: 573, 5: 539, 6: 293}"
