k,inertia,silhouette
2,232713.05829023884,0.24060493097540425
3,210991.83136765118,0.12462924076392767
4,200640.1647425608,0.13684562940987716
5,194341.55661694027,0.0776187689509207
6,190505.75163913867,0.08362643370997266
7,187054.9823940682,0.08377600041584175
8,183030.48070785854,0.09270435021516311
9,179806.1480657686,0.09915157302083116
10,176757.66643449722,0.10079178181466383
11,174371.9076448708,0.10469577822656802
12,171891.99594387691,0.10863993043439786
13,168994.1597918892,0.11292369597176614
14,166479.0924399033,0.11743002531898321
15,164198.00520421224,0.11148831076511397
