split,repeat,fold,k,train_size,validation_size,remaining_features,pca_components,explained_variance,mean_validation_within_variance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size
1,1,1,2,3000,751,1516,231,0.9006476126410343,57.007527772543035,0.24320226319051044,2,209,542
1,1,1,3,3000,751,1516,231,0.9006476126410343,51.18216567250408,0.1373006533641851,3,209,289
1,1,1,4,3000,751,1516,231,0.9006476126410343,48.73832347724006,0.1488989015730734,4,33,289
1,1,1,5,3000,751,1516,231,0.9006476126410343,47.021226295139854,0.09652172820115909,5,33,253
1,1,1,6,3000,751,1516,231,0.9006476126410343,45.857892769687545,0.10696652862237599,6,33,253
1,1,1,7,3000,751,1516,231,0.9006476126410343,45.4020638718179,0.10098363632428378,7,32,221
1,1,1,8,3000,751,1516,231,0.9006476126410343,44.09195553562553,0.10756321365402602,8,33,139
1,1,1,9,3000,751,1516,231,0.9006476126410343,43.26597204154372,0.11222137628977952,9,33,140
1,1,1,10,3000,751,1516,231,0.9006476126410343,42.55847555753724,0.11564685627028738,10,33,123
2,1,2,2,3001,750,1514,232,0.9001947598253853,58.05008380016132,0.23924825741128605,2,202,548
2,1,2,3,3001,750,1514,232,0.9001947598253853,52.250747021813005,0.12862125072155128,3,202,279
2,1,2,4,3001,750,1514,232,0.9001947598253853,49.40996796807186,0.14225550559630123,4,36,279
2,1,2,5,3001,750,1514,232,0.9001947598253853,47.80786915212893,0.08539756527497178,5,36,269
2,1,2,6,3001,750,1514,232,0.9001947598253853,46.99028097189318,0.08800880363793552,6,36,269
2,1,2,7,3001,750,1514,232,0.9001947598253853,46.10707424215405,0.08406729055718984,7,36,184
2,1,2,8,3001,750,1514,232,0.9001947598253853,45.11019410931876,0.09606070714037378,8,36,142
2,1,2,9,3001,750,1514,232,0.9001947598253853,44.48358840261545,0.09999275842794092,9,16,154
2,1,2,10,3001,750,1514,232,0.9001947598253853,43.649478265470854,0.11161868165590587,10,16,181
3,1,3,2,3001,750,1509,232,0.9002650928396013,59.457763171004714,0.23554886036281303,2,218,532
3,1,3,3,3001,750,1509,232,0.9002650928396013,53.72201057361249,0.12973537099430105,3,218,277
3,1,3,4,3001,750,1509,232,0.9002650928396013,50.52002966080102,0.145105083177233,4,40,277
3,1,3,5,3001,750,1509,232,0.9002650928396013,48.9568524108297,0.0888103342474104,5,40,255
3,1,3,6,3001,750,1509,232,0.9002650928396013,47.930865307042005,0.09718511782401618,6,40,255
3,1,3,7,3001,750,1509,232,0.9002650928396013,46.808301871869,0.1014114548890207,7,40,255
3,1,3,8,3001,750,1509,232,0.9002650928396013,45.786015509676005,0.10817912460710484,8,40,208
3,1,3,9,3001,750,1509,232,0.9002650928396013,44.924126473181,0.1063858836527432,9,27,150
3,1,3,10,3001,750,1509,232,0.9002650928396013,44.09820653974238,0.11143051586014997,10,32,125
4,1,4,2,3001,750,1516,231,0.9005452516439637,58.28007071616726,0.23466157763106135,2,224,526
4,1,4,3,3001,750,1516,231,0.9005452516439637,52.64453604591618,0.1357136963436155,3,224,289
4,1,4,4,3001,750,1516,231,0.9005452516439637,50.077922939922466,0.14820657335829837,4,34,289
4,1,4,5,3001,750,1516,231,0.9005452516439637,48.46200338129961,0.08635090730852367,5,34,237
4,1,4,6,3001,750,1516,231,0.9005452516439637,47.42537649496443,0.09599724125203661,6,34,237
4,1,4,7,3001,750,1516,231,0.9005452516439637,46.48346053049306,0.09731068517684195,7,34,190
4,1,4,8,3001,750,1516,231,0.9005452516439637,45.42279132591719,0.10065844568229826,8,34,140
4,1,4,9,3001,750,1516,231,0.9005452516439637,44.73279159900812,0.10294384975315862,9,34,142
4,1,4,10,3001,750,1516,231,0.9005452516439637,43.981758890149386,0.10793423305240324,10,33,128
5,1,5,2,3001,750,1525,232,0.9000784335007912,57.19705381624786,0.23802294245403435,2,203,547
5,1,5,3,3001,750,1525,232,0.9000784335007912,51.35479136161253,0.13607705109576995,3,203,294
5,1,5,4,3001,750,1525,232,0.9000784335007912,49.154144938732905,0.14649665572176745,4,30,294
5,1,5,5,3001,750,1525,232,0.9000784335007912,47.467482770981974,0.08524458842617393,5,30,253
5,1,5,6,3001,750,1525,232,0.9000784335007912,46.342825523660224,0.0949982165308169,6,30,253
5,1,5,7,3001,750,1525,232,0.9000784335007912,45.32370687412185,0.09873269506349902,7,30,253
5,1,5,8,3001,750,1525,232,0.9000784335007912,44.32741775333183,0.10121122714225442,8,30,127
5,1,5,9,3001,750,1525,232,0.9000784335007912,43.54069206151943,0.10484884159167912,9,17,135
5,1,5,10,3001,750,1525,232,0.9000784335007912,42.7246411441019,0.11057265615928427,10,17,121
6,2,1,2,3000,751,1515,230,0.9000510117873598,58.32752209301224,0.23899940945132347,2,212,539
6,2,1,3,3000,751,1515,230,0.9000510117873598,52.69770518383846,0.12754480587813846,3,212,274
6,2,1,4,3000,751,1515,230,0.9000510117873598,49.67543595467256,0.1417977746318077,4,37,274
6,2,1,5,3000,751,1515,230,0.9000510117873598,47.99124377333178,0.09128729495079825,5,37,265
6,2,1,6,3000,751,1515,230,0.9000510117873598,46.99645652761512,0.09931542661271275,6,37,265
6,2,1,7,3000,751,1515,230,0.9000510117873598,46.16048010820869,0.10003507688587848,7,37,265
6,2,1,8,3000,751,1515,230,0.9000510117873598,45.131389383128976,0.1025536077026951,8,37,140
6,2,1,9,3000,751,1515,230,0.9000510117873598,44.342086339681664,0.10711634467747744,9,37,158
6,2,1,10,3000,751,1515,230,0.9000510117873598,43.43261417024135,0.11348863240861304,10,31,134
7,2,2,2,3001,750,1523,232,0.9000365327799393,58.22995760144338,0.22914973209121756,2,229,521
7,2,2,3,3001,750,1523,232,0.9000365327799393,52.57514686319709,0.13620480032529364,3,229,285
7,2,2,4,3001,750,1523,232,0.9000365327799393,50.464694693714556,0.14627543739171514,4,27,285
7,2,2,5,3001,750,1523,232,0.9000365327799393,48.89799247739479,0.08393261439724234,5,27,236
7,2,2,6,3001,750,1523,232,0.9000365327799393,47.81450244868048,0.09567486148787004,6,27,236
7,2,2,7,3001,750,1523,232,0.9000365327799393,46.74690316755703,0.09899345146427584,7,27,236
7,2,2,8,3001,750,1523,232,0.9000365327799393,45.79595156272495,0.10032833586724028,8,27,134
7,2,2,9,3001,750,1523,232,0.9000365327799393,45.155585701046355,0.10231431538881884,9,27,134
7,2,2,10,3001,750,1523,232,0.9000365327799393,44.11436565779842,0.10699284733648742,10,26,134
8,2,3,2,3001,750,1502,231,0.9003244323706492,59.43193666709069,0.23878488600185316,2,217,533
8,2,3,3,3001,750,1502,231,0.9003244323706492,53.964663190699106,0.12756783964665125,3,217,289
8,2,3,4,3001,750,1502,231,0.9003244323706492,50.81919889989876,0.14271828074670034,4,45,289
8,2,3,5,3001,750,1502,231,0.9003244323706492,49.264136208210715,0.08232857458575765,5,45,244
8,2,3,6,3001,750,1502,231,0.9003244323706492,48.27584952801447,0.08562652375430328,6,45,244
8,2,3,7,3001,750,1502,231,0.9003244323706492,47.02417517681673,0.09830429588233718,7,45,244
8,2,3,8,3001,750,1502,231,0.9003244323706492,46.07980753815178,0.10140329759902221,8,45,134
8,2,3,9,3001,750,1502,231,0.9003244323706492,45.425479043127424,0.10634798561661819,9,41,127
8,2,3,10,3001,750,1502,231,0.9003244323706492,44.54763439146198,0.11022967117533275,10,16,109
9,2,4,2,3001,750,1517,233,0.9005079371588889,57.78368048993463,0.2417401650841966,2,199,551
9,2,4,3,3001,750,1517,233,0.9005079371588889,51.62496639059596,0.13892486211619626,3,199,287
9,2,4,4,3001,750,1517,233,0.9005079371588889,49.032805182407046,0.15107692447219995,4,32,287
9,2,4,5,3001,750,1517,233,0.9005079371588889,47.29830924822914,0.09134476982481105,5,32,264
9,2,4,6,3001,750,1517,233,0.9005079371588889,46.33929951322885,0.09745538452872267,6,32,264
9,2,4,7,3001,750,1517,233,0.9005079371588889,45.64629417364899,0.0980251441040051,7,31,264
9,2,4,8,3001,750,1517,233,0.9005079371588889,44.5830939591644,0.1049968178333974,8,32,231
9,2,4,9,3001,750,1517,233,0.9005079371588889,43.72687798272567,0.10261991566093849,9,32,139
9,2,4,10,3001,750,1517,233,0.9005079371588889,43.055168770852006,0.10630339422391315,10,32,131
10,2,5,2,3001,750,1518,231,0.9000259901934402,56.53850721198931,0.2435641790924222,2,199,551
10,2,5,3,3001,750,1518,231,0.9000259901934402,50.63555201779956,0.13826782450649058,3,199,293
10,2,5,4,3001,750,1518,231,0.9000259901934402,48.25959498156508,0.1498060177272105,4,32,293
