split,repeat,fold,train_size,validation_size,original_features,quasi_constant_removed,features_after_quasi_constant,binary_features_after_quasi_constant,numeric_features_after_quasi_constant,numeric_numeric_pairs_above_threshold,binary_binary_pairs_above_threshold,numeric_binary_pairs_above_threshold,correlated_features_removed,remaining_features,quasi_constant_feature_names,correlated_feature_names,pca_components,explained_variance
1,1,1,3000,751,1776,260,1516,825,691,0,0,0,0,1516,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D552;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1615;D1617;D1670;D1708;D1776,,231,0.9006476126410343
2,1,2,3001,750,1776,262,1514,822,692,0,0,0,0,1514,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D577;D580;D581;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1475;D1487;D1597;D1621;D1655;D1671;D1685;D1708;D1748,,232,0.9001947598253853
3,1,3,3001,750,1776,267,1509,820,689,0,0,0,0,1509,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D264;D269;D271;D273;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D321;D322;D323;D324;D331;D332;D333;D345;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D409;D411;D412;D413;D414;D425;D437;D438;D439;D450;D467;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D603;D604;D605;D606;D616;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D681;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1557;D1570;D1597;D1600;D1621;D1667;D1670;D1685;D1708;D1756,,232,0.9002650928396013
4,1,4,3001,750,1776,260,1516,827,689,0,0,0,0,1516,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D345;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D486;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D681;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D855;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1487;D1635;D1671;D1708;D1719,,231,0.9005452516439637
5,1,5,3001,750,1776,251,1525,827,698,0,0,0,0,1525,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D855;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1597;D1708;D1719,,232,0.9000784335007912
6,2,1,3000,751,1776,261,1515,823,692,0,0,0,0,1515,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D486;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D577;D580;D581;D603;D604;D605;D606;D616;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D798;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1487;D1557;D1570;D1597;D1647;D1667;D1670;D1708,,230,0.9000510117873598
7,2,2,3001,750,1776,253,1523,828,695,0,0,0,0,1523,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1670;D1708,,232,0.9000365327799393
8,2,3,3001,750,1776,274,1502,813,689,0,0,0,0,1502,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D681;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D760;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1485;D1487;D1490;D1522;D1600;D1617;D1621;D1635;D1647;D1670;D1671;D1685;D1708;D1719;D1721;D1740;D1748;D1756,,231,0.9003244323706492
9,2,4,3001,750,1776,259,1517,824,693,0,0,0,0,1517,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D552;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D602;D603;D604;D605;D606;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1597;D1621;D1655;D1671;D1685;D1708,,233,0.9005079371588889
10,2,5,3001,750,1776,257,1519,830,689,1,0,0,1,1518,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D321;D322;D323;D324;D331;D332;D333;D345;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D867;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1487;D1708,D519,231,0.9000259901934402
