fold,k,mean_validation_within_distance,mean_validation_silhouette,non_empty_clusters,minimum_cluster_size,maximum_cluster_size,remaining_features,pca_components,explained_variance
1,2,58.244703611965846,0.24610832966190818,2,101,275,1520,235,0.9002580804696114
1,3,52.33484576293221,0.13208320830858858,3,101,141,1520,235,0.9002580804696114
1,4,49.43100273548265,0.14549127861216468,4,21,141,1520,235,0.9002580804696114
1,5,47.73148136151739,0.09110230206294354,5,21,134,1520,235,0.9002580804696114
1,6,46.96751566966887,0.09193821482743753,6,21,134,1520,235,0.9002580804696114
1,7,45.90115911085385,0.10435050412947304,7,21,134,1520,235,0.9002580804696114
1,8,45.05345855495965,0.10437901190120029,8,21,110,1520,235,0.9002580804696114
1,9,44.009281883518504,0.10760467411186446,9,9,68,1520,235,0.9002580804696114
1,10,43.27993314968718,0.11258101106017628,10,9,65,1520,235,0.9002580804696114
2,2,56.56883523489961,0.23968557012067299,2,108,267,1522,236,0.9006205467825323
2,3,50.81768058547581,0.14024474568910786,3,108,148,1522,236,0.9006205467825323
2,4,48.826027271115414,0.14972266382680063,4,12,148,1522,236,0.9006205467825323
2,5,46.99525170942293,0.09566724031019157,5,12,119,1522,236,0.9006205467825323
2,6,45.87544201891863,0.10697153426475324,6,12,119,1522,236,0.9006205467825323
2,7,44.986187606370095,0.10581226834886227,7,12,96,1522,236,0.9006205467825323
2,8,43.974114352805366,0.10888350398157047,8,12,64,1522,236,0.9006205467825323
2,9,43.16149165399248,0.1121453034981783,9,12,64,1522,236,0.9006205467825323
2,10,42.955120003322875,0.11180258274869156,10,1,99,1522,236,0.9006205467825323
3,2,59.669772046616686,0.23677112219359722,2,103,272,1523,236,0.9000229319372431
3,3,53.86497480924472,0.12322305292742881,3,103,136,1523,236,0.9000229319372431
3,4,50.49725881525374,0.138685464730201,4,20,136,1523,236,0.9000229319372431
3,5,49.05598618105702,0.07868365093646194,5,20,136,1523,236,0.9000229319372431
