gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,eigengap,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
classical,,,0.1937503218650818,2.0,0.3875006437301636,2,0.3238230621763022,0.7495214493614172,0.020650506570370816,True,188,1058,2693,"[2693, 1058]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,2,0.3140246922038323,0.6901307282294651,0.06301693759695935,True,188,1099,2652,"[1099, 2652]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,4,0.18123026180826446,0.7300465473647632,0.0014751236692807012,True,188,188,1428,"[868, 1428, 1267, 188]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,3,0.16603295545875826,0.7886016670690066,0.003884768625143588,True,188,1056,1431,"[1264, 1431, 1056]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,3,0.1660060992370357,0.8142182071943231,0.01518171244761432,True,188,1056,1429,"[1056, 1266, 1429]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,8,0.09656433507525873,0.38445559436103377,0.0011475730814977207,True,188,284,743,"[312, 743, 487, 284, 407, 456, 377, 685]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,6,0.0899246801314151,0.3920620632402514,0.0028327314617297913,True,188,486,782,"[491, 486, 728, 700, 564, 782]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,2,0.6206561791904645,0.9997510873671813,0.2070782769384797,False,188,3,3748,"[3748, 3]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,4,0.42700412691534045,0.9425056646871977,0.2939135211541303,False,188,34,3584,"[3584, 34, 38, 95]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,3,0.4207585797413676,0.9530183462094112,0.09798797048063446,False,188,68,3603,"[3603, 80, 68]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,5,0.31694569332267875,0.7619125066297298,0.07287952726628066,False,188,39,2743,"[2743, 39, 98, 832, 39]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,4,0.18201866843529776,0.7849006835686212,0.009017807010861977,False,188,173,1429,"[1266, 1429, 883, 173]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,6,0.1744667619788842,0.7007282623751282,0.01007215787274135,False,188,31,1434,"[520, 1434, 1262, 36, 468, 31]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,8,0.15542425867122084,0.7164168492260462,0.010956021742850097,False,188,14,1429,"[830, 1429, 890, 90, 443, 14, 29, 26]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,9,0.1554154440605121,0.7171411117695792,0.014231678829527389,False,188,14,1429,"[1429, 847, 891, 85, 14, 19, 15, 26, 425]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,5,0.15276545181549656,0.5216805147356253,0.0012449043780434028,False,188,173,1225,"[799, 1225, 488, 1066, 173]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,6,0.15168810427735302,0.4160468474377129,0.0008991668440989321,False,188,173,1197,"[502, 1197, 1068, 314, 497, 173]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,7,0.14858410898564345,0.7097910057090655,0.04317931320875379,False,188,18,1429,"[1429, 965, 848, 36, 18, 30, 425]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,5,0.14586554770157512,0.531465608891059,0.004552521437603145,False,188,173,1185,"[806, 1185, 1065, 173, 522]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,10,0.12596351868831357,0.3751347804215644,0.0015324882927233979,False,188,173,614,"[301, 614, 480, 344, 309, 173, 491, 323, 442, 274]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,10,0.11271142956208238,0.30952345889171984,0.0001752265946240901,False,188,173,608,"[276, 608, 351, 523, 333, 264, 173, 492, 401, 330]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,9,0.10958114843209314,0.39863040930599575,0.0008386126126733486,False,188,173,747,"[270, 747, 460, 681, 305, 374, 255, 486, 173]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,9,0.10207352179633607,0.33998877572665703,0.00016026050329115806,False,188,173,609,"[600, 522, 500, 609, 312, 420, 318, 297, 173]"
classical,,,0.1937503218650818,1.0,0.1937503218650818,7,0.09660028755113878,0.38708169373313545,0.00183638416003536,False,188,173,743,"[552, 743, 428, 552, 685, 618, 173]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,8,0.09631748649426036,0.3301108267704601,0.00031572381824233236,False,188,173,754,"[173, 275, 675, 337, 526, 562, 449, 754]"
classical,,,0.1937503218650818,2.0,0.3875006437301636,7,0.09627978516702035,0.37080544297130824,0.0010684381599783068,False,188,173,745,"[173, 745, 612, 579, 683, 526, 433]"
classical,,,0.1937503218650818,0.5,0.0968751609325409,10,0.08623029129979042,0.6275207260212066,0.009047744687770254,False,188,14,890,"[785, 841, 890, 26, 644, 430, 14, 19, 87, 15]"
