gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,eigengap,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,4,0.1732687023183623,0.8376427455429826,0.07433816858123224,True,188,477,1267,"[951, 1267, 1056, 477]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,4,0.17318319144458577,0.8054276667282584,0.01371251495003067,True,188,478,1267,"[1056, 1267, 950, 478]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,4,0.17277627221921554,0.7939439593735119,0.002916378926217541,True,188,481,1267,"[1267, 1056, 947, 481]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,5,0.16403087202644498,0.7369274319249381,0.02774047875881938,True,188,364,1237,"[1237, 1056, 600, 494, 364]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,5,0.161452907852405,0.6797011998045873,0.007799164170402868,True,188,494,1088,"[505, 1056, 494, 1088, 608]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,5,0.1613490233626468,0.6645096653762087,0.0018582453314903548,True,188,494,1086,"[1056, 1086, 494, 609, 506]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,3,0.1585996757970826,0.6850734983044132,0.04034622363074583,True,188,1056,1428,"[1267, 1428, 1056]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,3,0.1585996757970826,0.7427171683207793,0.013017071516905537,True,188,1056,1428,"[1267, 1428, 1056]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,3,0.1585996757970826,0.7516103639033049,0.0036126854826119548,True,188,1056,1428,"[1267, 1056, 1428]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,2,0.15485536446834536,0.8857951034205682,0.10547801726343223,True,188,1428,2323,"[1428, 2323]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,2,0.15485536446834536,0.8720364005455765,0.03311293566151628,True,188,1428,2323,"[2323, 1428]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,2,0.15485536446834536,0.8671904786268809,0.008510714233354073,True,188,1428,2323,"[1428, 2323]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,6,0.13131768754472098,0.5431998524389566,0.0015942342113152725,True,188,341,1056,"[494, 625, 632, 1056, 341, 603]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,8,0.1310148999968515,0.4386716161727785,0.0007675859258821256,True,188,290,845,"[386, 312, 566, 329, 845, 438, 585, 290]"
weighted_alpha_0.5,0.5,0.5,0.43060219287872314,2.0,0.8612043857574463,8,0.13089116558892652,0.43084835168528673,0.0002717760225256125,True,188,284,849,"[565, 319, 849, 388, 577, 328, 441, 284]"
