gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,eigengap,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,2,0.2159692160113493,0.6549434755832442,0.019032437045991293,True,188,1431,2320,"[2320, 1431]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,2,0.1907509757937438,0.641188906036878,0.06260371786501923,True,188,1611,2140,"[2140, 1611]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,3,0.0704371711577572,0.4261339904639359,0.0026993141634855805,True,188,1007,1438,"[1306, 1438, 1007]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,4,0.06909478881231525,0.5939487550622408,0.020522645159475716,True,188,596,1365,"[1365, 990, 596, 800]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,5,0.06852866452071947,0.32461390917356364,0.0020404238167233595,True,188,494,1145,"[554, 1145, 895, 494, 663]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,5,0.0676111748453988,0.33961581191738266,0.007021234386180828,True,188,468,1120,"[640, 578, 1120, 945, 468]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,6,0.05722765507548163,0.2875676067631298,0.0028470765932837767,True,188,460,771,"[747, 678, 771, 460, 597, 498]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,3,0.05519716856725425,0.40654670606937066,0.0011572362488711276,True,188,971,1511,"[971, 1511, 1269]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,6,0.05382661433799884,0.27111823312590644,0.0004222729507409014,True,188,461,798,"[590, 798, 745, 495, 461, 662]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,7,0.04690761532795519,0.25018176963261696,0.00035900052087431064,True,188,445,774,"[774, 512, 453, 445, 466, 546, 555]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,4,0.04503415220224873,0.39387890979535634,0.008201722075876747,True,188,777,1021,"[1008, 945, 1021, 777]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,7,0.04247423546152067,0.23159554457863918,0.00021871280627711303,True,188,448,784,"[784, 448, 512, 463, 519, 473, 552]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,4,0.04171133051484963,0.3696471090317038,0.0019971946442022123,True,188,815,1023,"[815, 984, 1023, 929]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,2,0.4371329195341042,0.9750607844695014,0.20942295057604143,False,188,55,3696,"[3696, 55]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,3,0.2756461899117235,0.734008944911814,0.13541142587113936,False,188,152,3048,"[3048, 152, 551]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,6,0.08360971457007974,0.5721334209622037,0.05440085958659063,False,188,30,1349,"[872, 1349, 118, 924, 458, 30]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,5,0.07453570548204798,0.5964815178665006,0.036328294736114985,False,188,57,1360,"[993, 1360, 824, 517, 57]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,8,0.07108706290283236,0.2410304395144166,0.0006224189133390481,False,188,179,813,"[556, 813, 317, 384, 620, 432, 450, 179]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,9,0.05902960063356702,0.23448309892757707,0.0019407940817020748,False,188,169,689,"[411, 535, 689, 400, 290, 395, 486, 376, 169]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,8,0.05824252720348211,0.25565902211342445,0.0032852941698710593,False,188,174,757,"[439, 757, 520, 398, 525, 459, 479, 174]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,10,0.05504841620295371,0.2304421817162868,0.0026646587937593728,False,188,171,685,"[282, 685, 389, 314, 384, 266, 171, 419, 529, 312]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,10,0.05269042201239658,0.2169583614001283,0.0005592852702543025,False,188,171,684,"[401, 275, 286, 317, 382, 332, 520, 383, 684, 171]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,9,0.051676752299985605,0.2132910768558832,0.0007580239827978661,False,188,179,679,"[397, 679, 412, 310, 489, 529, 445, 311, 179]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,8,0.046239903925938096,0.47086599170423465,0.011936522777601238,False,188,88,795,"[153, 625, 378, 795, 752, 341, 88, 619]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,9,0.04334791499164428,0.41322957945261024,0.01135839349059617,False,188,91,656,"[433, 356, 564, 482, 225, 540, 404, 656, 91]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,10,0.0397661324805838,0.39655104431990584,0.011466575427129894,False,188,132,650,"[132, 650, 455, 206, 364, 431, 217, 561, 453, 282]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,7,0.039139115737133176,0.48748264188327584,0.022116007317886766,False,188,30,865,"[483, 859, 865, 786, 30, 567, 161]"
