comparison,candidate_partition,reference_partition,candidate_k,reference_k,same_resolution,adjusted_rand_index
mixed_quantile_classical_selected_vs_mixed_quantile_balanced_selected,mixed_quantile_classical_selected,mixed_quantile_balanced_selected,2,4,False,0.3219608230916372
mixed_quantile_classical_selected_vs_mixed_classical_selected,mixed_quantile_classical_selected,mixed_classical_selected,2,2,True,0.6386653190420518
mixed_quantile_balanced_selected_vs_mixed_classical_selected,mixed_quantile_balanced_selected,mixed_classical_selected,4,2,False,0.4105947574149392
mixed_quantile_classical_selected_vs_mixed_balanced_selected,mixed_quantile_classical_selected,mixed_balanced_selected,2,4,False,0.3177872313895073
mixed_quantile_balanced_selected_vs_mixed_balanced_selected,mixed_quantile_balanced_selected,mixed_balanced_selected,4,4,True,0.9835747262515852
mixed_quantile_classical_selected_vs_binary_selected,mixed_quantile_classical_selected,binary_selected,2,4,False,0.31595235424428025
mixed_quantile_balanced_selected_vs_binary_selected,mixed_quantile_balanced_selected,binary_selected,4,4,True,0.9763395295823232
mixed_quantile_classical_selected_vs_numeric_selected,mixed_quantile_classical_selected,numeric_selected,2,4,False,0.15311594158116446
mixed_quantile_balanced_selected_vs_numeric_selected,mixed_quantile_balanced_selected,numeric_selected,4,4,True,0.11584128950714133
mixed_quantile_classical_selected_vs_numeric_quantile_selected,mixed_quantile_classical_selected,numeric_quantile_selected,2,2,True,0.46461702333568955
mixed_quantile_balanced_selected_vs_numeric_quantile_selected,mixed_quantile_balanced_selected,numeric_quantile_selected,4,2,False,0.1317043902382122
mixed_quantile_balanced_k2_vs_mixed_balanced_k2,mixed_quantile_balanced_k2,mixed_balanced_k2,2,2,True,1.0
mixed_quantile_balanced_k2_vs_binary_k2,mixed_quantile_balanced_k2,binary_k2,2,2,True,1.0
mixed_quantile_balanced_k2_vs_numeric_k2,mixed_quantile_balanced_k2,numeric_k2,2,2,True,-0.0006144556508843487
mixed_quantile_balanced_k2_vs_numeric_quantile_k2,mixed_quantile_balanced_k2,numeric_quantile_k2,2,2,True,0.189559969874699
mixed_quantile_balanced_k3_vs_mixed_balanced_k3,mixed_quantile_balanced_k3,mixed_balanced_k3,3,3,True,1.0
mixed_quantile_balanced_k3_vs_binary_k3,mixed_quantile_balanced_k3,binary_k3,3,3,True,1.0
mixed_quantile_balanced_k3_vs_numeric_k3,mixed_quantile_balanced_k3,numeric_k3,3,3,True,0.24437390362798686
mixed_quantile_balanced_k3_vs_numeric_quantile_k3,mixed_quantile_balanced_k3,numeric_quantile_k3,3,3,True,0.20496343140032067
mixed_quantile_balanced_k4_vs_mixed_balanced_k4,mixed_quantile_balanced_k4,mixed_balanced_k4,4,4,True,0.9835747262515852
mixed_quantile_balanced_k4_vs_binary_k4,mixed_quantile_balanced_k4,binary_k4,4,4,True,0.9763395295823232
mixed_quantile_balanced_k4_vs_numeric_k4,mixed_quantile_balanced_k4,numeric_k4,4,4,True,0.11507818006730362
mixed_quantile_balanced_k4_vs_numeric_quantile_k4,mixed_quantile_balanced_k4,numeric_quantile_k4,4,4,True,0.11416478676898724
