component,explained_variance_ratio,cumulative_explained_variance
PC1,0.14399097041501596,0.14399097041501596
PC2,0.06622418653927876,0.2102151569542947
PC3,0.03542598801948087,0.2456411449737756
PC4,0.027544843068888936,0.27318598804266453
PC5,0.025824858623151932,0.29901084666581645
PC6,0.020962838613651554,0.319973685279468
PC7,0.019468074945417704,0.3394417602248857
PC8,0.016284131322635165,0.3557258915475209
PC9,0.014037491185877599,0.3697633827333985
PC10,0.012541017580649046,0.38230440031404755
PC11,0.011908723518140955,0.3942131238321885
PC12,0.011067413877380895,0.4052805377095694
PC13,0.010569254009652593,0.415849791719222
PC14,0.010066773798218529,0.4259165655174405
PC15,0.00972155061803247,0.435638116135473
PC16,0.009417259757063859,0.44505537589253685
PC17,0.008654288107519694,0.4537096640000565
PC18,0.008596828632514203,0.46230649263257073
PC19,0.008188051450596808,0.47049454408316754
PC20,0.007882535736638527,0.4783770798198061
PC21,0.007628434478780465,0.48600551429858657
PC22,0.007288127007879277,0.49329364130646586
PC23,0.006938719135406103,0.5002323604418719
PC24,0.0068301938600114276,0.5070625543018833
PC25,0.006656788783020208,0.5137193430849035
PC26,0.0065265524623552475,0.5202458955472588
PC27,0.006255071568403977,0.5265009671156627
PC28,0.005887643070963636,0.5323886101866264
PC29,0.005385947862968493,0.537774558049595
PC30,0.005236127897360035,0.543010685946955
PC31,0.005041810918880158,0.5480524968658351
PC32,0.004946847766784311,0.5529993446326195
PC33,0.0048798117375252244,0.5578791563701447
PC34,0.004836728450710196,0.5627158848208549
PC35,0.004726632670425049,0.5674425174912799
PC36,0.004664073440084728,0.5721065909313646
PC37,0.0044215245256196125,0.5765281154569842
PC38,0.004275203593792663,0.5808033190507769
PC39,0.004242105300804307,0.5850454243515811
PC40,0.004114896035841596,0.5891603203874227
PC41,0.004022620706651601,0.5931829410940743
PC42,0.003912486250940536,0.5970954273450149
PC43,0.003845692042651148,0.600941119387666
PC44,0.003827080485237746,0.6047681998729038
PC45,0.003756876053972673,0.6085250759268764
PC46,0.003673455735597141,0.6121985316624736
PC47,0.0036404479889267246,0.6158389796514003
PC48,0.0035897317026617956,0.6194287113540621
PC49,0.003527944706373735,0.6229566560604358
PC50,0.003490725001323202,0.626447381061759
PC51,0.0034065092908761294,0.6298538903526352
PC52,0.003346231702217727,0.6332001220548529
PC53,0.003304063109799061,0.6365041851646519
PC54,0.0032290992248849024,0.6397332843895368
PC55,0.003149081261075034,0.6428823656506119
PC56,0.0031125770093124163,0.6459949426599243
PC57,0.0030882791941410797,0.6490832218540654
PC58,0.0029522828226192076,0.6520355046766846
PC59,0.0029474559248053767,0.65498296060149
