sample_index,cluster,Activity
0,1,1
1,0,1
2,1,1
3,1,1
4,1,0
5,2,0
6,2,1
7,0,1
8,1,1
9,3,0
10,1,1
11,3,0
12,2,1
13,3,1
14,1,1
15,1,1
16,3,1
17,1,1
18,1,1
19,3,0
20,2,0
21,3,1
22,3,0
23,1,0
24,1,0
25,1,1
26,1,1
27,2,0
28,2,1
29,3,1
30,3,0
31,3,0
32,1,0
33,0,1
34,1,1
35,3,1
36,2,1
37,2,0
38,1,1
39,3,1
40,3,1
41,1,0
42,1,0
43,3,0
44,1,1
45,3,1
46,1,1
47,2,1
48,1,0
49,3,0
50,3,1
51,2,1
52,1,0
53,3,0
54,2,1
55,2,1
56,1,0
57,1,0
58,3,1
59,2,1
60,3,0
61,1,1
62,3,0
63,2,0
64,3,0
65,2,0
66,1,0
67,3,1
68,1,0
69,1,1
70,1,0
71,3,0
72,1,1
73,3,0
74,3,1
75,3,1
76,1,1
77,1,1
78,1,1
79,1,0
80,2,1
81,1,0
82,1,1
83,2,1
84,3,1
85,1,1
86,1,0
87,3,0
88,2,1
89,2,0
90,2,1
91,1,1
92,0,1
93,1,1
94,2,1
95,2,1
96,1,1
97,1,1
98,3,1
99,1,0
100,1,0
101,1,1
102,3,0
103,1,1
104,2,0
105,2,1
106,2,1
107,3,1
108,1,0
109,3,1
110,1,0
111,1,0
112,2,0
113,2,1
114,3,1
115,3,0
116,2,1
117,2,0
118,2,1
119,3,1
120,1,0
121,3,0
122,3,1
123,3,0
124,3,1
125,2,1
126,3,1
127,1,0
128,2,1
129,0,1
130,3,0
131,2,1
132,1,1
133,2,1
134,3,1
135,1,0
136,1,0
137,1,0
138,3,0
139,3,0
140,2,1
141,3,1
142,3,1
143,2,1
144,1,1
145,3,1
146,2,1
147,2,1
148,2,0
149,1,0
150,1,0
151,3,1
152,2,1
153,3,1
154,0,1
155,3,0
156,1,1
157,2,0
158,3,0
159,1,1
160,3,0
161,1,0
162,1,1
163,1,0
164,3,0
165,1,0
166,1,0
167,1,1
168,3,1
169,1,0
170,2,1
171,1,0
172,2,1
173,2,1
174,0,1
175,2,1
176,2,0
177,2,1
178,1,0
179,2,0
180,3,0
181,1,1
182,0,0
183,1,1
184,3,1
185,1,1
186,1,1
187,3,1
188,1,0
189,3,0
190,3,1
191,1,1
192,1,1
193,1,1
194,0,0
195,1,1
196,2,1
197,3,1
198,3,0
199,3,0
200,2,1
201,1,1
202,0,0
203,2,1
204,1,1
205,1,0
206,1,0
207,3,1
208,1,1
209,0,0
210,2,0
211,2,1
212,2,0
213,1,0
214,1,1
215,2,0
216,1,1
217,1,0
218,1,1
219,3,1
220,1,0
221,1,0
222,1,1
223,3,1
224,2,1
225,3,0
226,3,0
227,1,0
228,3,1
229,2,1
230,1,0
231,2,1
232,2,1
233,1,1
234,3,0
235,0,1
236,2,1
237,3,0
238,1,1
239,3,0
240,2,1
241,1,0
242,2,0
243,2,0
244,1,0
245,1,1
246,1,0
247,3,1
248,3,0
249,2,0
250,3,1
251,1,1
252,1,0
253,3,0
254,3,1
255,1,1
256,2,0
257,1,1
258,1,1
259,2,1
260,0,1
261,3,1
262,2,1
263,0,1
264,2,0
265,2,0
266,3,0
267,1,0
268,3,1
269,1,0
270,3,1
271,2,1
272,1,0
273,3,0
274,2,1
275,1,1
276,2,1
277,1,1
278,3,1
279,1,1
280,2,0
281,1,0
282,2,1
283,3,1
284,2,1
285,2,0
286,2,1
287,1,1
288,3,0
289,3,0
290,1,1
291,3,1
292,3,1
293,2,1
294,3,1
295,3,1
296,3,0
297,3,1
298,1,0
299,0,1
300,2,1
301,1,0
302,3,1
303,3,1
304,1,1
305,3,0
306,3,0
307,1,0
308,1,0
309,3,1
310,2,0
311,2,1
312,3,0
313,3,0
314,3,0
315,2,1
316,2,0
317,3,1
318,1,0
319,3,1
320,1,1
321,2,0
322,1,0
323,3,1
324,3,0
325,2,0
326,3,1
327,0,1
328,3,1
329,3,0
330,3,0
331,1,1
332,3,1
333,3,1
334,1,0
335,1,0
336,2,0
337,1,1
338,2,0
339,2,1
340,1,1
341,0,0
342,1,1
343,3,0
344,0,1
345,2,0
346,1,1
347,3,1
348,1,0
349,1,1
350,3,0
351,3,0
352,3,0
353,1,1
354,3,1
355,1,0
356,1,0
357,3,0
358,3,1
359,1,1
360,1,0
361,3,1
362,2,0
363,0,1
364,2,1
365,3,1
366,1,0
367,0,1
368,3,1
369,3,1
370,3,1
371,1,0
372,3,1
373,3,1
374,3,1
375,1,0
376,1,1
377,2,1
378,3,0
379,2,1
380,1,0
381,3,0
382,1,0
383,1,0
384,3,0
385,0,1
386,1,0
387,3,1
388,1,1
389,1,1
390,2,1
391,1,1
392,3,1
393,1,0
394,1,1
395,3,0
396,1,0
397,3,0
398,0,1
399,3,0
400,1,1
401,1,1
402,1,1
403,2,1
404,3,0
405,1,1
406,1,1
407,1,0
408,2,1
409,1,0
410,1,1
411,3,1
412,3,1
413,1,0
414,1,1
415,3,0
416,2,0
417,1,1
418,3,1
419,1,1
420,2,1
421,1,1
422,0,1
423,2,1
424,3,1
425,2,1
426,1,1
427,0,1
428,2,1
429,1,1
430,3,1
431,2,1
432,3,0
433,2,0
434,2,1
435,2,1
436,3,0
437,3,0
438,3,1
439,3,1
440,3,0
441,2,1
442,2,1
443,1,0
444,3,0
445,3,1
446,1,0
447,1,0
448,1,0
449,2,0
450,3,1
451,1,0
452,1,0
453,1,0
454,1,1
455,2,0
456,3,1
457,1,1
458,1,0
459,1,0
460,3,1
461,2,1
462,1,1
463,2,1
464,3,1
465,2,0
466,3,0
467,1,0
468,1,1
469,1,0
470,1,1
471,2,1
472,2,1
473,3,0
474,1,1
475,3,1
476,2,1
477,3,1
478,3,0
479,3,0
480,3,1
481,2,0
482,1,1
483,3,1
484,3,0
485,2,0
486,3,0
487,3,0
488,3,1
489,2,1
490,3,0
491,2,1
492,3,1
493,3,1
494,1,0
495,1,1
496,3,0
497,1,1
498,1,0
499,1,0
500,2,0
501,3,0
502,3,0
503,2,0
504,1,1
505,2,1
506,3,1
507,2,0
508,3,1
509,3,1
510,1,0
511,1,1
512,1,1
513,0,1
514,1,0
515,1,1
516,1,1
517,1,0
518,3,0
519,1,0
520,1,1
521,1,0
522,1,0
523,3,0
524,3,1
525,1,0
526,3,1
527,3,1
528,0,0
529,0,1
530,0,1
531,2,0
532,3,1
533,1,0
534,2,1
535,1,1
536,1,1
537,2,0
538,2,1
539,1,0
540,3,0
541,1,1
542,3,1
543,3,1
544,3,0
545,1,0
546,1,0
547,2,1
548,2,1
549,3,0
550,1,0
551,1,0
552,3,0
553,1,0
554,3,1
555,3,1
556,1,0
557,1,0
558,2,0
559,1,1
560,1,1
561,1,1
562,1,1
563,3,0
564,3,1
565,2,1
566,2,1
567,2,1
568,2,1
569,3,1
570,3,1
571,2,1
572,1,0
573,1,0
574,1,0
575,2,0
576,1,1
577,1,1
578,1,0
579,1,0
580,1,0
581,3,1
582,1,1
583,3,0
584,3,0
585,3,1
586,2,1
587,1,1
588,3,0
589,3,1
590,3,1
591,1,1
592,2,1
593,1,0
594,3,0
595,1,0
596,0,0
