feature,column_cluster,is_binary
D1,0,False
D2,2,False
D3,0,False
D4,0,False
D5,1,False
D6,2,False
D7,1,False
D8,1,False
D9,2,False
D10,1,False
D11,1,False
D12,0,False
D13,0,False
D14,0,False
D15,2,False
D16,1,False
D17,2,False
D18,1,False
D19,3,False
D20,0,False
D21,0,False
D22,0,False
D23,2,True
D24,0,False
D25,2,False
D26,2,False
D27,2,True
D28,2,True
D29,0,False
D30,1,False
D31,0,False
D32,0,False
D33,0,False
D34,0,False
D35,0,False
D36,0,False
D37,0,False
D38,0,False
D39,3,False
D40,0,False
D41,0,False
D42,0,False
D43,0,False
D44,0,False
D45,1,False
D46,1,False
D47,1,False
D48,0,False
D49,0,False
D50,2,False
D51,1,True
D52,2,False
D53,0,False
D54,0,False
D55,0,False
D56,0,False
D57,0,False
D58,0,False
D59,0,False
D60,0,False
D61,0,False
D62,0,False
D63,0,False
D64,0,False
D65,0,False
D66,0,False
D67,3,False
D68,0,False
D69,0,False
D70,2,False
D71,0,False
D73,0,False
D74,1,False
D75,0,False
D76,0,False
D77,0,False
D78,0,False
D79,1,False
D80,0,False
D81,0,False
D82,0,False
D83,3,False
D84,0,False
D85,0,False
D86,0,False
D87,1,False
D88,0,False
D89,2,False
D90,1,False
D91,1,False
D92,0,False
D93,0,False
D94,1,True
D95,0,False
D96,0,False
D97,0,False
D98,0,False
D99,2,False
D100,2,False
D101,0,False
D102,3,False
D103,1,False
D104,2,False
D105,2,False
D106,1,False
D107,2,False
D108,0,False
D109,0,False
D110,0,False
D111,0,False
D112,0,False
D113,0,False
D114,0,False
D115,0,False
D116,0,False
D117,0,False
D118,0,False
D119,0,False
D120,0,False
D121,0,False
D122,0,False
D123,0,False
D124,0,False
D125,0,False
D126,1,False
D127,0,False
D128,0,False
D129,0,False
D130,0,False
D131,3,False
D132,0,False
D133,0,False
D134,0,False
D135,0,False
D136,0,False
D137,0,False
D138,0,False
D139,0,False
D140,0,False
D141,0,False
D142,0,False
D143,0,False
D144,0,False
D145,3,False
D146,3,False
D147,0,False
D148,0,False
D149,0,False
D150,3,False
D151,0,False
D152,3,False
D153,0,False
D154,0,False
D155,0,False
D156,0,False
D157,0,False
D158,0,False
D159,0,False
D160,0,False
D161,0,False
D162,0,False
D163,0,False
D164,0,False
