model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,n_rows,n_activity_0,n_activity_1,activity_1_fraction
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,0,2695,1290,1405,0.5213358070500927
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,1,1056,427,629,0.5956439393939394
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,0,2695,1290,1405,0.5213358070500927
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,1,1056,427,629,0.5956439393939394
bistochastic_r2_c4_seed42,bistochastic,2,4,8,42,0,2695,1290,1405,0.5213358070500927
bistochastic_r2_c4_seed42,bistochastic,2,4,8,42,1,1056,427,629,0.5956439393939394
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,0,2695,1290,1405,0.5213358070500927
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,1,1056,427,629,0.5956439393939394
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,0,2695,1290,1405,0.5213358070500927
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,1,1056,427,629,0.5956439393939394
bistochastic_r3_c2_seed42,bistochastic,3,2,6,42,0,1277,550,727,0.5693030540328896
bistochastic_r3_c2_seed42,bistochastic,3,2,6,42,1,1056,427,629,0.5956439393939394
bistochastic_r3_c2_seed42,bistochastic,3,2,6,42,2,1418,740,678,0.4781382228490832
bistochastic_r3_c3_seed42,bistochastic,3,3,9,42,0,1418,740,678,0.4781382228490832
bistochastic_r3_c3_seed42,bistochastic,3,3,9,42,1,1056,427,629,0.5956439393939394
bistochastic_r3_c3_seed42,bistochastic,3,3,9,42,2,1277,550,727,0.5693030540328896
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,0,1418,740,678,0.4781382228490832
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,1,1056,427,629,0.5956439393939394
bistochastic_r3_c4_seed42,bistochastic,3,4,12,42,2,1277,550,727,0.5693030540328896
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,0,1277,550,727,0.5693030540328896
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,1,1056,427,629,0.5956439393939394
bistochastic_r3_c5_seed42,bistochastic,3,5,15,42,2,1418,740,678,0.4781382228490832
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,0,1277,550,727,0.5693030540328896
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,1,1056,427,629,0.5956439393939394
bistochastic_r3_c6_seed42,bistochastic,3,6,18,42,2,1418,740,678,0.4781382228490832
bistochastic_r4_c2_seed42,bistochastic,4,2,8,42,0,675,262,413,0.6118518518518519
bistochastic_r4_c2_seed42,bistochastic,4,2,8,42,1,1277,550,727,0.5693030540328896
bistochastic_r4_c2_seed42,bistochastic,4,2,8,42,2,1418,740,678,0.4781382228490832
bistochastic_r4_c2_seed42,bistochastic,4,2,8,42,3,381,165,216,0.5669291338582677
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,0,1277,550,727,0.5693030540328896
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,1,383,165,218,0.5691906005221932
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,2,1418,740,678,0.4781382228490832
bistochastic_r4_c3_seed42,bistochastic,4,3,12,42,3,673,262,411,0.6106983655274889
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,0,1277,550,727,0.5693030540328896
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,1,383,165,218,0.5691906005221932
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,2,1418,740,678,0.4781382228490832
bistochastic_r4_c4_seed42,bistochastic,4,4,16,42,3,673,262,411,0.6106983655274889
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,0,675,262,413,0.6118518518518519
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,1,1277,550,727,0.5693030540328896
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,2,1418,740,678,0.4781382228490832
bistochastic_r4_c5_seed42,bistochastic,4,5,20,42,3,381,165,216,0.5669291338582677
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,0,675,262,413,0.6118518518518519
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,1,1277,550,727,0.5693030540328896
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,2,1418,740,678,0.4781382228490832
bistochastic_r4_c6_seed42,bistochastic,4,6,24,42,3,381,165,216,0.5669291338582677
