model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction,numeric_one_fraction
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,0,0,2695,1324,3568180,679,645,0.5128398791540786,626,0.472809667673716,0.022326832506751625,0.1174957244327895,0.9077518510837458,0.09224814891625423,0.01149143336750242,1829905,0.02220005956593375,0.14733369241691713,0.9777999404340663,0.02220005956593375,1738275,0.022460288052201755,0.07407226760926319,0.8340113043103077,0.00016338036271591088
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,0,1,2695,199,536305,149,50,0.7487437185929648,0,0.0,0.422901200069453,0.44510285718069387,0.47307968413496054,0.5269203158650395,0.1511073591390956,401555,0.38503069318026173,0.48660256728606444,0.6149693068197383,0.38503069318026173,134750,0.535755310599243,0.25667772766665903,0.05024860853432282,0.04154359925788497
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,1,0,1056,1324,1398144,679,645,0.5128398791540786,626,0.472809667673716,0.12420579467242143,0.3066433338496225,0.7685495914583905,0.23145040854160945,0.0694305832689417,717024,0.20090540902396573,0.4006774583737882,0.7990945909760343,0.20090540902396573,681120,0.04346309987443916,0.10629888120659386,0.7363944679351656,0.0006107587502936341
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,1,1,1056,199,210144,149,50,0.7487437185929648,0,0.0,0.49110415488873815,0.4509553616996936,0.4068210370031978,0.5931789629968022,0.15538355802166043,157344,0.465788336383974,0.49882818893144354,0.534211663616026,0.465788336383974,52800,0.5665452940329356,0.24548405972635226,0.0271969696969697,0.03984848484848485
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,0,0,2695,1017,2740815,405,612,0.39823008849557523,626,0.615535889872173,0.010239867719815821,0.05374107045457505,0.9184654929281983,0.08153450707180164,0.002442680958341523,1091475,0.001609748276414943,0.040089362515529255,0.9983902517235851,0.001609748276414943,1649340,0.01595097617500758,0.06044735708093853,0.8655741084312513,0.00016673336001067092
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,0,1,2695,379,1021405,337,42,0.8891820580474934,0,0.0,0.09934601764783998,0.2773585398916929,0.8337515481126487,0.16624845188735124,0.06305380721047422,908215,0.0903464488034221,0.28667746334867816,0.9096535511965779,0.0903464488034221,113190,0.1715568438518597,0.16996668903333567,0.2247283328915982,0.0001678593515328209
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,0,2,2695,127,342265,86,41,0.6771653543307087,0,0.0,0.5169447156943012,0.43539359783821385,0.36169342468555066,0.6383065753144493,0.14753971692905124,231770,0.4807524701212409,0.49962939524568234,0.5192475298787591,0.4807524701212409,110495,0.5928601576280375,0.2346769760471594,0.031214082085162225,0.05057242409158785
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,1,0,1056,1017,1073952,405,612,0.39823008849557523,626,0.615535889872173,0.056584061901884815,0.19593263817615836,0.8246644170316737,0.17533558296832633,0.03257443339539499,427680,0.08968621399176954,0.2857316870975148,0.9103137860082304,0.08968621399176954,646272,0.03467822596004933,0.09252726645114907,0.7679846875618934,0.0006359551396316102
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,1,1,1056,379,400224,337,42,0.8891820580474934,0,0.0,0.3542466338959857,0.4620786384339482,0.5748905612856801,0.42510943871432,0.18874945012983826,355872,0.3707400413631868,0.48300296385551234,0.6292599586368133,0.3707400413631868,44352,0.22190667398058714,0.1874771140098991,0.13864087301587302,0.00015782828282828284
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,1,2,1056,127,134112,86,41,0.6771653543307087,0,0.0,0.5541160139240113,0.431156311058819,0.3303134693390599,0.6696865306609401,0.13352140709868188,90816,0.5180805144467935,0.49967298806053073,0.48191948555320646,0.5180805144467935,43296,0.629702671364029,0.2090018645528501,0.01231060606060606,0.04854951958610495
