model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,column_cluster,n_features,feature_cluster_fraction,n_binary,n_numeric,binary_fraction,numeric_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,min_feature_zero_fraction,max_feature_zero_fraction,mean_feature_nonzero_fraction,mean_feature_value,mean_feature_std,median_unique_values
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,0,1324,0.8693368351936966,679,645,0.5128398791540786,0.4871601208459215,626,0.472809667673716,0.8685629451481619,0.942415355905092,0.0,0.9898693681684884,0.1314370548518381,0.05100829986130969,0.14839717071173433,2.0
bistochastic_r2_c2_seed42,bistochastic,2,2,4,42,1,199,0.13066316480630336,149,50,0.7487437185929648,0.25125628140703515,0,0.0,0.4544262233588631,0.5731804852039456,0.0,0.7640629165555852,0.5455737766411369,0.44210203192473563,0.3829045133564888,2.0
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,0,1017,0.6677609980302035,405,612,0.39823008849557523,0.6017699115044248,626,0.615535889872173,0.892058151913341,0.9688083177819248,0.0,0.9898693681684884,0.10794184808665903,0.0232869135892546,0.09693723721087308,6.0
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,1,379,0.24885095206828628,337,42,0.8891820580474934,0.11081794195250659,0,0.0,0.7608757277742647,0.8296454278858971,0.0,0.9368168488403092,0.2391242722257354,0.17110689494937076,0.33735843559557177,2.0
bistochastic_r2_c3_seed42,bistochastic,2,3,6,42,2,127,0.08338804990151018,86,41,0.6771653543307087,0.3228346456692913,0,0.0,0.35285918505721314,0.436950146627566,0.0,0.6824846707544655,0.6471408149427869,0.5274093627032518,0.364030195638566,2.0
bistochastic_r2_c4_seed42,bistochastic,2,4,8,42,0,188,0.12344057780695995,156,32,0.8297872340425532,0.1702127659574468,0,0.0,0.5916351384311702,0.6776859504132231,0.0,0.8331111703545722,0.4083648615688299,0.3041859570451029,0.40138685801716883,2.0
bistochastic_r2_c4_seed42,bistochastic,2,4,8,42,1,995,0.6533158240315168,374,621,0.3758793969849246,0.6241206030150753,626,0.629145728643216,0.8844338997037977,0.9701412956544921,0.0,0.9898693681684884,0.11556610029620243,0.02360962023537576,0.0935131230437366,6.0
bistochastic_r2_c4_seed42,bistochastic,2,4,8,42,2,63,0.04136572554169402,33,30,0.5238095238095238,0.47619047619047616,0,0.0,0.19050158053090605,0.1487603305785124,0.0,0.5491868834977339,0.809498419469094,0.6572942955480655,0.2961951905104061,2.0
bistochastic_r2_c4_seed42,bistochastic,2,4,8,42,3,277,0.1818778726198293,265,12,0.9566787003610109,0.04332129963898917,0,0.0,0.8562000794974531,0.8885630498533724,0.0,0.9490802452679286,0.14379992050254709,0.12066866675519886,0.3086977200085787,2.0
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,0,975,0.6401838476690742,372,603,0.38153846153846155,0.6184615384615385,626,0.642051282051282,0.8963481874918825,0.9709410823780326,0.0,0.9898693681684884,0.10365181250811749,0.020932104640592253,0.09137525219607606,6.0
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,1,105,0.06894287590282337,84,21,0.8,0.2,0,0.0,0.49552754186185277,0.5891762196747534,0.0,0.7126099706744868,0.5044724581381472,0.40564476444718484,0.41749776628517843,2.0
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,2,45,0.02954694681549573,24,21,0.5333333333333333,0.4666666666666667,0,0.0,0.16892088035783048,0.10930418555051986,0.0,0.48627032791255664,0.8310791196421696,0.7085836623162771,0.28300589784130287,2.0
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,3,215,0.14116874589625739,214,1,0.9953488372093023,0.004651162790697674,0,0.0,0.8894694748067182,0.905625166622234,0.7070114636097041,0.9490802452679286,0.11053052519328178,0.11039692729693167,0.30554420059289905,2.0
bistochastic_r2_c5_seed42,bistochastic,2,5,10,42,4,183,0.12015758371634931,134,49,0.73224043715847,0.2677595628415301,0,0.0,0.6316989422128597,0.7640629165555852,0.0,0.8861636896827513,0.36830105778714023,0.20158572079121195,0.3350844114690039,2.0
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,0,942,0.618516086671044,340,602,0.3609341825902335,0.6390658174097664,618,0.6560509554140127,0.8944802263628496,0.9724073580378565,0.0,0.9898693681684884,0.10551977363715039,0.019782065528155264,0.08680969210829892,6.0
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,1,100,0.06565988181221274,77,23,0.77,0.23,0,0.0,0.4661183684350841,0.5666488936283658,0.0,0.6960810450546521,0.533881631564916,0.4218522625581898,0.4092840043215491,2.0
bistochastic_r2_c6_seed42,bistochastic,2,6,12,42,2,52,0.034143138542350626,52,0,1.0,0.0,0,0.0,0.8190636343129012,0.829245534524127,0.6928818981604905,0.8890962410023994,0.1809363656870988,0.1809363656870988,0.3807721956322434,2.0
