method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,column_cluster,n_features,feature_cluster_fraction,n_binary_features,n_numeric_features,binary_feature_fraction,numeric_feature_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,minimum_feature_zero_fraction,maximum_feature_zero_fraction,mean_feature_value,mean_feature_std,median_unique_values
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,0,1017,0.6677609980302035,405,612,0.39823008849557523,0.6017699115044248,626,0.615535889872173,0.892058151913341,0.9688083177819248,0.0,0.9898693681684884,0.0232869135892546,0.09693723721087308,6.0
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,1,379,0.24885095206828628,337,42,0.8891820580474934,0.11081794195250659,0,0.0,0.7608757277742647,0.8296454278858971,0.0,0.9368168488403092,0.17110689494937076,0.33735843559557177,2.0
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,2,127,0.08338804990151018,86,41,0.6771653543307087,0.3228346456692913,0,0.0,0.35285918505721314,0.436950146627566,0.0,0.6824846707544655,0.5274093627032518,0.364030195638566,2.0
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,0,188,0.12344057780695995,156,32,0.8297872340425532,0.1702127659574468,0,0.0,0.5916351384311702,0.6776859504132231,0.0,0.8331111703545722,0.3041859570451029,0.40138685801716883,2.0
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,1,995,0.6533158240315168,374,621,0.3758793969849246,0.6241206030150753,626,0.629145728643216,0.8844338997037977,0.9701412956544921,0.0,0.9898693681684884,0.02360962023537576,0.0935131230437366,6.0
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,2,63,0.04136572554169402,33,30,0.5238095238095238,0.47619047619047616,0,0.0,0.19050158053090605,0.1487603305785124,0.0,0.5491868834977339,0.6572942955480655,0.2961951905104061,2.0
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,3,277,0.1818778726198293,265,12,0.9566787003610109,0.04332129963898917,0,0.0,0.8562000794974531,0.8885630498533724,0.0,0.9490802452679286,0.12066866675519886,0.3086977200085787,2.0
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0,975,0.6401838476690742,372,603,0.38153846153846155,0.6184615384615385,626,0.642051282051282,0.8963481874918825,0.9709410823780326,0.0,0.9898693681684884,0.020932104640592253,0.09137525219607606,6.0
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,1,105,0.06894287590282337,84,21,0.8,0.2,0,0.0,0.49552754186185277,0.5891762196747534,0.0,0.7126099706744868,0.40564476444718484,0.41749776628517843,2.0
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,2,45,0.02954694681549573,24,21,0.5333333333333333,0.4666666666666667,0,0.0,0.16892088035783048,0.10930418555051986,0.0,0.48627032791255664,0.7085836623162771,0.28300589784130287,2.0
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,3,215,0.14116874589625739,214,1,0.9953488372093023,0.004651162790697674,0,0.0,0.8894694748067182,0.905625166622234,0.7070114636097041,0.9490802452679286,0.11039692729693167,0.30554420059289905,2.0
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,4,183,0.12015758371634931,134,49,0.73224043715847,0.2677595628415301,0,0.0,0.6316989422128597,0.7640629165555852,0.0,0.8861636896827513,0.20158572079121195,0.3350844114690039,2.0
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,0,942,0.618516086671044,340,602,0.3609341825902335,0.6390658174097664,618,0.6560509554140127,0.8944802263628496,0.9724073580378565,0.0,0.9898693681684884,0.019782065528155264,0.08680969210829892,6.0
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,1,100,0.06565988181221274,77,23,0.77,0.23,0,0.0,0.4661183684350841,0.5666488936283658,0.0,0.6960810450546521,0.4218522625581898,0.4092840043215491,2.0
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,2,52,0.034143138542350626,52,0,1.0,0.0,0,0.0,0.8190636343129012,0.829245534524127,0.6928818981604905,0.8890962410023994,0.1809363656870988,0.3807721956322434,2.0
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,3,41,0.026920551543007223,22,19,0.5365853658536586,0.4634146341463415,0,0.0,0.16432040886657864,0.10930418555051986,0.0,0.48627032791255664,0.72138040780309,0.2808333590254359,2.0
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,4,173,0.11359159553512804,126,47,0.7283236994219653,0.27167630057803466,0,0.0,0.6192614532078536,0.7478005865102639,0.0,0.8861636896827513,0.21226592059381927,0.3418673338991681,2.0
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,5,215,0.14116874589625739,211,4,0.9813953488372092,0.018604651162790697,8,0.037209302325581395,0.9057454446256193,0.9157557984537457,0.2708611037056785,0.9605438549720074,0.08830729947752847,0.2768155866261833,2.0
bistochastic,2,7,14,42,bistochastic_r2_c7_seed42,0,940,0.6172028890347997,339,601,0.3606382978723404,0.6393617021276595,618,0.6574468085106383,0.8952846616788714,0.9725406558251133,0.0,0.9898693681684884,0.019579625024900595,0.08651833511740052,6.0
bistochastic,2,7,14,42,bistochastic_r2_c7_seed42,1,88,0.05778069599474721,70,18,0.7954545454545454,0.20454545454545456,0,0.0,0.513087419112479,0.6314316182351374,0.0,0.7523327112769927,0.3658249920345968,0.40150512631459245,2.0
bistochastic,2,7,14,42,bistochastic_r2_c7_seed42,2,201,0.1319763624425476,198,3,0.9850746268656716,0.014925373134328358,8,0.03980099502487562,0.9124770707910727,0.9184217541988803,0.4662756598240469,0.9605438549720074,0.08427482861142435,0.27260809332787383,2.0
bistochastic,2,7,14,42,bistochastic_r2_c7_seed42,3,167,0.10965200262639527,123,44,0.7365269461077845,0.2634730538922156,0,0.0,0.6426262377936741,0.769128232471341,0.0,0.8861636896827513,0.19641414034618473,0.3358906668562162,2.0
bistochastic,2,7,14,42,bistochastic_r2_c7_seed42,4,38,0.02495075508864084,19,19,0.5,0.5,0,0.0,0.14263564803771622,0.07038123167155425,0.0,0.42495334577446015,0.7340415488953471,0.26403825817989357,14.0
