method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,status,error
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,0.31154517207228605,0.04376654779575646,302986.43696974515,440096.3210349626,0.5438761462041956,0.5881520235891384,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7490744685393969,127,1017,0.08338804990151018,0.6677609980302035,0.1339659377389402,0.309783139572117,0.3402645387906647,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,ok,
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,0.34178168668902975,0.043548130149150606,289679.45812599635,440096.3210349626,0.6685510500160885,0.7782984828143416,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7055563275754347,63,995,0.04136572554169402,0.6533158240315168,0.16725705663099782,0.29773861127367995,0.38934585972041597,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,ok,
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0.3542400737012712,0.04315046089543968,284196.56783587916,440096.3210349626,0.7074877756937841,0.8302470360942121,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6865464484235566,45,975,0.02954694681549573,0.6401838476690742,0.15027531133365435,0.2914233133114416,0.4298207166365455,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,ok,
bistochastic,2,6,12,42,bistochastic_r2_c6_seed42,0.3637940299169853,0.04315570068516572,279991.90685401426,440096.3210349626,0.7168327255676922,0.8294938510966385,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6764551270086508,41,942,0.026920551543007223,0.618516086671044,0.15919388371126583,0.27174458857761674,0.43565241349198214,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,ok,
bistochastic,2,7,14,42,bistochastic_r2_c7_seed42,0.36990784433076707,0.0426016972595678,277301.23962301837,440096.3210349626,0.7294595068089181,0.8531236178681999,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6527246078193949,38,940,0.02495075508864084,0.6172028890347997,0.15452512209295005,0.26544983890199497,0.43979636977585723,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,ok,
bistochastic,2,8,16,42,bistochastic_r2_c8_seed42,0.37418232204520485,0.042430345313070855,275420.05770654837,440096.3210349626,0.7458310406192321,0.8590482318692904,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6463481067689628,22,928,0.014445173998686802,0.6093237032173342,0.15526382564324684,0.2669443160762979,0.47193306470450397,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,ok,
bistochastic,3,3,9,42,bistochastic_r3_c3_seed42,0.32207484072700265,0.04101510740226153,298352.3685330872,440096.3210349626,0.6042304449970451,0.6723184628774201,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.7410022150161044,122,1025,0.08010505581089954,0.6730137885751806,0.13041746804408638,0.3049353362465373,0.3469836114796903,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,ok,
bistochastic,3,4,12,42,bistochastic_r3_c4_seed42,0.35430375611142584,0.040904225332048794,284168.5414414554,440096.3210349626,0.7172618508327547,0.8319757018218327,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.708271882667636,63,988,0.04136572554169402,0.6487196323046619,0.15837776769768983,0.30259233130442187,0.3816558691776181,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,ok,
bistochastic,3,5,15,42,bistochastic_r3_c5_seed42,0.3693411126697851,0.04075621263028214,277550.65614203055,440096.3210349626,0.765360266867241,0.8902390604260952,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.6835438062681373,44,977,0.028890347997373604,0.6414970453053185,0.15310541875616726,0.29070025692804646,0.4298809340479064,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,ok,
bistochastic,3,6,18,42,bistochastic_r3_c6_seed42,0.37846273028734756,0.040653683345097336,273536.2657866536,440096.3210349626,0.7652232901547957,0.8901376928100245,0.9934469035701733,1056,1418,0.28152492668621704,0.37803252466009063,0.6791310067708716,44,941,0.028890347997373604,0.6178594878529219,0.15427880707307007,0.2745743527294374,0.4366571717799038,39.37559375932903,2.816426709791359e-09,2,0.1024566202842796,0.005895028177150219,483.3782991202346,ok,
