method,n_row_clusters,n_column_clusters,label_kind,first_seed,second_seed,ari
bistochastic,3,8,row,7,42,0.9975736345965248
bistochastic,3,8,row,7,99,0.989897274686138
bistochastic,3,8,row,7,123,0.46575665424304086
bistochastic,3,8,row,7,2026,0.46487190956318486
bistochastic,3,8,row,42,99,0.990617423178261
bistochastic,3,8,row,42,123,0.46618982685990795
bistochastic,3,8,row,42,2026,0.4653050777211214
bistochastic,3,8,row,99,123,0.4660198599297264
bistochastic,3,8,row,99,2026,0.46513521298220534
bistochastic,3,8,row,123,2026,0.9989600204558484
bistochastic,3,8,column,7,42,0.9878327559076636
bistochastic,3,8,column,7,99,0.9701466247598819
bistochastic,3,8,column,7,123,0.45107845923164824
bistochastic,3,8,column,7,2026,0.39391521441702176
bistochastic,3,8,column,42,99,0.9709177059445596
bistochastic,3,8,column,42,123,0.4507060662222774
bistochastic,3,8,column,42,2026,0.39188121217679045
bistochastic,3,8,column,99,123,0.4497951189249769
bistochastic,3,8,column,99,2026,0.3931636885546281
bistochastic,3,8,column,123,2026,0.7184007269954401
bistochastic,4,7,row,7,42,0.9919741618174899
bistochastic,4,7,row,7,99,0.910402672482146
bistochastic,4,7,row,7,123,0.8688315948965405
bistochastic,4,7,row,7,2026,0.8477273514333377
bistochastic,4,7,row,42,99,0.9138457311818762
bistochastic,4,7,row,42,123,0.8687072865215079
bistochastic,4,7,row,42,2026,0.8476723217535559
bistochastic,4,7,row,99,123,0.9042181801716446
bistochastic,4,7,row,99,2026,0.8834534685653738
bistochastic,4,7,row,123,2026,0.9750655457353211
bistochastic,4,7,column,7,42,0.9913851814351569
bistochastic,4,7,column,7,99,0.9649868496188391
bistochastic,4,7,column,7,123,0.4227476877584286
bistochastic,4,7,column,7,2026,0.39305481538688014
bistochastic,4,7,column,42,99,0.9666079583797392
bistochastic,4,7,column,42,123,0.421107526180899
bistochastic,4,7,column,42,2026,0.392883524036161
bistochastic,4,7,column,99,123,0.41905976889542446
bistochastic,4,7,column,99,2026,0.39335815609088015
bistochastic,4,7,column,123,2026,0.7397919758575557
bistochastic,4,8,row,7,42,0.9919741618174899
bistochastic,4,8,row,7,99,0.910402672482146
bistochastic,4,8,row,7,123,0.869191964940286
bistochastic,4,8,row,7,2026,0.8477273514333377
bistochastic,4,8,row,42,99,0.9138457311818762
bistochastic,4,8,row,42,123,0.8690875605801199
bistochastic,4,8,row,42,2026,0.8476723217535559
bistochastic,4,8,row,99,123,0.9049103524004458
bistochastic,4,8,row,99,2026,0.8834534685653738
bistochastic,4,8,row,123,2026,0.9768138714911386
bistochastic,4,8,column,7,42,0.9919472799938625
bistochastic,4,8,column,7,99,0.9694920107718165
bistochastic,4,8,column,7,123,0.436792948596381
bistochastic,4,8,column,7,2026,0.4042870209708272
bistochastic,4,8,column,42,99,0.9714821453865927
bistochastic,4,8,column,42,123,0.43458563167472436
bistochastic,4,8,column,42,2026,0.40173775847420207
bistochastic,4,8,column,99,123,0.43575255780752487
bistochastic,4,8,column,99,2026,0.4059373243871367
bistochastic,4,8,column,123,2026,0.7316879383044506
