plot_position,original_row_id,row_cluster,Activity
0,1,0,1
1,5,0,0
2,6,0,1
3,7,0,1
4,12,0,1
5,20,0,0
6,33,0,1
7,36,0,1
8,37,0,0
9,54,0,1
10,65,0,0
11,83,0,1
12,90,0,1
13,92,0,1
14,94,0,1
15,95,0,1
16,104,0,0
17,106,0,1
18,112,0,0
19,113,0,1
20,116,0,1
21,117,0,0
22,125,0,1
23,128,0,1
24,129,0,1
25,131,0,1
26,143,0,1
27,148,0,0
28,152,0,1
29,154,0,1
30,170,0,1
31,174,0,1
32,175,0,1
33,176,0,0
34,179,0,0
35,182,0,0
36,194,0,0
37,200,0,1
38,202,0,0
39,203,0,1
40,209,0,0
41,210,0,0
42,212,0,0
43,232,0,1
44,235,0,1
45,256,0,0
46,259,0,1
47,260,0,1
48,262,0,1
49,263,0,1
50,265,0,0
51,276,0,1
52,282,0,1
53,285,0,0
54,293,0,1
55,299,0,1
56,300,0,1
57,310,0,0
58,311,0,1
59,315,0,1
60,321,0,0
61,325,0,0
62,327,0,1
63,336,0,0
64,338,0,0
65,341,0,0
66,344,0,1
67,362,0,0
68,363,0,1
69,364,0,1
70,367,0,1
71,379,0,1
72,385,0,1
73,390,0,1
74,403,0,1
75,416,0,0
76,422,0,1
77,423,0,1
78,425,0,1
79,427,0,1
80,433,0,0
81,434,0,1
82,441,0,1
83,442,0,1
84,449,0,0
85,455,0,0
86,463,0,1
87,465,0,0
88,472,0,1
89,485,0,0
90,491,0,1
91,505,0,1
92,507,0,0
93,513,0,1
94,528,0,0
95,530,0,1
96,531,0,0
97,537,0,0
98,547,0,1
99,558,0,0
100,565,0,1
101,566,0,1
102,568,0,1
103,575,0,0
104,596,0,0
105,598,0,1
106,605,0,1
107,609,0,1
108,614,0,1
109,617,0,1
110,626,0,1
111,630,0,0
112,634,0,1
113,635,0,0
114,639,0,1
115,648,0,1
116,651,0,1
117,653,0,0
118,655,0,1
119,658,0,1
120,659,0,0
121,673,0,1
122,675,0,1
123,677,0,1
124,696,0,0
125,700,0,1
126,703,0,1
127,704,0,0
128,705,0,1
129,709,0,1
130,710,0,1
131,713,0,1
132,725,0,0
133,728,0,1
134,730,0,0
135,732,0,1
136,733,0,1
137,735,0,0
138,737,0,0
139,753,0,1
140,758,0,0
141,777,0,0
142,785,0,0
143,795,0,1
144,809,0,1
145,811,0,1
146,812,0,1
147,815,0,0
148,817,0,1
149,823,0,1
150,828,0,1
151,835,0,1
152,840,0,1
153,846,0,1
154,854,0,0
155,856,0,0
156,857,0,1
157,863,0,0
158,865,0,1
159,867,0,0
160,870,0,1
161,871,0,0
162,881,0,1
163,882,0,1
164,884,0,0
165,887,0,0
166,889,0,0
167,890,0,0
168,892,0,1
169,895,0,0
170,903,0,0
171,906,0,0
172,908,0,1
173,917,0,1
174,925,0,1
175,927,0,1
176,934,0,0
177,938,0,1
178,940,0,1
179,948,0,1
180,949,0,1
181,950,0,1
182,953,0,1
183,961,0,1
184,962,0,1
185,966,0,0
186,977,0,1
187,981,0,1
188,984,0,0
189,988,0,1
190,993,0,1
191,997,0,0
192,1002,0,1
193,1004,0,0
