original_row_id,row_cluster,Activity
0,2,1
1,0,1
2,2,1
3,2,1
4,2,0
5,0,0
6,0,1
7,0,1
8,2,1
9,1,0
10,2,1
11,1,0
12,0,1
13,1,1
14,2,1
15,2,1
16,1,1
17,2,1
18,2,1
19,1,0
20,0,0
21,1,1
22,1,0
23,1,0
24,2,0
25,2,1
26,2,1
27,3,0
28,3,1
29,1,1
30,1,0
31,1,0
32,2,0
33,0,1
34,2,1
35,1,1
36,0,1
37,0,0
38,2,1
39,1,1
40,1,1
41,2,0
42,2,0
43,1,0
44,2,1
45,1,1
46,2,1
47,3,1
48,2,0
49,1,0
50,1,1
51,3,1
52,2,0
53,1,0
54,0,1
55,3,1
56,2,0
57,2,0
58,1,1
59,3,1
60,1,0
61,2,1
62,1,0
63,3,0
64,1,0
65,0,0
66,2,0
67,1,1
68,2,0
69,2,1
70,2,0
71,1,0
72,2,1
73,1,0
74,1,1
75,1,1
76,2,1
77,2,1
78,2,1
79,2,0
80,3,1
81,2,0
82,2,1
83,0,1
84,1,1
85,2,1
86,2,0
87,1,0
88,3,1
89,3,0
90,0,1
91,2,1
92,0,1
93,2,1
94,0,1
95,0,1
96,2,1
97,2,1
98,1,1
99,2,0
100,2,0
101,2,1
102,1,0
103,2,1
104,0,0
105,3,1
106,0,1
107,1,1
108,2,0
109,1,1
110,2,0
111,2,0
112,0,0
113,0,1
114,1,1
115,2,0
116,0,1
117,0,0
118,3,1
119,1,1
120,2,0
121,1,0
122,1,1
123,1,0
124,1,1
125,0,1
126,1,1
127,1,0
128,0,1
129,0,1
130,1,0
131,0,1
132,2,1
133,3,1
134,1,1
135,2,0
136,2,0
137,2,0
138,1,0
139,1,0
140,3,1
141,1,1
142,1,1
143,0,1
144,2,1
145,1,1
146,3,1
147,3,1
148,0,0
149,2,0
150,2,0
151,1,1
152,0,1
153,1,1
154,0,1
155,1,0
156,2,1
157,3,0
158,1,0
159,2,1
160,1,0
161,2,0
162,2,1
163,2,0
164,1,0
165,2,0
166,2,0
167,2,1
168,1,1
169,2,0
170,0,1
171,2,0
172,3,1
173,3,1
174,0,1
175,0,1
176,0,0
177,3,1
178,2,0
179,0,0
180,1,0
181,2,1
182,0,0
183,2,1
184,1,1
185,2,1
186,2,1
187,1,1
188,2,0
189,1,0
190,1,1
191,2,1
192,2,1
193,2,1
194,0,0
195,2,1
196,3,1
197,1,1
198,1,0
199,1,0
200,0,1
201,2,1
202,0,0
203,0,1
204,2,1
205,2,0
206,2,0
207,1,1
208,2,1
209,0,0
210,0,0
211,3,1
212,0,0
213,2,0
214,2,1
215,3,0
216,2,1
217,2,0
218,2,1
219,1,1
220,2,0
221,2,0
222,2,1
223,1,1
224,3,1
225,1,0
226,1,0
227,2,0
228,1,1
229,3,1
230,2,0
231,3,1
232,0,1
233,2,1
234,1,0
235,0,1
236,3,1
237,1,0
238,2,1
239,1,0
240,3,1
241,2,0
242,3,0
243,3,0
244,2,0
245,2,1
246,2,0
247,1,1
248,1,0
249,3,0
250,1,1
251,2,1
252,2,0
253,1,0
254,1,1
255,2,1
256,0,0
257,2,1
258,2,1
259,0,1
260,0,1
261,1,1
262,0,1
263,0,1
264,3,0
265,0,0
266,1,0
267,2,0
268,1,1
269,2,0
270,1,1
271,3,1
272,2,0
273,1,0
274,3,1
275,2,1
276,0,1
277,2,1
278,1,1
279,2,1
280,3,0
281,2,0
282,0,1
283,1,1
284,3,1
285,0,0
286,3,1
287,2,1
288,1,0
289,1,0
290,2,1
291,1,1
292,1,1
293,0,1
294,1,1
295,1,1
296,1,0
297,1,1
298,2,0
299,0,1
300,0,1
301,2,0
302,1,1
303,1,1
304,2,1
305,1,0
306,1,0
307,2,0
308,2,0
309,1,1
310,0,0
311,0,1
312,1,0
313,1,0
314,1,0
315,0,1
316,3,0
317,1,1
318,1,0
319,1,1
320,2,1
321,0,0
322,2,0
323,1,1
324,1,0
325,0,0
326,1,1
327,0,1
328,1,1
329,1,0
330,1,0
331,2,1
332,1,1
333,1,1
334,2,0
335,2,0
336,0,0
337,2,1
338,0,0
339,3,1
340,1,1
341,0,0
342,2,1
343,1,0
344,0,1
345,3,0
346,2,1
347,1,1
348,2,0
349,2,1
350,1,0
351,1,0
352,1,0
353,2,1
354,1,1
355,2,0
356,2,0
357,1,0
358,1,1
359,2,1
360,2,0
361,1,1
362,0,0
363,0,1
364,0,1
365,1,1
366,1,0
367,0,1
368,1,1
369,1,1
370,1,1
371,2,0
372,1,1
373,1,1
374,1,1
375,2,0
376,2,1
377,3,1
378,1,0
379,0,1
380,2,0
381,1,0
382,2,0
383,2,0
384,1,0
385,0,1
386,2,0
387,1,1
388,2,1
389,2,1
390,0,1
391,2,1
392,1,1
393,2,0
394,2,1
395,1,0
396,2,0
397,1,0
398,3,1
399,1,0
400,2,1
401,2,1
402,2,1
403,0,1
404,1,0
405,2,1
406,2,1
407,2,0
408,3,1
409,2,0
410,2,1
411,1,1
412,1,1
413,2,0
414,2,1
415,1,0
416,0,0
417,2,1
418,1,1
419,2,1
420,3,1
421,2,1
422,0,1
423,0,1
424,1,1
425,0,1
426,2,1
427,0,1
428,3,1
429,2,1
430,1,1
431,3,1
432,1,0
433,0,0
434,0,1
435,3,1
436,1,0
437,1,0
438,1,1
439,1,1
440,1,0
441,0,1
442,0,1
443,2,0
444,1,0
445,1,1
446,2,0
447,2,0
448,2,0
449,0,0
450,1,1
451,2,0
452,2,0
453,2,0
454,2,1
455,0,0
456,1,1
457,2,1
458,2,0
459,2,0
460,1,1
461,3,1
462,2,1
463,0,1
464,1,1
465,0,0
466,1,0
467,2,0
468,2,1
469,2,0
470,2,1
471,3,1
472,0,1
473,1,0
474,2,1
475,1,1
476,3,1
477,1,1
478,1,0
479,1,0
480,1,1
481,3,0
482,2,1
483,1,1
484,1,0
485,0,0
486,1,0
487,1,0
488,1,1
489,3,1
490,1,0
491,0,1
492,1,1
493,1,1
494,2,0
495,2,1
496,1,0
497,2,1
498,2,0
499,2,0
500,3,0
501,1,0
502,1,0
503,3,0
504,2,1
505,0,1
506,1,1
507,0,0
508,1,1
509,1,1
510,2,0
511,2,1
512,2,1
513,0,1
514,2,0
515,2,1
516,2,1
517,2,0
518,1,0
519,2,0
520,2,1
521,2,0
522,2,0
523,1,0
524,1,1
525,2,0
526,1,1
527,1,1
528,0,0
529,3,1
530,0,1
531,0,0
532,1,1
533,2,0
534,3,1
535,2,1
536,2,1
537,0,0
538,3,1
539,2,0
540,1,0
541,2,1
542,1,1
543,1,1
544,1,0
545,2,0
546,2,0
547,0,1
548,3,1
549,1,0
550,2,0
551,2,0
552,1,0
553,2,0
554,2,1
555,1,1
556,2,0
557,2,0
558,0,0
559,2,1
560,2,1
561,2,1
562,2,1
563,1,0
564,1,1
565,0,1
566,0,1
567,3,1
568,0,1
569,1,1
570,1,1
571,3,1
572,2,0
573,2,0
574,2,0
575,0,0
576,2,1
577,2,1
578,2,0
579,2,0
580,2,0
581,1,1
582,2,1
583,1,0
584,1,0
585,1,1
586,3,1
587,2,1
588,1,0
589,1,1
590,1,1
591,2,1
592,3,1
593,2,0
594,1,0
595,2,0
596,0,0
597,1,1
598,0,1
599,1,1
600,1,0
601,2,1
602,1,1
603,1,1
604,1,1
605,0,1
606,2,0
607,3,1
608,1,0
609,0,1
610,1,1
611,3,0
612,2,1
613,2,1
614,0,1
615,3,1
616,3,1
617,0,1
618,1,1
619,2,1
620,3,1
621,1,0
622,1,1
623,3,1
624,2,1
625,1,0
626,0,1
627,2,1
628,1,0
629,2,1
630,0,0
631,2,0
632,1,1
633,3,1
634,0,1
635,0,0
636,3,1
637,1,1
638,2,0
639,0,1
640,1,0
641,1,0
642,2,0
643,1,1
644,2,0
645,3,1
646,2,1
647,2,1
648,0,1
649,2,1
650,2,1
651,0,1
652,2,1
653,0,0
654,2,1
655,0,1
656,2,1
657,1,1
658,0,1
659,0,0
660,1,1
661,1,1
662,3,0
663,1,1
664,2,1
665,1,0
666,3,1
667,2,1
668,3,0
669,2,0
670,2,1
671,1,1
672,1,1
673,0,1
674,1,1
675,0,1
676,1,1
677,0,1
678,2,1
679,1,0
680,2,1
681,1,1
682,1,0
683,2,0
684,2,0
685,1,0
686,2,1
687,1,1
688,3,1
689,1,1
690,2,1
691,2,1
692,1,1
693,2,1
694,1,1
695,2,0
696,0,0
697,2,1
698,2,0
699,2,0
700,0,1
701,2,0
702,1,0
703,0,1
704,0,0
705,0,1
706,2,1
707,2,1
708,1,0
